Month,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Renewable Diesel Fuel Consumed by the Transportation Sector ,Other Biofuels Consumed by the Transportation Sector ,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1973-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,88.522,0.49,Not Available,Not Available,0.054,0.157,0.211,89.223
1973-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,78.582,0.448,Not Available,Not Available,0.157,0.144,0.301,79.331
1973-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,87.22,0.464,Not Available,Not Available,0.186,0.176,0.362,88.046
1973-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,82.136,0.542,Not Available,Not Available,0.066,0.174,0.24,82.917
1973-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,84.594,0.505,Not Available,Not Available,0.048,0.21,0.258,85.357
1973-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,81.042,0.579,Not Available,Not Available,0.039,0.176,0.214,81.835
1973-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,76.493,0.614,Not Available,Not Available,0.04,0.17,0.21,77.317
1973-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.06,0.579,Not Available,Not Available,0.157,0.184,0.341,72.98
1973-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,58.265,0.49,Not Available,Not Available,0.207,0.178,0.385,59.14
1973-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,62.134,0.578,Not Available,Not Available,0.193,0.2,0.393,63.106
1973-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,68.186,0.62,Not Available,Not Available,0.095,0.151,0.246,69.053
1973-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,89.113,0.8,Not Available,Not Available,0.113,0.135,0.248,90.161
1974-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,98.474,0.704,Not Available,Not Available,0.111,0.152,0.263,99.441
1974-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,90.539,0.621,Not Available,Not Available,0.039,0.142,0.181,91.341
1974-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,93.946,0.707,Not Available,Not Available,0.036,0.148,0.184,94.837
1974-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,94.977,0.666,Not Available,Not Available,0.108,0.142,0.25,95.894
1974-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,95.314,0.667,Not Available,Not Available,0.116,0.129,0.245,96.226
1974-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,90.766,0.645,Not Available,Not Available,0.1,0.179,0.279,91.69
1974-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,89.566,0.716,Not Available,Not Available,0.005,0.208,0.213,90.494
1974-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,81.907,0.707,Not Available,Not Available,0.031,0.189,0.22,82.834
1974-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.829,0.653,Not Available,Not Available,0.121,0.183,0.305,73.787
1974-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,68.189,0.663,Not Available,Not Available,0.018,0.156,0.174,69.027
1974-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.0,0.789,Not Available,Not Available,0.019,0.155,0.174,72.963
1974-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,78.613,0.83,Not Available,Not Available,0.011,0.119,0.13,79.573
1975-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,85.339,0.694,Not Available,Not Available,0.008,0.14,0.148,86.181
1975-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,81.498,0.662,Not Available,Not Available,0.011,0.113,0.124,82.284
1975-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,95.434,0.747,Not Available,Not Available,0.006,0.124,0.13,96.311
1975-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,90.842,0.748,Not Available,Not Available,0.002,0.117,0.119,91.709
1975-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,94.558,0.812,Not Available,Not Available,0.009,0.173,0.182,95.552
1975-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,92.611,1.007,Not Available,Not Available,0.028,0.193,0.221,93.839
1975-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,87.08,1.013,Not Available,Not Available,0.004,0.163,0.167,88.26
1975-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,77.153,1.099,Not Available,Not Available,0.016,0.185,0.2,78.452
1975-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,70.012,0.969,Not Available,Not Available,0.032,0.158,0.19,71.17
1975-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,77.244,1.117,Not Available,Not Available,0.03,0.161,0.192,78.552
1975-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,83.352,1.085,Not Available,Not Available,0.019,0.141,0.16,84.597
1975-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,88.635,1.124,Not Available,Not Available,0.018,0.138,0.156,89.916
1976-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,88.95,1.119,Not Available,Not Available,0.022,0.14,0.162,90.232
1976-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,83.664,1.053,Not Available,Not Available,0.019,0.136,0.155,84.872
1976-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,90.632,1.127,Not Available,Not Available,0.026,0.137,0.163,91.922
1976-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,82.355,1.015,Not Available,Not Available,0.023,0.126,0.149,83.519
1976-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,87.061,0.97,Not Available,Not Available,0.025,0.134,0.159,88.19
1976-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,87.22,1.008,Not Available,Not Available,0.03,0.161,0.191,88.419
1976-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,88.93,1.089,Not Available,Not Available,0.01,0.19,0.2,90.219
1976-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,81.351,1.072,Not Available,Not Available,0.031,0.192,0.223,82.646
1976-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,69.496,1.044,Not Available,Not Available,0.057,0.165,0.222,70.761
1976-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,71.792,1.014,Not Available,Not Available,0.052,0.174,0.226,73.032
1976-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,67.571,0.854,Not Available,Not Available,0.267,0.171,0.437,68.862
1976-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,68.988,0.975,Not Available,Not Available,0.313,0.163,0.476,70.439
1977-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,70.63,1.057,Not Available,Not Available,0.368,0.146,0.514,72.201
1977-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,51.691,0.923,Not Available,Not Available,0.408,0.13,0.538,53.152
1977-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,67.56,1.046,Not Available,Not Available,0.365,0.146,0.511,69.117
1977-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,63.607,0.933,Not Available,Not Available,0.329,0.148,0.478,65.018
1977-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,63.726,1.007,Not Available,Not Available,0.325,0.155,0.48,65.213
1977-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,58.776,0.991,Not Available,Not Available,0.314,0.156,0.469,60.236
1977-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,57.317,1.048,Not Available,Not Available,0.036,0.178,0.214,58.579
1977-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,57.022,0.96,Not Available,Not Available,0.203,0.172,0.375,58.357
1977-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,56.041,1.028,Not Available,Not Available,0.255,0.172,0.427,57.496
1977-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,58.649,1.075,Not Available,Not Available,0.292,0.174,0.466,60.19
1977-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,69.596,1.08,Not Available,Not Available,0.205,0.112,0.317,70.993
1977-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,77.644,1.075,Not Available,Not Available,0.11,0.119,0.229,78.948
1978-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,85.525,1.095,Not Available,Not Available,0.245,0.123,0.368,86.988
1978-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,75.783,0.94,Not Available,Not Available,0.236,0.11,0.346,77.068
1978-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,84.038,0.777,Not Available,Not Available,0.266,0.11,0.376,85.191
1978-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,86.343,0.655,Not Available,Not Available,0.057,0.105,0.162,87.16
1978-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,98.119,0.583,Not Available,Not Available,0.047,0.117,0.163,98.866
1978-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,85.714,0.718,Not Available,Not Available,0.052,0.101,0.153,86.585
1978-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,83.433,0.804,Not Available,Not Available,0.065,0.087,0.153,84.389
1978-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,75.696,0.945,Not Available,Not Available,0.249,0.18,0.429,77.07
1978-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.257,0.998,Not Available,Not Available,0.134,0.134,0.268,73.523
1978-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,66.462,0.742,Not Available,Not Available,0.267,0.142,0.409,67.613
1978-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,68.078,0.839,Not Available,Not Available,0.251,0.12,0.371,69.287
1978-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,75.343,1.063,Not Available,Not Available,0.175,0.126,0.301,76.707
1979-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,85.373,1.021,Not Available,Not Available,0.126,0.147,0.273,86.668
1979-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.591,0.836,Not Available,Not Available,0.245,0.169,0.414,73.841
1979-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,88.442,1.121,Not Available,Not Available,0.313,0.241,0.554,90.117
1979-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,86.626,1.037,Not Available,Not Available,0.261,0.138,0.399,88.061
1979-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,98.741,1.043,Not Available,Not Available,0.234,0.221,0.455,100.238
1979-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,85.227,1.056,Not Available,Not Available,0.217,0.17,0.387,86.67
1979-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,77.659,1.12,Not Available,Not Available,0.209,0.165,0.373,79.153
1979-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.539,1.222,Not Available,Not Available,0.311,0.17,0.481,74.242
1979-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,64.754,1.06,Not Available,Not Available,0.321,0.125,0.446,66.26
1979-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,68.809,1.189,Not Available,Not Available,0.303,0.121,0.425,70.422
1979-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,76.315,1.155,Not Available,Not Available,0.322,0.182,0.504,77.973
1979-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,77.545,1.409,Not Available,Not Available,0.241,0.202,0.444,79.397
1980-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,86.249,1.148,Not Available,Not Available,0.321,0.216,0.537,87.934
1980-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.94,1.103,Not Available,Not Available,0.327,0.193,0.521,74.564
1980-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,83.021,1.225,Not Available,Not Available,0.305,0.129,0.435,84.681
1980-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,87.852,1.284,Not Available,Not Available,0.227,0.127,0.353,89.489
1980-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,98.487,1.512,Not Available,Not Available,0.102,0.154,0.256,100.254
1980-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,94.363,1.459,Not Available,Not Available,0.068,0.114,0.183,96.004
1980-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,83.488,1.534,Not Available,Not Available,0.156,0.106,0.262,85.284
1980-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,69.712,1.639,Not Available,Not Available,0.252,0.131,0.382,71.733
1980-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,63.092,1.48,Not Available,Not Available,0.249,0.115,0.364,64.936
1980-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,60.958,1.681,Not Available,Not Available,0.31,0.115,0.424,63.063
1980-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,65.569,1.643,Not Available,Not Available,0.29,0.114,0.404,67.616
1980-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,76.053,1.602,Not Available,Not Available,0.254,0.125,0.379,78.034
1981-01-01,0.571,Not Available,Not Available,Not Available,0.571,76.219,1.725,Not Available,Not Available,0.254,0.11,0.365,78.308
1981-02-01,0.516,Not Available,Not Available,Not Available,0.516,71.99,1.525,Not Available,Not Available,0.284,0.092,0.376,73.891
1981-03-01,0.571,Not Available,Not Available,Not Available,0.571,70.193,1.71,Not Available,Not Available,0.308,0.107,0.415,72.318
1981-04-01,0.553,Not Available,Not Available,Not Available,0.553,70.706,1.579,Not Available,Not Available,0.291,0.099,0.39,72.674
1981-05-01,0.571,Not Available,Not Available,Not Available,0.571,82.165,1.564,Not Available,Not Available,0.149,0.104,0.253,83.982
1981-06-01,0.553,Not Available,Not Available,Not Available,0.553,89.974,1.561,Not Available,Not Available,0.072,0.089,0.16,91.695
1981-07-01,0.571,Not Available,Not Available,Not Available,0.571,85.753,1.716,Not Available,Not Available,0.104,0.108,0.212,87.681
1981-08-01,0.571,Not Available,Not Available,Not Available,0.571,73.75,1.695,Not Available,Not Available,0.112,0.136,0.248,75.693
1981-09-01,0.553,Not Available,Not Available,Not Available,0.553,60.807,1.705,Not Available,Not Available,0.244,0.159,0.403,62.915
1981-10-01,0.571,Not Available,Not Available,Not Available,0.571,61.718,1.682,Not Available,Not Available,0.27,0.132,0.402,63.802
1981-11-01,0.553,Not Available,Not Available,Not Available,0.553,64.703,1.468,Not Available,Not Available,0.262,0.098,0.36,66.531
1981-12-01,0.571,Not Available,Not Available,Not Available,0.571,81.474,1.473,Not Available,Not Available,0.214,0.047,0.261,83.208
1982-01-01,1.553,Not Available,Not Available,Not Available,1.553,91.768,1.297,Not Available,Not Available,0.197,0.128,0.325,93.389
1982-02-01,1.403,Not Available,Not Available,Not Available,1.403,91.066,1.193,Not Available,Not Available,0.204,0.109,0.313,92.572
1982-03-01,1.553,Not Available,Not Available,Not Available,1.553,101.967,1.051,Not Available,Not Available,0.124,0.107,0.231,103.248
1982-04-01,1.503,Not Available,Not Available,Not Available,1.503,95.29,1.06,Not Available,Not Available,0.103,0.08,0.183,96.532
1982-05-01,1.553,Not Available,Not Available,Not Available,1.553,95.437,1.231,Not Available,Not Available,0.093,0.117,0.209,96.878
1982-06-01,1.503,Not Available,Not Available,Not Available,1.503,95.375,1.487,Not Available,Not Available,0.118,0.111,0.228,97.09
1982-07-01,1.553,Not Available,Not Available,Not Available,1.553,93.127,1.564,Not Available,Not Available,0.137,0.139,0.276,94.967
1982-08-01,1.553,Not Available,Not Available,Not Available,1.553,81.528,1.559,Not Available,Not Available,0.15,0.091,0.242,83.328
1982-09-01,1.503,Not Available,Not Available,Not Available,1.503,67.885,1.495,Not Available,Not Available,0.227,0.082,0.309,69.689
1982-10-01,1.553,Not Available,Not Available,Not Available,1.553,67.388,1.592,Not Available,Not Available,0.324,0.123,0.447,69.427
1982-11-01,1.503,Not Available,Not Available,Not Available,1.503,79.489,1.672,Not Available,Not Available,0.21,0.099,0.309,81.47
1982-12-01,1.553,Not Available,Not Available,Not Available,1.553,94.717,1.323,Not Available,Not Available,0.161,0.122,0.283,96.323
1983-01-01,2.864,Not Available,Not Available,Not Available,2.864,99.748,1.65,Not Available,0.001,0.14,0.097,0.237,101.636
1983-02-01,2.587,Not Available,Not Available,Not Available,2.587,95.365,1.269,Not Available,0,0.128,0.111,0.239,96.873
1983-03-01,2.864,Not Available,Not Available,Not Available,2.864,103.391,1.463,Not Available,0.001,0.152,0.12,0.272,105.127
1983-04-01,2.772,Not Available,Not Available,Not Available,2.772,102.321,1.371,Not Available,0.001,0.122,0.112,0.234,103.927
1983-05-01,2.864,Not Available,Not Available,Not Available,2.864,106.432,1.114,Not Available,0.001,0.111,0.198,0.309,107.856
1983-06-01,2.772,Not Available,Not Available,Not Available,2.772,104.722,1.465,Not Available,0.001,0.144,0.2,0.344,106.532
1983-07-01,2.864,Not Available,Not Available,Not Available,2.864,95.923,1.825,Not Available,0,0.147,0.165,0.313,98.061
1983-08-01,2.864,Not Available,Not Available,Not Available,2.864,88.124,2.401,Not Available,0,0.191,0.165,0.357,90.882
1983-09-01,2.772,Not Available,Not Available,Not Available,2.772,74.08,2.194,Not Available,0.001,0.203,0.161,0.364,76.639
1983-10-01,2.864,Not Available,Not Available,Not Available,2.864,70.788,2.3,Not Available,0.002,0.245,0.149,0.394,73.483
1983-11-01,2.772,Not Available,Not Available,Not Available,2.772,84.2,2.047,Not Available,0.001,0.28,0.108,0.389,86.637
1983-12-01,2.864,Not Available,Not Available,Not Available,2.864,108.131,1.63,Not Available,0,0.408,0.125,0.533,110.294
1984-01-01,3.495,Not Available,Not Available,Not Available,3.495,101.464,1.665,0,0,0.471,0.143,0.614,103.743
1984-02-01,3.27,Not Available,Not Available,Not Available,3.27,95.194,2.034,0,0.001,0.244,0.241,0.485,97.713
1984-03-01,3.495,Not Available,Not Available,Not Available,3.495,103.844,2.235,0.001,0.001,0.299,0.361,0.66,106.74
1984-04-01,3.382,Not Available,Not Available,Not Available,3.382,102.257,2.205,0.001,0.002,0.15,0.351,0.501,104.967
1984-05-01,3.495,Not Available,Not Available,Not Available,3.495,108.548,2.115,0.002,0.003,0.163,0.377,0.54,111.208
1984-06-01,3.382,Not Available,Not Available,Not Available,3.382,98.174,2.053,0.003,0.002,0.159,0.367,0.526,100.759
1984-07-01,3.495,Not Available,Not Available,Not Available,3.495,93.811,1.96,0.001,0.002,0.379,0.384,0.763,96.537
1984-08-01,3.495,Not Available,Not Available,Not Available,3.495,85.767,2.454,0.003,0.001,0.402,0.368,0.769,88.995
1984-09-01,3.382,Not Available,Not Available,Not Available,3.382,71.348,2.21,0.003,0.002,0.456,0.364,0.819,74.383
1984-10-01,3.495,Not Available,Not Available,Not Available,3.495,71.265,2.426,0.002,0.003,0.561,0.544,1.105,74.802
1984-11-01,3.382,Not Available,Not Available,Not Available,3.382,75.948,2.396,0.001,0.003,0.8,0.491,1.291,79.64
1984-12-01,3.495,Not Available,Not Available,Not Available,3.495,88.144,2.656,0,0.004,0.732,0.442,1.174,91.978
1985-01-01,4.224,Not Available,Not Available,Not Available,4.224,93.978,2.641,0.002,0.002,0.863,0.506,1.369,97.991
1985-02-01,3.816,Not Available,Not Available,Not Available,3.816,88.378,2.332,0,0.004,0.782,0.456,1.238,91.952
1985-03-01,4.224,Not Available,Not Available,Not Available,4.224,84.071,2.715,0,0.002,0.842,0.547,1.39,88.179
1985-04-01,4.088,Not Available,Not Available,Not Available,4.088,83.263,2.378,0.004,0.002,0.271,0.606,0.877,86.524
1985-05-01,4.224,Not Available,Not Available,Not Available,4.224,90.149,2.473,0.005,0.001,0.327,0.608,0.934,93.562
1985-06-01,4.088,Not Available,Not Available,Not Available,4.088,81.337,2.382,0.005,0.001,0.279,0.642,0.921,84.647
1985-07-01,4.224,Not Available,Not Available,Not Available,4.224,72.651,2.619,0.004,0,0.559,0.653,1.212,76.487
1985-08-01,4.224,Not Available,Not Available,Not Available,4.224,68.175,2.737,0.007,0.001,0.745,0.61,1.354,72.274
1985-09-01,4.088,Not Available,Not Available,Not Available,4.088,64.034,2.602,0.005,0.003,0.814,0.46,1.274,67.918
1985-10-01,4.224,Not Available,Not Available,Not Available,4.224,68.403,2.491,0.003,0.002,0.755,0.474,1.229,72.127
1985-11-01,4.088,Not Available,Not Available,Not Available,4.088,78.319,3.075,0.001,0.001,0.77,0.578,1.348,82.744
1985-12-01,4.224,Not Available,Not Available,Not Available,4.224,86.523,3.372,0.001,0,0.758,0.541,1.299,91.196
1986-01-01,4.878,Not Available,Not Available,Not Available,4.878,72.939,3.438,0.002,0.001,0.67,0.524,1.194,77.574
1986-02-01,4.406,Not Available,Not Available,Not Available,4.406,79.234,2.953,0.002,0.001,0.382,0.555,0.938,83.127
1986-03-01,4.878,Not Available,Not Available,Not Available,4.878,97.124,3.071,0.003,0.002,0.209,0.645,0.854,101.055
1986-04-01,4.721,Not Available,Not Available,Not Available,4.721,93.91,2.769,0.005,0.002,0.208,0.597,0.805,97.491
1986-05-01,4.878,Not Available,Not Available,Not Available,4.878,92.822,2.798,0.006,0.003,0.254,0.585,0.839,96.468
1986-06-01,4.721,Not Available,Not Available,Not Available,4.721,89.474,3.036,0.005,0.002,0.279,0.574,0.853,93.37
1986-07-01,4.878,Not Available,Not Available,Not Available,4.878,82.134,3.221,0.006,0.002,0.428,0.6,1.028,86.39
1986-08-01,4.878,Not Available,Not Available,Not Available,4.878,72.298,3.214,0.006,0.002,0.59,0.603,1.193,76.712
1986-09-01,4.721,Not Available,Not Available,Not Available,4.721,72.039,2.693,0.005,0,0.535,0.555,1.09,75.828
1986-10-01,4.878,Not Available,Not Available,Not Available,4.878,72.795,2.647,0.004,0.001,0.404,0.587,0.991,76.439
1986-11-01,4.721,Not Available,Not Available,Not Available,4.721,78.999,2.291,0.003,0,0.483,0.656,1.138,82.432
1986-12-01,4.878,Not Available,Not Available,Not Available,4.878,88.592,3.038,0.001,0,0.693,0.676,1.369,92.999
1987-01-01,5.612,Not Available,Not Available,Not Available,5.612,86.707,3.051,0,0,0.669,0.606,1.275,91.034
1987-02-01,5.068,Not Available,Not Available,Not Available,5.068,72.423,2.829,0.002,0,0.595,0.557,1.152,76.407
1987-03-01,5.612,Not Available,Not Available,Not Available,5.612,79.322,3.102,0.003,0,0.611,0.685,1.296,83.723
1987-04-01,5.431,Not Available,Not Available,Not Available,5.431,75.15,2.924,0.004,0,0.473,0.639,1.112,79.191
1987-05-01,5.612,Not Available,Not Available,Not Available,5.612,82.577,3.072,0.004,0.001,0.483,0.662,1.145,86.8
1987-06-01,5.431,Not Available,Not Available,Not Available,5.431,71.183,3.155,0.006,0.003,0.815,0.679,1.495,75.842
1987-07-01,5.612,Not Available,Not Available,Not Available,5.612,68.904,3.262,0.006,0.004,0.828,0.67,1.498,73.674
1987-08-01,5.612,Not Available,Not Available,Not Available,5.612,62.939,3.25,0.004,0.001,0.858,0.677,1.535,67.728
1987-09-01,5.431,Not Available,Not Available,Not Available,5.431,62.029,3.032,0.003,0.001,0.739,0.532,1.271,66.335
1987-10-01,5.612,Not Available,Not Available,Not Available,5.612,61.261,3.07,0.002,0,0.605,0.592,1.197,65.531
1987-11-01,5.431,Not Available,Not Available,Not Available,5.431,57.517,2.968,0.001,0,0.682,0.489,1.17,61.657
1987-12-01,5.612,Not Available,Not Available,Not Available,5.612,71.948,3.049,0.001,0.001,0.801,0.442,1.243,76.241
1988-01-01,5.685,Not Available,Not Available,Not Available,5.685,75.176,3.078,0.002,0.002,0.945,0.393,1.337,79.595
1988-02-01,5.319,Not Available,Not Available,Not Available,5.319,65.188,2.648,0.003,0,0.85,0.396,1.246,69.085
1988-03-01,5.685,Not Available,Not Available,Not Available,5.685,66.582,3.087,0.004,0,0.927,0.464,1.391,71.065
1988-04-01,5.502,Not Available,Not Available,Not Available,5.502,65.183,2.794,0.002,0,0.712,0.728,1.441,69.419
1988-05-01,5.685,Not Available,Not Available,Not Available,5.685,72.465,2.747,0.004,0,0.401,0.792,1.194,76.41
1988-06-01,5.502,Not Available,Not Available,Not Available,5.502,64.258,2.913,0.005,0,0.833,0.707,1.539,68.715
1988-07-01,5.685,Not Available,Not Available,Not Available,5.685,57.675,3.169,0.004,0,0.849,0.74,1.588,62.436
1988-08-01,5.685,Not Available,Not Available,Not Available,5.685,56.118,3.024,0.004,0,0.991,0.83,1.821,60.967
1988-09-01,5.502,Not Available,Not Available,Not Available,5.502,55.514,2.899,0.003,0,0.808,0.748,1.556,59.972
1988-10-01,5.685,Not Available,Not Available,Not Available,5.685,51.563,2.954,0,0,0.775,0.749,1.523,56.041
1988-11-01,5.502,Not Available,Not Available,Not Available,5.502,63.007,2.933,0,0,0.781,0.515,1.296,67.235
1988-12-01,5.685,Not Available,Not Available,Not Available,5.685,67.943,2.898,0,0,0.791,0.56,1.352,72.193
1989-01-01,5.783,Not Available,Not Available,Not Available,5.783,72.526,4.364,0.024,0.497,8.805,7.468,16.273,93.684
1989-02-01,5.223,Not Available,Not Available,Not Available,5.223,64.52,3.94,0.025,0.763,8.192,7.221,15.413,84.661
1989-03-01,5.783,Not Available,Not Available,Not Available,5.783,78.456,4.648,0.065,0.873,9.331,4.888,14.219,98.261
1989-04-01,5.597,Not Available,Not Available,Not Available,5.597,83.431,4.033,0.081,0.812,7.995,6.805,14.8,103.157
1989-05-01,5.783,Not Available,Not Available,Not Available,5.783,97.193,4.274,0.053,0.697,5.853,11.053,16.906,119.122
1989-06-01,5.597,Not Available,Not Available,Not Available,5.597,89.685,4.219,0.074,0.534,7.04,11.25,18.291,112.802
