Month,"Electricity Net Generation From Coal, Commercial Sector","Electricity Net Generation From Petroleum, Commercial Sector","Electricity Net Generation From Natural Gas, Commercial Sector","Electricity Net Generation From Waste, Commercial Sector","Electricity Net Generation Total (including from sources not shown), Commercial Sector","Electricity Net Generation From Coal, Industrial Sector","Electricity Net Generation From Petroleum, Industrial Sector","Electricity Net Generation From Natural Gas, Industrial Sector","Electricity Net Generation From Other Fossil Gases, Industrial Sector","Electricity Net Generation From Hydroelectric Power, Industrial Sector","Electricity Net Generation From Wood, Industrial Sector","Electricity Net Generation From Waste, Industrial Sector","Electricity Net Generation Total (including from sources not shown), Industrial Sector"
2015-06-01,44.952,10.027,662.069,222.484,1098.129,951.044,127.622,7425.58,819.041,113.911,2250.685,88.568,12243.736
2015-07-01,44.248,12.086,769.179,241.629,1237.515,995.134,106.675,8084.013,924.899,115.259,2434.494,108.395,13291.876
2015-08-01,38.914,12.447,759.681,233.85,1206.262,980.11,107.58,8009.906,864.095,90.166,2376.711,100.946,13053.602
2015-09-01,33.196,8.168,716.222,230.017,1145.178,947.03,127.389,7528.042,879.25,76.883,2245.294,94.421,12358.855
2015-10-01,34.125,7.054,643.437,218.432,1049.257,852.869,106.973,7339.829,677.884,114.367,2201.314,115.615,11894.284
2015-11-01,35.001,6.418,583.305,222.354,992.257,830.175,120.807,7520.653,667.527,132.986,2259.474,114.677,12110.019
2015-12-01,41.21,7.057,617.386,226.468,1033.416,832.133,115.11,8137.478,806.214,144.841,2330.568,122.29,12970.431
2016-01-01,42.682,9.223,604.799,211.948,1022.294,792.738,135.159,7652.73,850.628,129.585,2391.582,92.62,12496.719
2016-02-01,45.459,9.224,570.184,191.728,967.136,750.197,121.057,7132.565,762.604,115.411,2217.145,92.342,11596.659
2016-03-01,45.684,3.875,579.46,210.263,1011.03,781.088,101.972,7461.741,837.267,142.125,2265.683,108.288,12116.863
2016-04-01,23.673,6.405,551.352,204.542,960.527,670.059,87.435,7067.248,814.565,128.48,2079.383,105.795,11385.515
2016-05-01,20.133,5.913,607.496,217.766,1018.704,739.673,137.969,7340.795,740.005,119.462,2238.441,106.191,11886.487
2016-06-01,23.33,4.651,691.812,202.36,1088.571,814.358,124.912,7660.571,692.344,98.645,2310.367,76.417,12247.644
2016-07-01,23.828,8.959,830.672,216.13,1262.968,872.553,126.873,8165.204,731.347,103.705,2407.657,89.866,12989.267
2016-08-01,25.61,7.154,859.073,215.221,1297.577,846.694,118.026,8290.509,731.987,92.347,2397.734,88.576,13074.737
2016-09-01,28.914,3.857,699.551,205.906,1114.053,761.886,100.529,7706.453,673.843,65.268,2231.468,76.295,12110.535
2016-10-01,27.216,5.127,616.778,201.921,1021.078,692.956,116.634,7527.068,678.752,88.079,2220.407,85.581,11850.716
2016-11-01,35.29,8.465,520.785,210.404,926.937,629.863,123.945,7514.269,662.022,69.383,2322.822,103.794,11852.384
2016-12-01,41.613,9.257,597.81,207.751,1015.475,750.456,117.716,7678.18,719.637,116.712,2375.377,108.398,12282.707
2017-01-01,40.662,14.294,686.304,212.509,1103.045,720.126,102.539,7938.897,696.945,127.403,2304.962,88.643,12370.321
2017-02-01,31.758,7.43,603.011,190.266,980.283,632.569,97.017,7076.881,668.981,115.66,2117.182,82.99,11165.081
2017-03-01,32.641,10.178,654.938,213.209,1087.291,644.404,119.535,7516.791,701.925,128.647,2237.222,96.063,11866.643
2017-04-01,19.909,5.764,576.806,202.115,985.848,572.661,93.248,7281.26,701.218,149.421,2166.924,88.295,11476.115
2017-05-01,19.278,6.576,620.797,223.114,1073.897,615.816,91.368,7405.09,704.773,158.474,2203.596,80.799,11669.611
2017-06-01,21.128,5.618,715.2,207.887,1138.341,661.883,104.224,7741.069,668.891,128.94,2337.396,72.682,12143.117
2017-07-01,25.342,7.155,781.959,222.06,1226.796,653.751,111.903,8321.702,678.769,116.905,2456.728,77.88,12911.672
2017-08-01,23.487,8.316,766.403,220.077,1201.458,654.92,116.377,8059.096,773.942,92.664,2472.343,81.296,12742.699
2017-09-01,26.779,7.288,694.133,202.489,1098.064,614.888,86.716,7185.409,713.961,73.802,2201.682,71.973,11344.658
2017-10-01,24.285,6.721,659.109,196.168,1053.584,636.958,95.088,7367.177,671.662,78.863,2214.725,84.809,11531.132
2017-11-01,28.753,8.013,609.072,206.224,1006.463,610.326,107.743,7484.797,649.005,116.024,2257.431,90.939,11731.218
2017-12-01,34.595,24.477,673.805,218.476,1104.682,650.426,112.97,8269.288,712.457,95.576,2441.584,95.209,12805.81
2018-01-01,40.345,41.984,670.924,203.26,1113.951,686.581,129.88,8153.141,752.426,83.191,2357.001,81.451,12667.554
2018-02-01,32.451,8.178,626.174,184.198,995.381,618.669,98.701,7183.732,755.122,89.333,2091.066,76.71,11265.466
2018-03-01,27.44,8.618,646.783,203.668,1058.032,615.582,94.813,7280.266,810.778,87.045,2342.439,84.117,11742.275
2018-04-01,23.989,8.544,584.572,198.966,989.349,534.58,83.488,7172.127,744.399,101.663,2151.426,76.62,11257.604
2018-05-01,21.075,6.967,656.096,203.293,1076.153,572.29,96.948,7614.354,777.989,101.295,2309.772,72.689,11966.83
2018-06-01,19.854,7.208,736.943,202.478,1163.299,589.86,98.34,7917.573,775.078,74.161,2294.268,57.45,12199.196
2018-07-01,21.084,10.99,875.471,204.848,1298.386,606.486,106.328,8609.168,812.67,77.59,2469.715,65.05,13137.918
2018-08-01,23.212,9.066,891.753,208.5,1318.138,589.957,88.748,8634.116,908.53,91.181,2402.231,66.081,13212.371
2018-09-01,23.985,7.643,771.091,192.727,1156.028,558.154,84.809,8022.31,772.641,90.308,2228.442,55.72,12185.361
2018-10-01,20.375,7.194,668.185,203.889,1055.252,507.076,96.955,7941.371,761.676,107.594,2223.109,74.419,12126.959
2018-11-01,24.737,13.039,621.592,192.906,993.298,536.141,83.19,8127.093,734.085,116.014,2231.06,77.917,12312.9
2018-12-01,24.323,10.363,669.109,205.499,1095.12,596.082,95.159,8236.636,771.292,129.649,2374.285,80.084,12723.948
2019-01-01,29.191,20.649,705.813,195.456,1160.363,581.103,87.846,8739.24,664.499,123.652,2316.511,65.084,13025.178
2019-02-01,27.044,10.128,654.338,170.964,1056.715,520.616,76.761,7538.249,597.077,93.715,2086.175,61.208,11334.997
2019-03-01,32.527,9.099,711.131,189.291,1172.757,499.744,73.94,7977.585,702.262,107.667,2266.904,71.031,12099.328
2019-04-01,21.519,7.954,645.843,167.959,1052.617,474.739,85.235,7552.198,619.167,106.068,2034.379,65.213,11301.422
2019-05-01,18.201,7.038,662.623,159.071,1071.509,478.822,70.233,7951.371,729.638,103.868,2083.936,58.088,11853.972
2019-06-01,12.813,6.185,710.512,178.231,1132.703,483.902,78.613,8196.041,680.141,94.76,2179.341,57.051,12146.758
2019-07-01,17.633,8.957,868.505,179.634,1312.735,528.44,133.477,8836.698,812.928,71.414,2331.061,54.664,13178.099
2019-08-01,17.123,12.035,852.061,185.385,1289.798,505.981,82.858,8975.825,770.103,59.318,2357.266,57.121,13235.646
2019-09-01,20.91,9.845,731.333,178.594,1150.002,469.825,77.475,8483.166,769.983,52.46,2157.298,47.976,12473.973
2019-10-01,21.117,9.141,666.054,172.656,1072.475,444.906,76.247,8347.536,734.515,62.962,2157.288,66.549,12280.777
2019-11-01,22.964,9.276,666.728,170.942,1065.902,480.201,77.292,8560.732,720.718,66.672,2174.109,66.777,12530.544
2019-12-01,26.514,10.544,735.265,181.232,1151.374,488.982,79.763,8906.1,753.397,90.86,2289.165,72.067,13076.708
2020-01-01,24.788,11.63,731.317,179.34,1144.881,551.022,82.953,8928.381,798.644,101.676,2265.027,80.097,13164.052
2020-02-01,30.561,6.757,669.365,167.791,1073.667,505.785,84.003,8153.991,784.39,108.384,2149.839,71.589,12168.842
2020-03-01,24.07,6.753,622.802,181.735,1050.422,476.163,70.698,8222.413,754.936,123.063,2227.238,74.047,12296.851
2020-04-01,12.833,5.06,546.055,168.608,942.637,428.525,72.989,7373.328,630.55,111.28,2076.929,70.83,11136.127
2020-05-01,13.886,8.921,577.723,176.96,1012.259,422.447,66.567,7446.831,704.882,101.91,2076.562,67.288,11278.249
2020-06-01,16.596,6.878,685.064,165.45,1102.563,403.13,72.78,7908.529,709.666,72.956,1959.571,60.002,11615.167
2020-07-01,16.386,9.635,855.354,176.911,1293.202,447.174,74.778,8433.495,755.22,63.602,1999.887,63.362,12266.783
2020-08-01,14.939,9.684,818.754,176.54,1241.378,434.842,70.202,8497.41,777.175,62.112,2048.948,62.763,12372.127
2020-09-01,23.315,8.131,694.919,170.236,1097.465,458.573,69.979,7683.245,717.513,53.759,1982.755,53.358,11427.423
2020-10-01,17.192,8.065,638.331,166.566,1031.532,448.586,80.432,7514.615,704.811,52.829,1992.468,70.429,11340.912
2020-11-01,19.712,8.17,595.518,164.982,987.229,414.018,80.149,7604.086,653.716,66.691,2003.105,66.084,11369.637
2020-12-01,26.016,9.848,674.775,158.244,1068.83,460.752,82.522,8614.259,652.629,82.656,2134.077,74.187,12628.159
2021-01-01,26.387,9.518,637.528,190.838,1095.689,448.709,74.817,8700.884,698.313,86.306,2141.043,72.677,12606.455
2021-02-01,34.03,10.039,561.369,163.301,972.698,409.662,92.669,6766.857,624.422,61.966,1816.287,62.201,10136.364
2021-03-01,24.697,7.98,556.791,181.755,987.731,432.451,71.05,7176.853,663.325,102.967,2117.79,77.627,11009.997
2021-04-01,18.899,8.621,483.518,177.98,937.882,398.578,59.82,7106.939,601.268,89.153,1996.015,70.303,10645.312
2021-05-01,13.087,8.528,506.322,177.491,965.955,443.139,68.503,7500.584,625.751,84.475,2039.133,66.221,11178.933
2021-06-01,19.21,7.033,647.484,175.404,1101.228,458.708,53.883,8176.123,652.499,60.071,2031.085,53.614,11836.579
2021-07-01,20.263,7.808,729.157,187.548,1204.361,458.397,56.491,8867.664,734.684,76.332,2088.255,59.891,12714.699
2021-08-01,22.882,7.017,764.15,187.232,1242.41,448.877,58.617,8738.648,699.61,69.719,2140.456,58.823,12578.95
2021-09-01,25.07,5.852,651.326,183.019,1114.867,463.968,51.66,7690.645,685.523,75.455,2026.11,58.326,11388.594
2021-10-01,29.323,7.747,603.238,171.721,1039.739,418.72,60.352,7932.566,719.476,76.275,1960.407,68.456,11570.868
2021-11-01,25.56,8.332,586.745,181.046,1031.411,459.139,60.968,8134.075,690.865,83.004,1964.465,71.379,11819.855
2021-12-01,21.092,9.831,618.666,178.418,1073.942,437.931,57.714,8448.466,697.394,70.423,2092.134,80.089,12263.584
2022-01-01,28.952,24.027,655.394,324.868,1402.598,444.902,81.666,8682.922,713.133,76.876,2048.856,75.25,12507.668
2022-02-01,19.49,7.582,563.204,292.299,1231.869,408.995,Not Meaningful,7439.88,634.671,82.716,1863.546,66.652,10921.154
2022-03-01,18.327,6.259,605.668,317.111,1327.655,459.084,71.169,7930.796,682.586,110.603,1959.54,77.103,11673.152
2022-04-01,12.739,6.666,558.824,318.492,1308.315,401.673,70.183,7349.999,629.718,102.305,1900.798,71.493,10871.243
2022-05-01,10.219,7.527,610.907,325.179,1381.253,460.977,74.638,7789.81,671.206,84.472,1960.977,72.129,11485.293
2022-06-01,27.29,8.872,672.032,321.578,1455.202,449.77,73.803,7964.167,706.073,63.272,1987.596,56.857,11661.078
2022-07-01,25.939,7.839,806.51,331.284,1591.853,452.734,76.891,8666.94,741.331,52.627,2087.974,56.792,12509.538
2022-08-01,28.57,7.601,821.615,325.487,1594.984,452.707,69.164,8759.018,731.319,60.698,2022.389,63.133,12497.571
2022-09-01,30.259,4.901,695.63,313.378,1417.127,404.078,75.105,7842.057,680.178,60.404,1859.856,52.72,11271.877
2022-10-01,27.834,5.138,571.024,326.252,1299.821,395.838,75.794,7903.346,691.743,51.47,1747.641,69.285,11230.152
2022-11-01,27.74,6.524,601.142,321.689,1329.917,371.553,80.594,8144.036,675.124,61.856,1914.29,69.672,11634.986
2022-12-01,30.029,18.654,668.162,319.942,1396.668,425.396,167.609,8074.688,714.008,91.551,1935.676,75.404,11779.053
2023-01-01,27.761,10.165,619.354,303.071,1310.775,413.988,90.944,8047.144,659.536,85.417,1914.29,62.555,11589.895
2023-02-01,25.988,19.005,582.653,267.701,1210.229,353.549,74.798,7577.339,653.76,86.418,1680.489,57.356,10796.855
2023-03-01,20.291,6.805,606.156,281.831,1259.832,342.55,78.84,8122.442,748.061,103.685,1837.634,63.088,11609.321
2023-04-01,20.951,3.648,559.865,273.603,1210.246,334.327,56.909,7017.243,664.729,87.395,1654.947,57.144,10170.155
2023-05-01,17.312,4.748,590.517,317.344,1313.592,359.286,52.672,7788.555,702.957,84.435,1811.402,59.697,11174.957
2023-06-01,8.805,3.538,655.927,324.523,1377.569,362.462,55.829,8428.899,701.336,68.551,1692.966,48.96,11653.883
2023-07-01,12.282,4.968,777.092,331.842,1522.47,386.784,64.109,8847.208,740.747,68.652,1758.42,47.639,12246.731
2023-08-01,12.011,4.198,740.167,325.6,1464.777,365.662,60.86,8923.498,755.005,56.623,1861.714,47.505,12401.231
2023-09-01,14.565,4.128,701.081,297.313,1364.648,358.294,55.107,8506.184,694.386,46.324,1741.378,40.772,11753.082
2023-10-01,18.09,4.801,621.315,315.054,1317.673,339.583,55.981,8165.855,674.741,39.927,1675.264,60.206,11350.896
2023-11-01,18.446,5.066,603.911,320.341,1302.739,339.943,59.076,8287.372,697.054,44.51,1795.836,64.709,11614.994
2023-12-01,23.3,6.881,686.446,334.755,1410.96,370.482,61.574,8751.345,745.71,72.099,1896.13,88.074,12301.879
2024-01-01,31.71,13.742,698.661,318.598,1427.707,384.403,Not Meaningful,9105.228,779.692,85.49,1868.31,61.806,12657.847
2024-02-01,20.798,5.692,653.536,287.128,1301.4,347.993,62.424,8013.639,554.847,78.178,1758.988,60.199,11159.68
2024-03-01,19.414,6.792,676.038,289.531,1338.765,389.419,51.741,7869.045,523.951,82.613,1850.263,70.832,11130.398
2024-04-01,12.772,7.56,575.591,286.563,1234.709,302.774,Not Meaningful,7880.036,536.049,72.58,1826.945,61.559,11021.966
2024-05-01,Not Meaningful,6.705,620.409,314.644,1349.535,345.784,53.575,7917.975,581.751,79.56,1888.768,62.676,11251.498
2024-06-01,11.262,7.875,685.764,294.309,1394.727,365.001,61.102,7638.331,594.466,75.187,1824.253,43.246,10951.151
2024-07-01,14.464,5.021,770.686,304.394,1495.372,398.228,Not Meaningful,8391.536,603.514,65.441,1856.151,51.356,11787.469
2024-08-01,15.924,4.734,777.494,312.888,1510.41,387.265,56.842,8843.637,644.729,75.027,1901.998,48.737,12276.421
2024-09-01,16.957,3.486,687.12,282.938,1340.401,351.177,49.875,8067.715,491.238,63.694,1793.121,45.485,11149.559
