Month,Population,GDP
1994-01-01,263.1,11114.6
1994-02-01,263.3666666666667,11139.466666666667
1994-03-01,263.6333333333333,11164.333333333334
1994-04-01,263.90000000000003,11189.2
1994-05-01,264.1666666666667,11214.066666666668
1994-06-01,264.43333333333334,11238.933333333334
1994-07-01,264.70000000000005,11263.8
1994-08-01,264.9666666666667,11288.666666666666
1994-09-01,265.23333333333335,11313.533333333333
1994-10-01,265.5,11338.4
1994-11-01,265.76666666666665,11363.266666666666
1994-12-01,266.03333333333336,11388.133333333333
1995-01-01,266.3,11413.0
1995-02-01,266.55833333333334,11448.883333333333
1995-03-01,266.81666666666666,11484.766666666666
1995-04-01,267.075,11520.65
1995-05-01,267.3333333333333,11556.533333333333
1995-06-01,267.59166666666664,11592.416666666666
1995-07-01,267.85,11628.3
1995-08-01,268.10833333333335,11664.183333333334
1995-09-01,268.3666666666667,11700.066666666668
1995-10-01,268.625,11735.95
1995-11-01,268.8833333333333,11771.833333333334
1995-12-01,269.14166666666665,11807.716666666667
1996-01-01,269.4,11843.6
1996-02-01,269.66666666666663,11887.491666666667
1996-03-01,269.93333333333334,11931.383333333333
1996-04-01,270.2,11975.275
1996-05-01,270.46666666666664,12019.166666666666
1996-06-01,270.73333333333335,12063.058333333332
1996-07-01,271.0,12106.95
1996-08-01,271.26666666666665,12150.841666666667
1996-09-01,271.53333333333336,12194.733333333334
1996-10-01,271.8,12238.625
1996-11-01,272.06666666666666,12282.516666666666
1996-12-01,272.33333333333337,12326.408333333333
1997-01-01,272.6,12370.3
1997-02-01,272.875,12416.516666666666
1997-03-01,273.15000000000003,12462.733333333334
1997-04-01,273.425,12508.949999999999
1997-05-01,273.7,12555.166666666666
1997-06-01,273.975,12601.383333333333
1997-07-01,274.25,12647.599999999999
1997-08-01,274.525,12693.816666666666
1997-09-01,274.8,12740.033333333333
1997-10-01,275.075,12786.25
1997-11-01,275.34999999999997,12832.466666666667
1997-12-01,275.625,12878.683333333332
1998-01-01,275.9,12924.9
1998-02-01,276.1583333333333,12976.475
1998-03-01,276.41666666666663,13028.05
1998-04-01,276.67499999999995,13079.625
1998-05-01,276.93333333333334,13131.199999999999
1998-06-01,277.19166666666666,13182.775
1998-07-01,277.45,13234.349999999999
1998-08-01,277.7083333333333,13285.925
1998-09-01,277.96666666666664,13337.5
1998-10-01,278.225,13389.074999999999
1998-11-01,278.48333333333335,13440.65
1998-12-01,278.7416666666667,13492.224999999999
1999-01-01,279.0,13543.8
1999-02-01,279.26666666666665,13589.816666666666
1999-03-01,279.5333333333333,13635.833333333332
1999-04-01,279.8,13681.849999999999
1999-05-01,280.06666666666666,13727.866666666667
1999-06-01,280.3333333333333,13773.883333333333
1999-07-01,280.6,13819.9
1999-08-01,280.8666666666667,13865.916666666666
1999-09-01,281.1333333333333,13911.933333333332
1999-10-01,281.4,13957.95
1999-11-01,281.66666666666663,14003.966666666667
1999-12-01,281.93333333333334,14049.983333333334
2000-01-01,282.2,14096.0
2000-02-01,282.43333333333334,14107.225
2000-03-01,282.66666666666663,14118.45
2000-04-01,282.9,14129.675
2000-05-01,283.1333333333333,14140.9
2000-06-01,283.3666666666667,14152.125
2000-07-01,283.6,14163.35
2000-08-01,283.8333333333333,14174.575
2000-09-01,284.06666666666666,14185.800000000001
2000-10-01,284.3,14197.025000000001
2000-11-01,284.5333333333333,14208.25
2000-12-01,284.76666666666665,14219.475
2001-01-01,285.0,14230.7
2001-02-01,285.2166666666667,14250.866666666667
2001-03-01,285.43333333333334,14271.033333333335
2001-04-01,285.65,14291.2
2001-05-01,285.8666666666667,14311.366666666667
2001-06-01,286.08333333333337,14331.533333333335
2001-07-01,286.3,14351.7
2001-08-01,286.51666666666665,14371.866666666667
2001-09-01,286.73333333333335,14392.033333333335
2001-10-01,286.95000000000005,14412.2
2001-11-01,287.1666666666667,14432.366666666667
2001-12-01,287.3833333333333,14452.533333333335
2002-01-01,287.6,14472.7
2002-02-01,287.80833333333334,14506.416666666668
2002-03-01,288.0166666666667,14540.133333333333
2002-04-01,288.225,14573.85
2002-05-01,288.43333333333334,14607.566666666668
2002-06-01,288.6416666666667,14641.283333333333
2002-07-01,288.85,14675.0
2002-08-01,289.05833333333334,14708.716666666667
2002-09-01,289.2666666666667,14742.433333333332
2002-10-01,289.475,14776.15
2002-11-01,289.68333333333334,14809.866666666667
2002-12-01,289.8916666666667,14843.583333333332
2003-01-01,290.1,14877.3
2003-02-01,290.32500000000005,14925.008333333333
2003-03-01,290.55,14972.716666666665
2003-04-01,290.77500000000003,15020.425
2003-05-01,291.0,15068.133333333333
2003-06-01,291.225,15115.841666666665
2003-07-01,291.45000000000005,15163.55
2003-08-01,291.675,15211.258333333333
2003-09-01,291.90000000000003,15258.966666666665
2003-10-01,292.125,15306.675
2003-11-01,292.35,15354.383333333333
2003-12-01,292.575,15402.091666666665
2004-01-01,292.8,15449.8
2004-02-01,293.02500000000003,15494.65
2004-03-01,293.25,15539.5
2004-04-01,293.475,15584.349999999999
2004-05-01,293.7,15629.199999999999
2004-06-01,293.925,15674.05
2004-07-01,294.15,15718.9
2004-08-01,294.375,15763.75
2004-09-01,294.6,15808.6
2004-10-01,294.825,15853.45
2004-11-01,295.05,15898.3
2004-12-01,295.275,15943.15
2005-01-01,295.5,15988.0
2005-02-01,295.7416666666667,16025.091666666667
2005-03-01,295.98333333333335,16062.183333333332
2005-04-01,296.225,16099.275
2005-05-01,296.46666666666664,16136.366666666667
2005-06-01,296.7083333333333,16173.458333333332
2005-07-01,296.95,16210.55
2005-08-01,297.19166666666666,16247.641666666666
2005-09-01,297.43333333333334,16284.733333333332
2005-10-01,297.67499999999995,16321.824999999999
2005-11-01,297.91666666666663,16358.916666666666
2005-12-01,298.1583333333333,16396.00833333333
2006-01-01,298.4,16433.1
2006-02-01,298.6333333333333,16460.541666666664
2006-03-01,298.8666666666667,16487.983333333334
2006-04-01,299.09999999999997,16515.425
2006-05-01,299.3333333333333,16542.866666666665
2006-06-01,299.56666666666666,16570.308333333334
2006-07-01,299.79999999999995,16597.75
2006-08-01,300.0333333333333,16625.191666666666
2006-09-01,300.26666666666665,16652.633333333335
2006-10-01,300.5,16680.075
2006-11-01,300.73333333333335,16707.516666666666
2006-12-01,300.96666666666664,16734.958333333336
2007-01-01,301.2,16762.4
2007-02-01,301.44166666666666,16763.99166666667
2007-03-01,301.68333333333334,16765.583333333336
2007-04-01,301.925,16767.175000000003
2007-05-01,302.1666666666667,16768.766666666666
2007-06-01,302.40833333333336,16770.358333333334
2007-07-01,302.65,16771.95
2007-08-01,302.89166666666665,16773.541666666668
2007-09-01,303.1333333333333,16775.133333333335
2007-10-01,303.375,16776.725
2007-11-01,303.6166666666667,16778.316666666666
2007-12-01,303.85833333333335,16779.908333333333
2008-01-01,304.1,16781.5
2008-02-01,304.32500000000005,16745.466666666667
2008-03-01,304.55,16709.433333333334
2008-04-01,304.77500000000003,16673.4
2008-05-01,305.0,16637.36666666667
2008-06-01,305.225,16601.333333333332
2008-07-01,305.45000000000005,16565.3
2008-08-01,305.675,16529.266666666666
2008-09-01,305.90000000000003,16493.233333333334
2008-10-01,306.125,16457.2
2008-11-01,306.35,16421.166666666668
2008-12-01,306.575,16385.133333333335
2009-01-01,306.8,16349.1
2009-02-01,307.0083333333333,16385.825
2009-03-01,307.2166666666667,16422.55
2009-04-01,307.425,16459.275
2009-05-01,307.6333333333333,16496.0
2009-06-01,307.8416666666667,16532.725
2009-07-01,308.05,16569.45
2009-08-01,308.2583333333333,16606.175
2009-09-01,308.4666666666667,16642.9
2009-10-01,308.675,16679.625
2009-11-01,308.8833333333333,16716.35
2009-12-01,309.0916666666667,16753.075
2010-01-01,309.3,16789.8
2010-02-01,309.4916666666667,16811.683333333334
2010-03-01,309.68333333333334,16833.566666666666
2010-04-01,309.875,16855.45
2010-05-01,310.06666666666666,16877.333333333332
2010-06-01,310.2583333333333,16899.216666666667
2010-07-01,310.45000000000005,16921.1
2010-08-01,310.6416666666667,16942.983333333334
2010-09-01,310.83333333333337,16964.86666666667
2010-10-01,311.02500000000003,16986.75
2010-11-01,311.2166666666667,17008.633333333335
2010-12-01,311.40833333333336,17030.516666666666
2011-01-01,311.6,17052.4
2011-02-01,311.78333333333336,17084.933333333334
2011-03-01,311.9666666666667,17117.466666666667
2011-04-01,312.15000000000003,17150.0
2011-05-01,312.33333333333337,17182.533333333333
2011-06-01,312.5166666666667,17215.066666666666
2011-07-01,312.70000000000005,17247.6
2011-08-01,312.8833333333333,17280.133333333335
2011-09-01,313.06666666666666,17312.666666666668
2011-10-01,313.25,17345.2
2011-11-01,313.43333333333334,17377.733333333334
2011-12-01,313.6166666666667,17410.266666666666
2012-01-01,313.8,17442.8
2012-02-01,313.98333333333335,17473.583333333332
2012-03-01,314.1666666666667,17504.366666666665
2012-04-01,314.35,17535.15
2012-05-01,314.53333333333336,17565.933333333334
2012-06-01,314.7166666666667,17596.716666666667
2012-07-01,314.9,17627.5
2012-08-01,315.0833333333333,17658.283333333333
2012-09-01,315.26666666666665,17689.066666666666
2012-10-01,315.45,17719.85
2012-11-01,315.6333333333333,17750.633333333335
2012-12-01,315.81666666666666,17781.416666666668
2013-01-01,316.0,17812.2
2013-02-01,316.19166666666666,17849.658333333333
2013-03-01,316.3833333333333,17887.11666666667
2013-04-01,316.575,17924.575
2013-05-01,316.76666666666665,17962.033333333333
2013-06-01,316.9583333333333,17999.49166666667
2013-07-01,317.15,18036.95
2013-08-01,317.3416666666667,18074.408333333333
2013-09-01,317.53333333333336,18111.86666666667
2013-10-01,317.725,18149.325
2013-11-01,317.9166666666667,18186.783333333333
2013-12-01,318.10833333333335,18224.24166666667
2014-01-01,318.3,18261.7
2014-02-01,318.4916666666667,18306.525
2014-03-01,318.68333333333334,18351.35
2014-04-01,318.875,18396.175
2014-05-01,319.06666666666666,18441.0
2014-06-01,319.2583333333333,18485.825
2014-07-01,319.45000000000005,18530.65
2014-08-01,319.6416666666667,18575.475
2014-09-01,319.83333333333337,18620.3
2014-10-01,320.02500000000003,18665.125
2014-11-01,320.2166666666667,18709.949999999997
2014-12-01,320.40833333333336,18754.774999999998
2015-01-01,320.6,18799.6
2015-02-01,320.7916666666667,18828.108333333334
2015-03-01,320.98333333333335,18856.616666666665
2015-04-01,321.175,18885.125
2015-05-01,321.3666666666667,18913.63333333333
2015-06-01,321.55833333333334,18942.141666666666
2015-07-01,321.75,18970.65
2015-08-01,321.94166666666666,18999.158333333333
2015-09-01,322.1333333333333,19027.666666666668
2015-10-01,322.325,19056.175
2015-11-01,322.51666666666665,19084.683333333334
2015-12-01,322.7083333333333,19113.191666666666
2016-01-01,322.9,19141.7
2016-02-01,323.075,19180.9
2016-03-01,323.25,19220.1
2016-04-01,323.42499999999995,19259.3
2016-05-01,323.59999999999997,19298.5
2016-06-01,323.775,19337.7
2016-07-01,323.95,19376.9
2016-08-01,324.125,19416.1
2016-09-01,324.3,19455.3
2016-10-01,324.475,19494.5
2016-11-01,324.65,19533.699999999997
2016-12-01,324.825,19572.899999999998
2017-01-01,325.0,19612.1
2017-02-01,325.14166666666665,19660.583333333332
2017-03-01,325.2833333333333,19709.066666666666
2017-04-01,325.425,19757.55
2017-05-01,325.56666666666666,19806.033333333333
2017-06-01,325.7083333333333,19854.516666666666
2017-07-01,325.85,19903.0
2017-08-01,325.9916666666667,19951.483333333334
2017-09-01,326.1333333333333,19999.966666666667
2017-10-01,326.275,20048.45
2017-11-01,326.41666666666663,20096.933333333334
2017-12-01,326.55833333333334,20145.416666666668
2018-01-01,326.7,20193.9
2018-02-01,326.825,20235.416666666668
2018-03-01,326.95,20276.933333333334
2018-04-01,327.075,20318.45
2018-05-01,327.2,20359.966666666667
2018-06-01,327.325,20401.483333333334
2018-07-01,327.45,20443.0
2018-08-01,327.575,20484.516666666666
2018-09-01,327.7,20526.033333333333
2018-10-01,327.825,20567.55
2018-11-01,327.95,20609.066666666666
2018-12-01,328.075,20650.583333333332
2019-01-01,328.2,20692.1
2019-02-01,328.47499999999997,20653.93333333333
2019-03-01,328.75,20615.766666666666
2019-04-01,329.025,20577.6
2019-05-01,329.3,20539.43333333333
2019-06-01,329.575,20501.266666666666
2019-07-01,329.85,20463.1
2019-08-01,330.125,20424.93333333333
2019-09-01,330.4,20386.766666666666
2019-10-01,330.675,20348.6
2019-11-01,330.95,20310.43333333333
2019-12-01,331.225,20272.266666666666
2020-01-01,331.5,20234.1
2020-02-01,331.5416666666667,20331.899999999998
2020-03-01,331.5833333333333,20429.699999999997
2020-04-01,331.625,20527.5
2020-05-01,331.6666666666667,20625.3
2020-06-01,331.7083333333333,20723.1
2020-07-01,331.75,20820.9
2020-08-01,331.7916666666667,20918.7
2020-09-01,331.8333333333333,21016.5
2020-10-01,331.875,21114.3
2020-11-01,331.9166666666667,21212.1
2020-12-01,331.9583333333333,21309.9
2021-01-01,332.0,21407.7
2021-02-01,332.10833333333335,21442.225000000002
2021-03-01,332.2166666666667,21476.75
2021-04-01,332.325,21511.275
2021-05-01,332.43333333333334,21545.8
2021-06-01,332.5416666666667,21580.325
2021-07-01,332.65,21614.85
2021-08-01,332.7583333333333,21649.375
2021-09-01,332.8666666666667,21683.9
2021-10-01,332.975,21718.425
2021-11-01,333.08333333333337,21752.95
2021-12-01,333.19166666666666,21787.475
2022-01-01,333.3,21822.0
2022-02-01,333.43333333333334,21868.025
2022-03-01,333.56666666666666,21914.05
2022-04-01,333.7,21960.075
2022-05-01,333.8333333333333,22006.1
2022-06-01,333.96666666666664,22052.125
2022-07-01,334.1,22098.15
2022-08-01,334.23333333333335,22144.175
2022-09-01,334.3666666666667,22190.2
2022-10-01,334.5,22236.225
2022-11-01,334.6333333333333,22282.25
2022-12-01,334.76666666666665,22328.274999999998
2023-01-01,334.9,22374.3
2023-02-01,334.9,22374.3
2023-03-01,334.9,22374.3
2023-04-01,334.9,22374.3
2023-05-01,334.9,22374.3
2023-06-01,334.9,22374.3
2023-07-01,334.9,22374.3
2023-08-01,334.9,22374.3
2023-09-01,334.9,22374.3
2023-10-01,334.9,22374.3
2023-11-01,334.9,22374.3
2023-12-01,334.9,22374.3
2024-01-01,334.9,22374.3
2024-02-01,334.9,22374.3
2024-03-01,334.9,22374.3
2024-04-01,334.9,22374.3
2024-05-01,334.9,22374.3
2024-06-01,334.9,22374.3
2024-07-01,334.9,22374.3
2024-08-01,334.9,22374.3
2024-09-01,334.9,22374.3
