Month,Small-Scale Solar Photovoltaic Generation: Residential Sector,Small-Scale Solar Photovoltaic Generation: Commercial Sector,Small-Scale Solar Photovoltaic Generation: Industrial Sector,Small-Scale Solar Photovoltaic Generation: Total (All Sectors),Utility-Scale Solar Electricity Net Generation: Commercial Sector,Utility-Scale Solar Electricity Net Generation: Industrial Sector,Utility-Scale Solar Electricity Net Generation:  Electric Power Sector,Utility-Scale Solar Electricity Net Generation:  Total,Solar Electricity Net Generation
1994-02-01,1.036,1.423,0.315,2.774,No Data Reported,No Data Reported,21.584,21.584,24.358
1994-03-01,1.428,1.96,0.434,3.822,No Data Reported,No Data Reported,49.475,49.475,53.297
1994-04-01,1.574,2.161,0.478,4.213,No Data Reported,No Data Reported,48.074,48.074,52.286
1994-05-01,1.737,2.385,0.528,4.651,No Data Reported,No Data Reported,50.036,50.036,54.686
1994-06-01,1.753,2.407,0.533,4.693,No Data Reported,No Data Reported,56.483,56.483,61.176
1994-07-01,1.84,2.527,0.559,4.926,No Data Reported,No Data Reported,53.119,53.119,58.045
1994-08-01,1.821,2.5,0.554,4.875,No Data Reported,No Data Reported,39.384,39.384,44.259
1994-09-01,1.661,2.28,0.505,4.446,No Data Reported,No Data Reported,49.615,49.615,54.062
1994-10-01,1.514,2.078,0.46,4.052,No Data Reported,No Data Reported,55.782,55.782,59.835
1994-11-01,1.242,1.705,0.378,3.324,No Data Reported,No Data Reported,27.611,27.611,30.935
1994-12-01,1.179,1.618,0.358,3.155,No Data Reported,No Data Reported,10.091,10.091,13.247
1995-01-01,1.099,1.509,0.334,2.942,No Data Reported,No Data Reported,5.211,5.211,8.153
1995-02-01,1.185,1.627,0.36,3.172,No Data Reported,No Data Reported,9.024,9.024,12.196
1995-03-01,1.632,2.241,0.496,4.37,No Data Reported,No Data Reported,17.666,17.666,22.036
1995-04-01,1.799,2.47,0.547,4.816,No Data Reported,No Data Reported,51.22,51.22,56.036
1995-05-01,1.986,2.727,0.604,5.317,No Data Reported,No Data Reported,67.997,67.997,73.314
1995-06-01,2.004,2.752,0.609,5.365,No Data Reported,No Data Reported,81.342,81.342,86.707
1995-07-01,2.104,2.888,0.64,5.632,No Data Reported,No Data Reported,72.572,72.572,78.204
1995-08-01,2.082,2.858,0.633,5.574,No Data Reported,No Data Reported,70.284,70.284,75.858
1995-09-01,1.899,2.607,0.577,5.083,No Data Reported,No Data Reported,52.237,52.237,57.32
1995-10-01,1.731,2.376,0.526,4.633,No Data Reported,No Data Reported,35.968,35.968,40.601
1995-11-01,1.42,1.949,0.432,3.8,No Data Reported,No Data Reported,25.165,25.165,28.966
1995-12-01,1.348,1.85,0.41,3.607,No Data Reported,No Data Reported,8.134,8.134,11.742
1996-01-01,1.263,1.734,0.384,3.38,No Data Reported,No Data Reported,12.993,12.993,16.374
1996-02-01,1.361,1.869,0.414,3.644,No Data Reported,No Data Reported,19.079,19.079,22.722
1996-03-01,1.876,2.575,0.57,5.021,No Data Reported,No Data Reported,59.209,59.209,64.23
1996-04-01,2.067,2.838,0.628,5.534,No Data Reported,No Data Reported,74.34,74.34,79.874
1996-05-01,2.282,3.133,0.694,6.109,No Data Reported,No Data Reported,85.689,85.689,91.798
1996-06-01,2.303,3.161,0.7,6.164,No Data Reported,No Data Reported,91.281,91.281,97.445
1996-07-01,2.417,3.319,0.735,6.471,No Data Reported,No Data Reported,71.215,71.215,77.686
1996-08-01,2.392,3.284,0.727,6.404,No Data Reported,No Data Reported,31.907,31.907,38.311
1996-09-01,2.182,2.995,0.663,5.84,No Data Reported,No Data Reported,10.033,10.033,15.873
1996-10-01,1.988,2.73,0.605,5.323,No Data Reported,No Data Reported,28.289,28.289,33.612
1996-11-01,1.631,2.239,0.496,4.366,No Data Reported,No Data Reported,19.901,19.901,24.267
1996-12-01,1.548,2.126,0.471,4.145,No Data Reported,No Data Reported,17.269,17.269,21.414
1997-01-01,1.414,1.941,0.43,3.785,No Data Reported,No Data Reported,11.748,11.748,15.533
1997-02-01,1.524,2.093,0.463,4.08,No Data Reported,No Data Reported,34.215,34.215,38.295
1997-03-01,2.1,2.883,0.638,5.622,No Data Reported,No Data Reported,44.935,44.935,50.557
1997-04-01,2.315,3.178,0.704,6.196,No Data Reported,No Data Reported,61.969,61.969,68.165
1997-05-01,2.555,3.508,0.777,6.84,No Data Reported,No Data Reported,52.864,52.864,59.705
1997-06-01,2.578,3.54,0.784,6.902,No Data Reported,No Data Reported,78.122,78.122,85.024
1997-07-01,2.707,3.716,0.823,7.245,No Data Reported,No Data Reported,72.395,72.395,79.64
1997-08-01,2.679,3.677,0.814,7.17,No Data Reported,No Data Reported,60.207,60.207,67.377
1997-09-01,2.443,3.354,0.743,6.54,No Data Reported,No Data Reported,33.774,33.774,40.314
1997-10-01,2.227,3.057,0.677,5.96,No Data Reported,No Data Reported,32.6,32.6,38.56
1997-11-01,1.826,2.507,0.555,4.889,No Data Reported,No Data Reported,16.447,16.447,21.336
1997-12-01,1.734,2.38,0.527,4.641,No Data Reported,No Data Reported,11.894,11.894,16.535
1998-01-01,1.6,2.196,0.486,4.282,No Data Reported,No Data Reported,8.78,8.78,13.062
1998-02-01,1.724,2.367,0.524,4.616,No Data Reported,No Data Reported,6.785,6.785,11.4
1998-03-01,2.376,3.262,0.722,6.359,No Data Reported,No Data Reported,49.888,49.888,56.248
1998-04-01,2.618,3.595,0.796,7.009,No Data Reported,No Data Reported,55.476,55.476,62.485
1998-05-01,2.891,3.968,0.879,7.738,No Data Reported,No Data Reported,37.715,37.715,45.453
1998-06-01,2.917,4.004,0.887,7.807,No Data Reported,No Data Reported,66.85,66.85,74.657
1998-07-01,3.062,4.204,0.931,8.196,No Data Reported,No Data Reported,81.018,81.018,89.214
1998-08-01,3.03,4.16,0.921,8.111,No Data Reported,No Data Reported,72.837,72.837,80.948
1998-09-01,2.763,3.794,0.84,7.398,No Data Reported,No Data Reported,51.884,51.884,59.281
1998-10-01,2.519,3.458,0.766,6.742,No Data Reported,No Data Reported,37.516,37.516,44.258
1998-11-01,2.066,2.836,0.628,5.531,No Data Reported,No Data Reported,20.155,20.155,25.685
1998-12-01,1.961,2.692,0.596,5.25,No Data Reported,No Data Reported,13.57,13.57,18.819
1999-01-01,1.861,2.555,0.566,4.981,No Data Reported,No Data Reported,7.667,7.667,12.648
1999-02-01,2.006,2.754,0.61,5.37,No Data Reported,No Data Reported,14.029,14.029,19.398
1999-03-01,2.764,3.794,0.84,7.398,No Data Reported,No Data Reported,38.334,38.334,45.733
1999-04-01,3.046,4.182,0.926,8.154,No Data Reported,No Data Reported,54.81,54.81,62.964
1999-05-01,3.363,4.617,1.022,9.002,No Data Reported,No Data Reported,63.292,63.292,72.294
1999-06-01,3.393,4.658,1.032,9.083,No Data Reported,No Data Reported,66.065,66.065,75.148
1999-07-01,3.562,4.89,1.083,9.535,No Data Reported,No Data Reported,66.555,66.555,76.09
1999-08-01,3.525,4.839,1.072,9.436,No Data Reported,No Data Reported,54.647,54.647,64.083
1999-09-01,3.215,4.414,0.977,8.606,No Data Reported,No Data Reported,38.008,38.008,46.614
1999-10-01,2.93,4.023,0.891,7.844,No Data Reported,No Data Reported,48.611,48.611,56.455
1999-11-01,2.404,3.3,0.731,6.434,No Data Reported,No Data Reported,25.121,25.121,31.555
1999-12-01,2.281,3.132,0.694,6.107,No Data Reported,No Data Reported,17.944,17.944,24.051
2000-01-01,2.111,2.898,0.642,5.651,No Data Reported,No Data Reported,9.119,9.119,14.769
2000-02-01,2.275,3.124,0.692,6.091,No Data Reported,No Data Reported,21.147,21.147,27.238
2000-03-01,3.135,4.304,0.953,8.392,No Data Reported,No Data Reported,27.356,27.356,35.748
2000-04-01,3.455,4.744,1.05,9.25,No Data Reported,No Data Reported,36.862,36.862,46.112
2000-05-01,3.814,5.237,1.16,10.211,No Data Reported,No Data Reported,54.712,54.712,64.923
2000-06-01,3.849,5.284,1.17,10.303,No Data Reported,No Data Reported,58.204,58.204,68.507
2000-07-01,4.04,5.547,1.228,10.816,No Data Reported,No Data Reported,82.456,82.456,93.271
2000-08-01,3.998,5.49,1.216,10.704,No Data Reported,No Data Reported,66.352,66.352,77.056
2000-09-01,3.647,5.007,1.109,9.762,No Data Reported,No Data Reported,61.696,61.696,71.459
2000-10-01,3.324,4.563,1.01,8.897,No Data Reported,No Data Reported,40.161,40.161,49.058
2000-11-01,2.726,3.743,0.829,7.298,No Data Reported,No Data Reported,19.983,19.983,27.282
2000-12-01,2.588,3.553,0.787,6.928,No Data Reported,No Data Reported,15.327,15.327,22.255
2001-01-01,2.552,3.504,0.776,6.832,No Data Reported,No Data Reported,6.5,6.5,13.332
2001-02-01,2.751,3.777,0.836,7.364,No Data Reported,No Data Reported,12.568,12.568,19.932
2001-03-01,3.79,5.204,1.152,10.147,No Data Reported,No Data Reported,31.498,31.498,41.645
2001-04-01,4.178,5.735,1.27,11.183,No Data Reported,No Data Reported,38.759,38.759,49.942
2001-05-01,4.612,6.332,1.402,12.346,No Data Reported,No Data Reported,81.053,81.053,93.399
2001-06-01,4.653,6.389,1.415,12.457,No Data Reported,No Data Reported,91.143,91.143,103.6
2001-07-01,4.885,6.707,1.485,13.077,No Data Reported,No Data Reported,91.994,91.994,105.071
2001-08-01,4.834,6.637,1.47,12.941,No Data Reported,No Data Reported,85.299,85.299,98.24
2001-09-01,4.409,6.053,1.34,11.803,No Data Reported,No Data Reported,64.803,64.803,76.606
2001-10-01,4.019,5.517,1.222,10.757,No Data Reported,No Data Reported,20.813,20.813,31.57
2001-11-01,3.296,4.526,1.002,8.824,No Data Reported,No Data Reported,14.289,14.289,23.113
2001-12-01,3.129,4.296,0.951,8.376,No Data Reported,No Data Reported,4.036,4.036,12.412
2002-01-01,3.025,4.153,0.92,8.098,No Data Reported,No Data Reported,11.32,11.32,19.418
2002-02-01,3.261,4.477,0.991,8.729,No Data Reported,No Data Reported,23.565,23.565,32.294
2002-03-01,4.493,6.168,1.366,12.027,No Data Reported,No Data Reported,44.397,44.397,56.424
2002-04-01,4.952,6.798,1.505,13.255,No Data Reported,No Data Reported,45.858,45.858,59.113
2002-05-01,5.467,7.505,1.662,14.633,No Data Reported,No Data Reported,57.64,57.64,72.273
2002-06-01,5.516,7.573,1.677,14.765,No Data Reported,No Data Reported,95.543,95.543,110.308
2002-07-01,5.79,7.95,1.76,15.5,No Data Reported,No Data Reported,85.537,85.537,101.037
2002-08-01,5.73,7.867,1.742,15.339,No Data Reported,No Data Reported,74.925,74.925,90.264
2002-09-01,5.226,7.175,1.589,13.99,No Data Reported,No Data Reported,52.608,52.608,66.598
2002-10-01,4.763,6.54,1.448,12.751,No Data Reported,No Data Reported,30.956,30.956,43.707
2002-11-01,3.907,5.364,1.188,10.459,No Data Reported,No Data Reported,28.175,28.175,38.634
2002-12-01,3.709,5.092,1.128,9.928,No Data Reported,No Data Reported,4.307,4.307,14.235
2003-01-01,3.532,4.849,1.074,9.455,No Data Reported,No Data Reported,13.217,13.217,22.672
2003-02-01,3.807,5.227,1.158,10.192,No Data Reported,No Data Reported,17.83,17.83,28.022
2003-03-01,5.246,7.202,1.595,14.043,No Data Reported,No Data Reported,50.027,50.027,64.07
2003-04-01,5.782,7.938,1.758,15.478,No Data Reported,No Data Reported,60.309,60.309,75.787
2003-05-01,6.383,8.763,1.941,17.087,No Data Reported,No Data Reported,67.962,67.962,85.049
2003-06-01,6.441,8.842,1.958,17.241,No Data Reported,No Data Reported,90.682,90.682,107.923
2003-07-01,6.761,9.282,2.055,18.099,No Data Reported,No Data Reported,62.407,62.407,80.506
2003-08-01,6.691,9.186,2.034,17.911,No Data Reported,No Data Reported,61.992,61.992,79.903
2003-09-01,6.103,8.378,1.855,16.336,No Data Reported,No Data Reported,55.857,55.857,72.193
2003-10-01,5.562,7.636,1.691,14.889,No Data Reported,No Data Reported,35.436,35.436,50.325
2003-11-01,4.562,6.264,1.387,12.213,No Data Reported,No Data Reported,14.031,14.031,26.244
2003-12-01,4.331,5.946,1.317,11.593,No Data Reported,No Data Reported,4.251,4.251,15.844
2004-01-01,4.376,6.007,1.33,11.713,No Data Reported,No Data Reported,12.61,12.61,24.323
2004-02-01,4.717,6.476,1.434,12.627,No Data Reported,No Data Reported,10.862,10.862,23.488
2004-03-01,6.499,8.923,1.976,17.397,No Data Reported,No Data Reported,52.929,52.929,70.327
2004-04-01,7.163,9.834,2.178,19.174,No Data Reported,No Data Reported,56.902,56.902,76.076
2004-05-01,7.907,10.856,2.404,21.168,No Data Reported,No Data Reported,81.776,81.776,102.943
2004-06-01,7.979,10.954,2.426,21.358,No Data Reported,No Data Reported,87.876,87.876,109.234
2004-07-01,8.376,11.499,2.546,22.421,No Data Reported,No Data Reported,82.103,82.103,104.524
2004-08-01,8.289,11.38,2.52,22.189,No Data Reported,No Data Reported,72.846,72.846,95.035
2004-09-01,7.56,10.379,2.298,20.237,No Data Reported,No Data Reported,60.632,60.632,80.869
2004-10-01,6.89,9.46,2.095,18.444,No Data Reported,No Data Reported,33.521,33.521,51.965
2004-11-01,5.652,7.76,1.718,15.13,No Data Reported,No Data Reported,15.342,15.342,30.471
2004-12-01,5.365,7.366,1.631,14.361,No Data Reported,No Data Reported,7.758,7.758,22.119
2005-01-01,6.564,9.014,1.996,17.575,No Data Reported,No Data Reported,8.668,8.668,26.242
2005-02-01,7.076,9.717,2.152,18.945,No Data Reported,No Data Reported,13.082,13.082,32.026
2005-03-01,9.75,13.388,2.965,26.103,No Data Reported,No Data Reported,38.157,38.157,64.26
2005-04-01,10.746,14.756,3.268,28.769,No Data Reported,No Data Reported,58.263,58.263,87.032
2005-05-01,11.863,16.29,3.607,31.76,No Data Reported,No Data Reported,81.153,81.153,112.912
2005-06-01,11.97,16.437,3.64,32.046,No Data Reported,No Data Reported,88.476,88.476,120.522
2005-07-01,12.565,17.255,3.821,33.641,No Data Reported,No Data Reported,72.329,72.329,105.97
2005-08-01,12.435,17.076,3.781,33.292,No Data Reported,No Data Reported,75.845,75.845,109.137
2005-09-01,11.341,15.574,3.449,30.364,No Data Reported,No Data Reported,61.108,61.108,91.472
2005-10-01,10.337,14.194,3.143,27.674,No Data Reported,No Data Reported,37.665,37.665,65.339
2005-11-01,8.479,11.643,2.578,22.7,No Data Reported,No Data Reported,12.755,12.755,35.456
2005-12-01,8.048,11.052,2.447,21.548,No Data Reported,No Data Reported,2.793,2.793,24.341
2006-01-01,9.574,13.146,2.911,25.631,No Data Reported,No Data Reported,12.935,12.935,38.567
2006-02-01,10.32,14.171,3.138,27.629,No Data Reported,No Data Reported,19.533,19.533,47.162
2006-03-01,14.22,19.525,4.324,38.069,No Data Reported,No Data Reported,33.404,33.404,71.473
2006-04-01,15.672,21.52,4.765,41.957,No Data Reported,No Data Reported,52.074,52.074,94.031
2006-05-01,17.302,23.757,5.261,46.319,No Data Reported,No Data Reported,70.735,70.735,117.054
2006-06-01,17.457,23.971,5.308,46.736,No Data Reported,No Data Reported,69.702,69.702,116.438
2006-07-01,18.326,25.164,5.572,49.063,No Data Reported,No Data Reported,61.656,61.656,110.719
2006-08-01,18.136,24.903,5.514,48.553,No Data Reported,No Data Reported,82.993,82.993,131.546
2006-09-01,16.541,22.713,5.03,44.284,No Data Reported,No Data Reported,53.99,53.99,98.274
2006-10-01,15.076,20.7,4.584,40.36,No Data Reported,No Data Reported,32.283,32.283,72.643
2006-11-01,12.366,16.98,3.76,33.107,No Data Reported,No Data Reported,15.686,15.686,48.793
2006-12-01,11.738,16.118,3.569,31.426,No Data Reported,No Data Reported,2.713,2.713,34.139
2007-01-01,13.517,18.561,4.11,36.188,No Data Reported,No Data Reported,12.842,12.842,49.03
2007-02-01,14.571,20.008,4.43,39.009,No Data Reported,No Data Reported,19.244,19.244,58.253
2007-03-01,20.076,27.567,6.104,53.748,No Data Reported,No Data Reported,48.488,48.488,102.236
2007-04-01,22.127,30.383,6.728,59.238,No Data Reported,No Data Reported,54.464,54.464,113.702
2007-05-01,24.427,33.542,7.427,65.396,No Data Reported,No Data Reported,84.192,84.192,149.588
2007-06-01,24.647,33.844,7.494,65.985,No Data Reported,No Data Reported,84.458,84.458,150.444
2007-07-01,25.874,35.529,7.867,69.27,No Data Reported,No Data Reported,85.793,85.793,155.063
2007-08-01,25.605,35.16,7.786,68.551,No Data Reported,No Data Reported,75.163,75.163,143.714
2007-09-01,23.354,32.068,7.101,62.523,No Data Reported,No Data Reported,68.212,68.212,130.735
2007-10-01,21.285,29.227,6.472,56.983,No Data Reported,No Data Reported,49.233,49.233,106.216
2007-11-01,17.459,23.974,5.309,46.742,No Data Reported,No Data Reported,24.302,24.302,71.044
2007-12-01,16.573,22.757,5.039,44.369,No Data Reported,No Data Reported,5.402,5.402,49.77
2008-01-01,21.725,29.826,6.605,58.155,0.001,No Data Reported,16.288,16.289,74.445
2008-02-01,23.418,32.151,7.119,62.688,0.003,No Data Reported,35.838,35.842,98.53
2008-03-01,32.266,44.299,9.809,86.374,0.007,No Data Reported,74.593,74.6,160.974
2008-04-01,35.562,48.823,10.811,95.197,0.009,No Data Reported,94.132,94.141,189.338
2008-05-01,39.259,53.899,11.935,105.093,0.009,No Data Reported,98.735,98.744,203.838
2008-06-01,39.613,54.385,12.043,106.04,0.012,No Data Reported,128.152,128.164,234.204
2008-07-01,41.584,57.092,12.642,111.319,0.01,No Data Reported,110.868,110.878,222.197
2008-08-01,41.153,56.499,12.511,110.162,0.01,No Data Reported,105.272,105.282,215.444
2008-09-01,37.534,51.531,11.411,100.475,0.009,No Data Reported,92.588,92.597,193.072
2008-10-01,34.208,46.965,10.4,91.573,0.006,No Data Reported,60.238,60.243,151.817
2008-11-01,28.06,38.525,8.531,75.116,0.003,No Data Reported,28.845,28.848,103.964
2008-12-01,26.636,36.568,8.098,71.302,0.001,No Data Reported,18.686,18.687,89.989
2009-01-01,29.2,40.09,8.877,78.167,0,No Data Reported,7.19,7.19,85.357
2009-02-01,31.476,43.215,9.569,84.26,0.001,No Data Reported,30.442,30.444,114.704
2009-03-01,43.369,59.543,13.185,116.096,0.004,No Data Reported,78.103,78.107,194.203
2009-04-01,47.799,65.624,14.532,127.955,0.005,No Data Reported,99.411,99.416,227.371
2009-05-01,52.768,72.447,16.042,141.257,0.005,No Data Reported,110.419,110.425,251.682
2009-06-01,53.243,73.099,16.187,142.529,0.005,No Data Reported,103.407,103.413,245.942
2009-07-01,55.893,76.738,16.993,149.624,0.006,No Data Reported,121.182,121.188,270.812
2009-08-01,55.313,75.941,16.816,148.07,0.006,No Data Reported,116.285,116.291,264.361
2009-09-01,50.449,69.263,15.338,135.05,0.004,No Data Reported,94.99,94.994,230.044
2009-10-01,45.979,63.126,13.979,123.084,0.003,No Data Reported,68.098,68.101,191.185
2009-11-01,37.716,51.782,11.466,100.964,0.002,No Data Reported,40.401,40.402,141.366
2009-12-01,35.801,49.152,10.884,95.837,0.001,No Data Reported,21.208,21.209,117.046
2010-01-01,48.727,61.228,13.558,123.513,0.004,0.024,9.838,9.866,133.379
2010-02-01,52.525,66,14.615,133.14,0.014,0.044,32.766,32.824,165.964
2010-03-01,72.371,90.937,20.137,183.445,0.032,0.109,75.858,75.999,259.444
2010-04-01,79.763,100.226,22.194,202.183,0.047,0.14,112.093,112.279,314.462
2010-05-01,88.055,110.645,24.501,223.202,0.064,0.198,152.91,153.172,376.374
2010-06-01,88.848,111.642,24.722,225.212,0.712,0.234,175.107,176.053,401.265
2010-07-01,93.271,117.199,25.952,236.423,0.684,0.181,160.517,161.382,397.804
2010-08-01,92.302,115.982,25.683,233.967,0.615,0.228,155.55,156.393,390.36
2010-09-01,84.186,105.783,23.424,213.394,0.502,0.212,136.867,137.581,350.975
2010-10-01,76.727,96.411,21.349,194.486,0.37,0.129,74.937,75.436,269.922
2010-11-01,62.938,79.084,17.512,159.534,0.332,0.123,76.341,76.795,236.33
2010-12-01,59.742,75.068,16.623,151.433,1.396,0.176,42.83,44.401,195.835
2011-01-01,73.556,99.971,22.137,195.665,2.318,0.147,37.317,39.782,235.446
2011-02-01,79.289,107.764,23.863,210.916,4.124,0.3,80.875,85.299,296.215
2011-03-01,109.248,148.481,32.879,290.608,5.534,0.412,116.353,122.3,412.907
2011-04-01,120.407,163.647,36.238,320.291,8.174,0.564,155.268,164.006,484.298
2011-05-01,132.924,180.66,40.005,353.589,9.378,0.652,180.639,190.669,544.258
2011-06-01,134.121,182.287,40.365,356.774,11.386,1.018,210.369,222.773,579.547
2011-07-01,140.798,191.361,42.375,374.533,9.673,0.846,180.582,191.102,565.635
2011-08-01,139.335,189.373,41.934,370.643,10.608,0.901,217.653,229.163,599.806
2011-09-01,127.083,172.721,38.247,338.051,7.738,0.666,177.315,185.72,523.771
2011-10-01,115.823,157.418,34.858,308.099,7.096,0.564,151.2,158.86,466.959
2011-11-01,95.008,129.127,28.594,252.729,4.001,0.32,103.049,107.37,360.099
2011-12-01,90.184,122.57,27.142,239.896,3.718,0.273,116.662,120.654,360.549
2012-01-01,111.488,165.828,36.721,314.036,3.518,0.626,91.177,95.32,409.356
2012-02-01,120.178,178.754,39.583,338.514,5.375,0.763,129.102,135.24,473.755
2012-03-01,165.585,246.293,54.539,466.417,8.905,0.983,221.34,231.228,697.646
2012-04-01,182.498,271.45,60.109,514.058,12.565,1.251,304.907,318.723,832.782
2012-05-01,201.471,299.67,66.358,567.499,16.204,1.237,445.155,462.597,1030.096
2012-06-01,203.286,302.37,66.956,572.612,17.68,1.394,507.994,527.068,1099.679
2012-07-01,213.405,317.421,70.289,601.115,16.182,1.776,491.553,509.51,1110.625
2012-08-01,211.188,314.124,69.559,594.871,14.805,1.64,444.966,461.411,1056.282
2012-09-01,192.618,286.502,63.443,542.563,17.571,1.546,438.986,458.103,1000.665
2012-10-01,175.551,261.117,57.821,494.49,15.162,1.251,415.015,431.427,925.917
2012-11-01,144.002,214.19,47.43,405.622,11.111,1.011,335.154,347.276,752.898
2012-12-01,136.69,203.314,45.022,385.026,9.373,0.709,338.691,348.772,733.798
2013-01-01,174.261,222.457,49.26,445.978,9.193,0.767,299.864,309.824,755.802
2013-02-01,187.844,239.797,53.1,480.741,14.863,0.908,416.872,432.643,913.383
2013-03-01,258.818,330.4,73.163,662.382,21.748,1.364,596.287,619.399,1281.781
2013-04-01,285.254,364.148,80.636,730.039,25.155,1.715,639.869,666.739,1396.778
2013-05-01,314.909,402.005,89.019,805.934,27.377,1.662,723.667,752.707,1558.64
2013-06-01,317.746,405.626,89.821,813.193,29.635,1.801,839.25,870.685,1683.878
2013-07-01,333.563,425.817,94.292,853.672,27.786,1.672,799.39,828.847,1682.52
2013-08-01,330.098,421.395,93.313,844.806,28.859,1.694,913.539,944.092,1788.898
2013-09-01,301.072,384.34,85.108,770.519,30.139,1.757,916.882,948.779,1719.298
2013-10-01,274.396,350.287,77.567,702.249,31.516,1.54,954.478,987.533,1689.783
2013-11-01,225.083,287.335,63.627,576.044,24.458,1.264,798.631,824.352,1400.396
2013-12-01,213.653,272.744,60.396,546.794,23.157,1.111,825.754,850.021,1396.815
2014-01-01,262.752,299.575,61.706,624.033,16.387,0.697,734.035,751.119,1375.152
2014-02-01,276.93,321.615,65.284,663.829,20.179,0.901,813.912,834.992,1498.821
2014-03-01,382.377,431.851,92.802,907.03,29.295,1.338,1286.46,1317.094,2224.124
2014-04-01,420.584,466.679,101.161,988.424,32.606,1.589,1452.902,1487.097,2475.521
2014-05-01,468.237,512.374,111.4,1092.012,37.878,1.643,1710.134,1749.655,2841.666
2014-06-01,478.141,509.815,112.605,1100.561,38.762,1.774,1882.789,1923.326,3023.887
2014-07-01,502.469,528.809,117.25,1148.528,37.739,1.737,1748.222,1787.699,2936.227
2014-08-01,502.959,520.124,116.052,1139.135,38.998,1.783,1838.701,1879.482,3018.617
2014-09-01,471.878,468.597,105.886,1046.361,35.224,1.61,1795.427,1832.261,2878.621
2014-10-01,445.415,419.204,100.26,964.878,35.652,1.34,1679.931,1716.923,2681.801
2014-11-01,372.805,338.398,80.598,791.802,27.552,1.172,1350.916,1379.64,2171.441
2014-12-01,362.947,328.668,74.454,766.068,20.251,0.785,1010.708,1031.744,1797.813
2015-01-01,339.753,327.17,79.522,746.446,20.24,0.961,1134.15,1155.351,1901.796
2015-02-01,374.672,356.206,84.886,815.765,23.062,1.152,1459.34,1483.554,2299.318
2015-03-01,535.512,478.57,119.496,1133.577,33.132,1.785,2037.34,2072.257,3205.834
2015-04-01,609.482,524.625,129.421,1263.528,39.17,2.132,2337.816,2379.118,3642.646
2015-05-01,676.171,573.676,143.99,1393.837,45.804,2.256,2456.089,2504.149,3897.986
2015-06-01,693.171,571.011,143.832,1408.014,43.454,2.117,2512.027,2557.598,3965.612
2015-07-01,740.693,596.027,149.961,1486.682,45.359,2.234,2579.471,2627.064,4113.745
2015-08-01,745.602,575.342,147.105,1468.048,45.853,2.332,2639.368,2687.553,4155.602
2015-09-01,679.449,515.384,134.818,1329.651,37.415,1.96,2177.75,2217.124,3546.776
2015-10-01,617.83,455.07,124.808,1197.708,32.492,1.691,1875.397,1909.58,3107.287
2015-11-01,514.825,367.11,100.113,982.048,26.717,1.401,1701.544,1729.661,2711.71
2015-12-01,471.385,349.117,93.463,913.964,23.639,1.005,1545.251,1569.895,2483.859
2016-01-01,519.925,346.482,113.199,979.605,26.213,1.407,1458.182,1485.802,2465.407
2016-02-01,621.843,398.353,124.377,1144.573,39.002,2.016,2200.546,2241.563,3386.136
2016-03-01,834.555,519.53,171.055,1525.14,44.488,2.193,2570.772,2617.452,4142.592
2016-04-01,950.974,565.76,186.203,1702.937,46.117,2.451,2831.115,2879.682,4582.619
2016-05-01,1057.629,615.622,205.74,1878.991,47.628,2.552,3375.003,3425.183,5304.175
2016-06-01,1098.991,622.688,206.087,1927.767,52.901,2.871,3417.726,3473.498,5401.265
2016-07-01,1146.409,640.219,213.657,2000.284,55.329,2.987,3886.477,3944.793,5945.077
2016-08-01,1112.818,619.59,209.234,1941.642,57.864,2.917,3908.405,3969.186,5910.828
2016-09-01,989.115,556.393,189.871,1735.378,48.471,2.419,3584.179,3635.069,5370.448
2016-10-01,884.38,493.381,174.303,1552.064,42.425,2.195,3146.603,3191.224,4743.288
2016-11-01,725.718,392.604,138.522,1256.844,35.787,1.951,2729.406,2767.144,4023.989
2016-12-01,652.532,387.106,127.507,1167.145,33.107,1.449,2388.967,2423.523,3590.669
2017-01-01,702.913,420.402,122.715,1246.031,24.112,1.569,2298.306,2323.986,3570.017
2017-02-01,789.454,458.018,136.682,1384.155,32.106,2.095,2716.998,2751.199,4135.354
2017-03-01,1146.679,629.04,196.739,1972.457,46.615,3.029,4464.441,4514.085,6486.542
2017-04-01,1283.144,698.666,213.315,2195.126,49.589,3.693,4853.397,4906.678,7101.804
2017-05-01,1414.857,769.765,238.566,2423.188,55.841,4.002,5725.184,5785.027,8208.215
2017-06-01,1468.778,777.299,240.694,2486.771,58.025,5.191,6052.164,6115.379,8602.15
2017-07-01,1494.756,807.702,252.188,2554.646,54.975,4.934,5509.197,5569.106,8123.752
2017-08-01,1445.866,787.829,245.941,2479.636,52.966,4.894,5310.677,5368.537,7848.173
2017-09-01,1293.315,709.376,222.688,2225.38,48.557,4.303,5006.581,5059.441,7284.821
2017-10-01,1156.732,632.441,200.762,1989.935,40.205,3.449,4606.019,4649.673,6639.608
2017-11-01,903.738,501.798,155.57,1561.106,32.007,2.614,3174.127,3208.749,4769.855
2017-12-01,841.38,492.235,138.239,1471.854,26.267,2.289,3006.449,3035.005,4506.858
2018-01-01,920.571,552.416,146.373,1619.36,28.649,2.485,3287.842,3318.975,4938.335
2018-02-01,1006.591,604.665,155.084,1766.341,30.954,2.75,3862.71,3896.414,5662.755
2018-03-01,1393.328,819.573,221.057,2433.958,43.283,3.841,5009.114,5056.238,7490.196
