Month,Small-Scale Solar Photovoltaic Generation: Residential Sector,Small-Scale Solar Photovoltaic Generation: Commercial Sector,Small-Scale Solar Photovoltaic Generation: Industrial Sector,Small-Scale Solar Photovoltaic Generation: Total (All Sectors),Utility-Scale Solar Electricity Net Generation: Commercial Sector,Utility-Scale Solar Electricity Net Generation: Industrial Sector,Utility-Scale Solar Electricity Net Generation:  Electric Power Sector,Utility-Scale Solar Electricity Net Generation:  Total,Solar Electricity Net Generation
1986-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.895,0.895,0.895
1986-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.254,0.254,0.254
1987-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.062,0.062,0.062
1987-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.532,0.532,0.532
1987-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.902,0.902,0.902
1987-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.278,1.278,1.278
1987-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.251,1.251,1.251
1987-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.665,1.665,1.665
1987-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.785,1.785,1.785
1987-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.19,1.19,1.19
1987-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.774,0.774,0.774
1987-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.576,0.576,0.576
1987-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.322,0.322,0.322
1987-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.159,0.159,0.159
1988-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.458,0.458,0.458
1988-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.767,0.767,0.767
1988-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.288,1.288,1.288
1988-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.478,0.478,0.478
1988-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.263,1.263,1.263
1988-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.358,1.358,1.358
1988-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.115,1.115,1.115
1988-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.131,1.131,1.131
1988-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.971,0.971,0.971
1988-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.137,0.137,0.137
1988-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.068,0.068,0.068
1988-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.059,0.059,0.059
