Month,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
1978-11-01,Not Available,49.966,24901,14.1,69.2
1978-12-01,70,50.824,25415,13.2,67.2
1979-01-01,Not Available,50.627,27792,13.2,73.8
1979-02-01,Not Available,50.627,25911,13.9,76.2
1979-03-01,Not Available,49.747,24335,13.3,65.7
1979-04-01,Not Available,49.747,18418,10.8,51.6
1979-05-01,Not Available,49.747,15025,8.4,40.6
1979-06-01,Not Available,49.747,16065,8.6,44.9
1979-07-01,Not Available,49.747,20825,10.3,56.3
1979-08-01,Not Available,49.747,24204,11.8,65.4
1979-09-01,Not Available,49.747,21804,12.0,61.0
1979-10-01,Not Available,49.747,20934,11.6,56.5
1979-11-01,Not Available,49.747,19255,10.8,53.9
1979-12-01,69,49.747,20586,10.9,55.6
1980-01-01,Not Available,49.747,19746,9.9,53.4
1980-02-01,Not Available,49.747,19277,10.2,55.7
1980-03-01,Not Available,49.747,20039,10.7,54.1
1980-04-01,Not Available,49.747,18794,11.1,52.5
1980-05-01,Not Available,49.747,18385,10.4,49.7
1980-06-01,Not Available,49.747,18322,9.7,51.2
1980-07-01,Not Available,50.895,21024,9.7,55.5
1980-08-01,Not Available,51.81,24333,11.3,63.1
1980-09-01,Not Available,51.81,23572,12.3,63.2
1980-10-01,Not Available,51.81,24510,13.7,63.5
1980-11-01,Not Available,51.81,20984,11.7,56.3
1980-12-01,71,51.81,22130,11.3,57.4
1981-01-01,Not Available,51.81,23779,11.5,61.7
1981-02-01,Not Available,51.81,21595,12.0,62.0
1981-03-01,Not Available,51.81,22004,11.8,57.1
1981-04-01,Not Available,51.81,20646,11.9,55.4
1981-05-01,Not Available,52.638,19723,11.1,50.4
1981-06-01,Not Available,53.744,21166,10.4,54.7
1981-07-01,Not Available,53.744,23080,10.5,57.7
1981-08-01,Not Available,53.744,26946,12.8,67.4
1981-09-01,Not Available,54.894,24398,13.0,61.7
1981-10-01,Not Available,54.894,20556,11.3,50.3
1981-11-01,Not Available,54.894,22783,13.0,57.6
1981-12-01,75,56.042,25997,13.3,62.3
1982-01-01,Not Available,56.042,25678,12.2,61.6
1982-02-01,Not Available,56.042,20188,11.2,53.6
1982-03-01,Not Available,56.042,22755,12.1,54.6
1982-04-01,Not Available,56.042,21785,12.6,54.1
1982-05-01,Not Available,56.042,21639,12.2,51.9
1982-06-01,Not Available,56.042,24026,12.9,59.5
1982-07-01,Not Available,56.042,25467,12.1,61.1
1982-08-01,Not Available,56.042,24986,12.1,59.9
1982-09-01,Not Available,58.16,25391,14.0,60.6
1982-10-01,Not Available,58.1,23248,13.4,53.7
1982-11-01,Not Available,60.035,23235,13.4,53.8
1982-12-01,78,60.035,24376,13.2,54.6
1983-01-01,Not Available,59.532,25073,12.8,56.6
1983-02-01,Not Available,59.632,22198,12.9,55.4
1983-03-01,Not Available,59.632,23890,13.1,53.9
1983-04-01,Not Available,59.658,22335,13.1,52.1
1983-05-01,Not Available,59.883,22051,12.6,49.5
1983-06-01,Not Available,61.686,24152,12.6,54.4
1983-07-01,Not Available,61.23,25602,11.6,56.2
1983-08-01,Not Available,61.44,26201,11.4,57.3
1983-09-01,Not Available,62.227,25007,12.8,55.8
1983-10-01,Not Available,62.876,25797,14.1,55.1
1983-11-01,Not Available,62.809,25010,13.7,55.3
1983-12-01,81,63.009,26361,12.4,56.5
1984-01-01,Not Available,63.009,29313,13.5,62.5
1984-02-01,Not Available,63.009,28436,15.0,64.8
1984-03-01,Not Available,64.057,27345,13.6,57.4
1984-04-01,Not Available,65.157,24231,13.4,51.7
1984-05-01,Not Available,65.157,25867,13.4,53.4
1984-06-01,Not Available,66.207,25299,12.0,53.1
1984-07-01,Not Available,66.207,28284,12.8,57.4
1984-08-01,Not Available,67.446,29493,12.8,58.8
1984-09-01,Not Available,67.446,29146,14.9,60.0
1984-10-01,Not Available,68.566,24774,13.0,48.6
1984-11-01,Not Available,69.652,24575,12.9,49.0
1984-12-01,87,69.652,30872,15.4,59.6
1985-01-01,Not Available,70.675,36186,15.9,68.8
1985-02-01,Not Available,71.795,30812,15.5,63.9
1985-03-01,Not Available,72.899,31041,15.9,57.2
1985-04-01,Not Available,72.899,26458,14.3,50.5
1985-05-01,Not Available,72.899,28697,14.6,52.9
1985-06-01,Not Available,75.275,30837,15.0,56.9
1985-07-01,Not Available,76.354,35184,15.5,61.9
1985-08-01,Not Available,78.478,34812,15.4,59.6
1985-09-01,Not Available,78.478,34508,17.0,61.1
1985-10-01,Not Available,78.478,31205,16.0,53.4
1985-11-01,Not Available,79.397,30166,15.7,52.8
1985-12-01,96,79.397,33782,15.4,57.2
1986-01-01,Not Available,80.604,36219,16.6,60.4
1986-02-01,Not Available,80.604,32721,17.0,60.4
1986-03-01,Not Available,80.604,30773,15.6,51.3
1986-04-01,Not Available,81.863,30477,16.4,51.8
1986-05-01,Not Available,82.995,31924,16.2,51.7
1986-06-01,Not Available,82.995,31334,14.6,52.4
1986-07-01,Not Available,84.048,35894,14.8,57.4
1986-08-01,Not Available,84.048,37483,16.6,59.9
1986-09-01,Not Available,84.048,36593,17.7,60.5
1986-10-01,Not Available,84.048,36214,18.3,57.8
1986-11-01,Not Available,85.241,34944,17.8,56.9
1986-12-01,101,85.241,39463,18.5,62.2
1987-01-01,Not Available,87.248,39975,17.9,61.6
1987-02-01,Not Available,87.248,36598,18.8,62.4
1987-03-01,Not Available,88.446,37290,18.4,56.7
1987-04-01,Not Available,89.33,33518,17.7,52.2
1987-05-01,Not Available,89.33,34320,16.6,51.6
1987-06-01,Not Available,89.33,36560,16.2,56.8
1987-07-01,Not Available,91.488,40056,16.1,58.8
1987-08-01,Not Available,92.324,41352,16.7,60.2
1987-09-01,Not Available,92.324,39666,18.6,59.7
1987-10-01,Not Available,92.324,36492,18.0,53.1
1987-11-01,Not Available,93.583,37438,18.7,55.6
1987-12-01,107,93.583,42006,19.0,60.3
1988-01-01,Not Available,93.583,44658,18.7,64.1
1988-02-01,Not Available,92.743,42246,19.5,65.4
1988-03-01,Not Available,93.982,43912,20.5,62.8
1988-04-01,Not Available,93.982,40067,20.4,59.3
1988-05-01,Not Available,95.089,40650,19.5,57.5
1988-06-01,Not Available,95.089,44079,18.9,64.4
1988-07-01,Not Available,94.695,49828,19.3,70.7
1988-08-01,Not Available,94.695,49035,18.3,69.5
1988-09-01,Not Available,94.695,46270,21.0,67.9
1988-10-01,Not Available,94.695,42591,20.2,60.4
1988-11-01,Not Available,94.695,39583,18.9,58.0
1988-12-01,109,94.695,44052,18.9,62.5
1989-01-01,Not Available,94.695,46328,18.8,65.8
1989-02-01,Not Available,94.695,38725,16.6,60.9
1989-03-01,Not Available,97.031,39636,16.4,54.9
1989-04-01,Not Available,97.031,33495,15.0,48.0
1989-05-01,Not Available,97.031,38339,16.3,53.1
1989-06-01,Not Available,97.031,42976,17.1,61.5
1989-07-01,Not Available,97.323,52331,19.1,72.3
1989-08-01,Not Available,98.161,54948,20.0,75.2
1989-09-01,Not Available,98.161,44837,18.5,63.4
1989-10-01,Not Available,98.161,43558,18.5,59.6
1989-11-01,Not Available,98.161,43399,18.5,61.4
1989-12-01,111,98.161,50784,18.5,69.5
1990-01-01,Not Available,98.161,55119,21.6,75.5
1990-02-01,Not Available,98.161,49963,21.8,75.7
1990-03-01,Not Available,99.311,46087,18.8,62.4
1990-04-01,Not Available,100.461,38516,16.8,53.3
1990-05-01,Not Available,100.461,42945,17.8,57.5
1990-06-01,Not Available,100.461,46332,17.2,64.1
1990-07-01,Not Available,100.497,53645,18.7,71.7
1990-08-01,Not Available,100.497,55758,19.2,74.6
1990-09-01,Not Available,99.624,48485,18.8,67.5
1990-10-01,Not Available,99.624,43395,17.8,58.5
1990-11-01,Not Available,99.624,45034,19.5,62.8
1990-12-01,112,99.624,51582,20.2,69.6
1991-01-01,Not Available,99.624,54369,20.2,73.4
1991-02-01,Not Available,99.624,47863,21.0,71.5
1991-03-01,Not Available,99.624,49121,20.4,66.3
1991-04-01,Not Available,99.624,41631,18.3,58.1
1991-05-01,Not Available,99.624,46755,18.3,63.1
1991-06-01,Not Available,99.624,54208,20.1,75.6
1991-07-01,Not Available,99.589,60735,20.6,82.0
1991-08-01,Not Available,99.589,58473,20.0,78.9
1991-09-01,Not Available,99.589,51874,20.3,72.3
1991-10-01,Not Available,99.589,47653,19.4,64.2
1991-11-01,Not Available,99.589,46295,19.2,64.6
1991-12-01,111,99.589,53589,21.1,72.3
1992-01-01,Not Available,99.589,57849,21.6,78.1
1992-02-01,Not Available,99.421,52804,22.0,76.3
1992-03-01,Not Available,99.421,45835,18.5,62.0
1992-04-01,Not Available,99.421,42268,18.1,59.1
1992-05-01,Not Available,99.421,45627,18.8,61.7
1992-06-01,Not Available,99.421,51185,19.6,71.5
1992-07-01,Not Available,99.421,56049,19.1,75.8
1992-08-01,Not Available,99.421,58656,20.8,79.3
1992-09-01,Not Available,99.421,50919,19.6,71.1
1992-10-01,Not Available,99.421,48784,19.9,65.9
1992-11-01,Not Available,99.421,50726,20.8,70.9
1992-12-01,109,98.985,58075,21.7,78.9
1993-01-01,Not Available,97.881,59076,21.8,81.1
1993-02-01,Not Available,97.881,51319,20.7,78.0
1993-03-01,Not Available,97.881,46606,17.8,64.0
1993-04-01,Not Available,99.031,43199,18.4,60.7
1993-05-01,Not Available,99.031,50367,20.6,68.4
1993-06-01,Not Available,99.031,52620,19.1,73.8
1993-07-01,Not Available,99.031,56502,18.1,76.7
1993-08-01,Not Available,99.031,56209,18.0,76.3
1993-09-01,Not Available,99.031,49989,18.9,70.1
1993-10-01,Not Available,99.094,44434,17.7,60.2
1993-11-01,Not Available,99.094,46862,18.6,65.7
1993-12-01,110,99.041,53108,19.5,72.1
1994-01-01,Not Available,99.041,56847,19.6,77.1
1994-02-01,Not Available,99.041,49821,20.0,74.9
1994-03-01,Not Available,99.041,48969,19.0,66.5
1994-04-01,Not Available,99.041,43192,17.9,60.7
1994-05-01,Not Available,99.041,48525,19.2,65.9
1994-06-01,Not Available,99.041,51751,17.6,72.6
1994-07-01,Not Available,99.041,59123,19.0,80.1
1994-08-01,Not Available,99.041,60104,19.5,81.5
1994-09-01,Not Available,99.041,55628,20.9,77.9
1994-10-01,Not Available,99.041,50703,19.8,68.6
1994-11-01,Not Available,99.041,55280,21.9,77.4
1994-12-01,109,99.148,60497,22.4,82.0
1995-01-01,109,99.148,63342,22.6,85.9
1995-02-01,109,99.148,51858,20.6,77.8
1995-03-01,109,99.148,51880,19.9,70.3
1995-04-01,109,99.148,49321,20.2,69.2
1995-05-01,109,99.148,54387,20.6,73.7
1995-06-01,109,99.148,56381,19.7,79.0
1995-07-01,109,99.515,62037,18.8,83.8
1995-08-01,109,99.515,61661,17.8,83.3
1995-09-01,109,99.515,55690,20.1,77.7
1995-10-01,109,99.515,54293,20.6,73.2
1995-11-01,109,99.515,52708,20.2,73.6
1995-12-01,109,99.515,59844,21.0,80.8
1996-01-01,109,99.515,62942,21.2,85.0
1996-02-01,110,100.908,55928,20.7,79.7
1996-03-01,110,100.908,55474,20.2,73.9
1996-04-01,110,100.908,50325,20.0,69.4
1996-05-01,110,100.908,55637,19.7,74.1
1996-06-01,110,100.908,57498,19.0,79.1
1996-07-01,110,100.908,60953,18.6,81.2
1996-08-01,110,100.908,61477,18.7,81.9
1996-09-01,110,100.908,54593,19.3,75.1
1996-10-01,110,100.908,50612,18.6,67.3
1996-11-01,110,100.908,52132,19.4,71.8
1996-12-01,109,100.784,57159,20.1,76.2
1997-01-01,109,100.784,58914,19.6,78.6
1997-02-01,109,100.784,50658,19.6,74.8
1997-03-01,109,100.784,50414,18.5,67.2
1997-04-01,109,100.784,44883,17.4,61.9
1997-05-01,109,100.784,47032,17.2,62.7
1997-06-01,109,100.784,52095,17.4,71.8
1997-07-01,109,100.784,57352,16.6,76.5
1997-08-01,107,99.716,61084,18.3,82.3
1997-09-01,107,99.716,52586,17.5,70.9
1997-10-01,107,99.716,46981,16.5,63.3
1997-11-01,107,99.716,51189,18.9,69.0
1997-12-01,107,99.716,55457,18.7,74.8
1998-01-01,105,99.716,57889,19.6,78.0
1998-02-01,105,99.716,50999,19.6,76.1
1998-03-01,105,99.716,53711,18.7,72.4
1998-04-01,105,99.716,47503,18.2,66.2
1998-05-01,105,99.716,51496,17.2,69.4
1998-06-01,105,99.716,55732,16.9,77.6
1998-07-01,104,97.07,61499,17.0,85.1
1998-08-01,104,97.07,60369,16.9,83.6
1998-09-01,104,97.07,57206,17.9,81.8
1998-10-01,104,97.07,57429,20.2,79.5
1998-11-01,104,97.07,57372,21.5,82.1
1998-12-01,104,97.07,62497,21.0,86.5
1999-01-01,104,97.502,65689,20.8,90.2
1999-02-01,104,97.502,57489,20.9,87.4
1999-03-01,104,97.502,58838,19.7,80.8
1999-04-01,104,97.502,48529,17.3,68.8
1999-05-01,104,97.502,56057,18.7,76.9
1999-06-01,104,97.502,62300,18.9,88.4
1999-07-01,104,97.502,66815,17.7,92.1
1999-08-01,104,97.502,68143,18.7,94.1
1999-09-01,104,97.502,60935,19.9,86.9
1999-10-01,104,97.502,55343,19.5,76.7
1999-11-01,104,97.502,60552,22.3,86.6
1999-12-01,104,97.411,67563,22.9,94.4
2000-01-01,104,97.411,70762,21.6,93.8
2000-02-01,104,97.411,64179,21.8,91.0
2000-03-01,104,97.411,62737,20.8,83.5
2000-04-01,104,97.411,58259,20.4,80.2
2000-05-01,104,97.411,63976,19.8,84.8
2000-06-01,104,97.411,67299,19.8,92.1
2000-07-01,104,97.411,68972,19.3,95.4
2000-08-01,104,97.411,67226,18.2,93.8
2000-09-01,104,97.411,58267,18.6,87.8
2000-10-01,104,97.411,52470,18.1,76.2
2000-11-01,104,97.411,56471,19.8,85.0
2000-12-01,104,97.86,63276,19.8,93.2
2001-01-01,104,98.159,68707,20.7,94.1
2001-02-01,104,98.159,61272,21.7,92.9
2001-03-01,104,98.159,62141,20.7,85.1
2001-04-01,104,98.159,56003,20.1,79.2
2001-05-01,104,98.159,61512,20.5,84.2
2001-06-01,104,98.159,68023,20.8,96.3
2001-07-01,104,98.159,69166,19.3,94.7
2001-08-01,104,98.159,68389,18.5,93.7
2001-09-01,104,98.159,63378,20.6,89.7
2001-10-01,104,98.159,60461,20.5,82.8
2001-11-01,104,98.159,62342,22.3,88.2
2001-12-01,104,98.159,67431,22.1,92.3
2002-01-01,104,98.657,70926,22.2,96.6
2002-02-01,104,98.657,61658,21.9,93.0
2002-03-01,104,98.657,63041,20.8,85.9
2002-04-01,104,98.657,58437,20.2,82.3
2002-05-01,104,98.657,63032,20.5,85.9
2002-06-01,104,98.657,66372,19.5,93.4
2002-07-01,104,98.657,70421,18.5,95.9
2002-08-01,104,98.657,70778,18.9,96.4
2002-09-01,104,98.657,64481,19.5,90.8
2002-10-01,104,98.657,60493,19.7,82.4
2002-11-01,104,98.657,61520,20.8,86.6
2002-12-01,104,98.657,68905,21.2,93.9
2003-01-01,104,99.209,69211,20.2,93.8
2003-02-01,104,99.209,60942,20.4,91.4
2003-03-01,104,99.209,59933,19.7,81.2
2003-04-01,104,99.209,56776,19.9,79.5
2003-05-01,104,99.209,62202,20.2,84.3
2003-06-01,104,99.209,64181,19.5,89.9
2003-07-01,104,99.209,69653,18.6,94.4
2003-08-01,104,99.209,69024,18.1,93.5
2003-09-01,104,99.209,63584,19.7,89.0
2003-10-01,104,99.209,60016,19.6,81.3
2003-11-01,104,99.209,59600,20.0,83.4
2003-12-01,104,99.209,68612,20.7,93.0
2004-01-01,104,99.628,70806,20.4,95.5
2004-02-01,104,99.628,64102,20.4,92.4
2004-03-01,104,99.628,63285,20.5,85.4
2004-04-01,104,99.628,58620,20.2,81.7
2004-05-01,104,99.628,64917,19.8,87.6
2004-06-01,104,99.628,67734,19.6,94.4
2004-07-01,104,99.628,71975,19.1,97.1
2004-08-01,104,99.628,71068,19.3,95.9
2004-09-01,104,99.628,65932,19.6,91.9
2004-10-01,104,99.628,62530,20.0,84.4
2004-11-01,104,99.628,58941,19.5,82.2
2004-12-01,104,99.628,68617,20.1,92.6
2005-01-01,104,99.988,69828,20.4,93.9
2005-02-01,104,99.988,60947,20.4,90.7
2005-03-01,104,99.988,61539,19.4,82.7
2005-04-01,104,99.988,55484,19.2,77.1
2005-05-01,104,99.988,62970,20.0,84.6
2005-06-01,104,99.988,66144,18.2,91.9
2005-07-01,104,99.988,71070,17.7,95.5
2005-08-01,104,99.988,71382,17.6,96.0
2005-09-01,104,99.988,66739,19.1,92.7
2005-10-01,104,99.988,61236,19.4,82.3
2005-11-01,104,99.988,62913,20.6,87.4
2005-12-01,104,99.988,71735,20.6,96.4
2006-01-01,104,100.334,71912,21.9,96.3
2006-02-01,104,100.334,62616,20.4,92.9
2006-03-01,104,100.334,63721,20.0,85.4
2006-04-01,104,100.334,57567,19.3,79.7
2006-05-01,104,100.334,62776,19.0,84.1
2006-06-01,104,100.334,68391,18.8,94.7
2006-07-01,104,100.334,72186,17.6,96.7
2006-08-01,104,100.334,72016,17.7,96.5
2006-09-01,104,100.334,66642,20.1,92.3
2006-10-01,104,100.334,57509,17.9,77.0
2006-11-01,104,100.334,61392,19.9,85.0
2006-12-01,104,100.334,70490,21.0,94.4
2007-01-01,104,100.266,74006,20.9,99.2
2007-02-01,104,100.266,65225,20.2,96.8
2007-03-01,104,100.266,64305,20.1,86.2
2007-04-01,104,100.266,57301,18.9,79.4
2007-05-01,104,100.266,65025,19.7,87.2
2007-06-01,104,100.266,68923,19.0,95.5
2007-07-01,104,100.266,72739,18.5,97.5
2007-08-01,104,100.266,72751,17.2,97.5
2007-09-01,104,100.266,67579,19.0,93.6
2007-10-01,104,100.266,61690,18.5,82.7
2007-11-01,104,100.266,64899,20.7,89.9
2007-12-01,104,100.266,71983,20.8,96.5
2008-01-01,104,100.755,70735,19.5,94.4
2008-02-01,104,100.755,65130,20.0,92.9
2008-03-01,104,100.755,64716,19.9,86.3
2008-04-01,104,100.755,57333,18.7,79.0
2008-05-01,104,100.755,64826,19.9,86.5
2008-06-01,104,100.755,70319,18.8,96.9
2008-07-01,104,100.755,74318,18.4,99.1
2008-08-01,104,100.755,72617,18.7,96.9
2008-09-01,104,100.755,67054,19.8,92.4
2008-10-01,104,100.755,62820,19.7,83.8
2008-11-01,104,100.755,63408,20.5,87.4
2008-12-01,104,100.755,72931,21.2,97.3
2009-01-01,104,101.004,74102,20.9,98.6
2009-02-01,104,101.004,64227,21.3,94.6
2009-03-01,104,101.004,67241,21.6,89.5
2009-04-01,104,101.004,59408,20.5,81.7
2009-05-01,104,101.004,65395,21.0,87.0
2009-06-01,104,101.004,69735,20.1,95.9
2009-07-01,104,101.004,72949,19.6,97.1
2009-08-01,104,101.004,72245,19.0,96.1
2009-09-01,104,101.004,65752,20.1,90.4
2009-10-01,104,101.004,58021,18.9,77.2
2009-11-01,104,101.004,59069,19.9,81.2
2009-12-01,104,101.004,70710,20.2,94.1
2010-01-01,104,101.167,72569,20.1,96.4
2010-02-01,104,101.167,65245,20.4,96.0
2010-03-01,104,101.167,64635,20.7,85.9
2010-04-01,104,101.167,57611,20.0,79.1
2010-05-01,104,101.167,66658,20.3,88.6
2010-06-01,104,101.167,68301,18.2,93.8
2010-07-01,104,101.167,71913,17.6,95.5
2010-08-01,104,101.167,71574,17.5,95.1
2010-09-01,104,101.167,69371,20.0,95.2
2010-10-01,104,101.167,62751,20.4,83.4
2010-11-01,104,101.167,62655,20.5,86.0
2010-12-01,104,101.167,73683,20.3,97.9
2011-01-01,104,101.163,72743,20.0,96.6
2011-02-01,104,101.163,64789,20.7,95.3
2011-03-01,104,101.163,65662,20.6,87.2
2011-04-01,104,101.163,54547,18.0,74.9
2011-05-01,104,101.163,57013,17.6,75.7
2011-06-01,104,101.277,65270,17.7,89.5
2011-07-01,104,101.277,72345,17.3,96.0
2011-08-01,104,101.347,71339,17.5,94.6
2011-09-01,104,101.347,66849,19.8,91.6
2011-10-01,104,101.347,63337,20.5,84.0
2011-11-01,104,101.347,64474,21.2,88.4
2011-12-01,104,101.419,71837,21.4,95.2
2012-01-01,104,101.602,72381,21.3,95.8
2012-02-01,104,101.602,63847,20.6,90.3
2012-03-01,104,101.602,61729,20.0,81.7
2012-04-01,104,101.602,55871,18.9,76.4
2012-05-01,104,101.625,62081,18.4,82.1
2012-06-01,104,101.625,65140,18.1,89.0
2012-07-01,104,101.747,69129,16.7,91.3
2012-08-01,104,101.856,69602,17.6,91.8
2012-09-01,104,101.856,64511,19.3,88.0
2012-10-01,104,101.856,59743,19.2,78.8
2012-11-01,104,101.885,56713,18.5,77.3
2012-12-01,104,101.885,68584,20.5,90.5
2013-01-01,104,102.206,71406,20.5,93.9
2013-02-01,103,101.346,61483,19.9,90.3
2013-03-01,103,101.455,62947,19.3,83.4
2013-04-01,103,101.603,56767,19.0,77.6
2013-05-01,102,101.282,62848,19.5,83.3
2013-06-01,100,99.132,66430,18.6,93.1
2013-07-01,100,99.132,70539,17.9,95.6
2013-08-01,100,99.132,71344,18.5,96.7
2013-09-01,100,99.132,65799,19.3,92.2
2013-10-01,100,99.132,63184,20.1,85.7
2013-11-01,100,99.132,64975,20.7,91.0
2013-12-01,100,99.24,71294,20.2,96.6
2014-01-01,100,99.182,73163,19.4,99.1
2014-02-01,100,99.182,62639,19.3,94.0
2014-03-01,100,99.182,62397,18.8,84.5
2014-04-01,100,99.182,56385,18.9,78.8
2014-05-01,100,99.182,62947,19.4,85.2
2014-06-01,100,99.182,68138,19.0,95.4
2014-07-01,100,99.182,71940,18.6,97.5
2014-08-01,100,99.182,71129,18.5,96.4
2014-09-01,100,99.182,67535,19.9,94.6
2014-10-01,100,99.182,62391,19.8,84.5
2014-11-01,100,99.182,65140,20.5,91.3
2014-12-01,99,98.569,73363,21.7,99.6
2015-01-01,99,98.533,74270,20.6,101.3
2015-02-01,99,98.533,63461,19.0,95.8
2015-03-01,99,98.533,64547,19.9,88.0
2015-04-01,99,98.533,59784,20.3,84.3
2015-05-01,99,98.533,65827,20.4,89.8
2015-06-01,99,98.672,68516,18.9,96.4
2015-07-01,99,98.672,71412,17.8,97.3
2015-08-01,99,98.672,72415,18.5,98.6
2015-09-01,99,98.672,66476,19.0,93.6
2015-10-01,99,98.672,60571,19.4,82.5
2015-11-01,99,98.672,60264,20.0,84.8
2015-12-01,99,98.672,69634,21.5,94.9
2016-01-01,99,98.921,72525,20.6,98.5
2016-02-01,99,98.921,65638,20.9,95.3
2016-03-01,99,98.921,66149,21.7,89.9
2016-04-01,99,98.921,62732,21.4,88.1
2016-05-01,99,98.921,66576,21.0,90.5
2016-06-01,99,100.043,67175,18.3,94.2
2016-07-01,100,100.043,70349,17.1,94.5
2016-08-01,100,100.043,71526,17.5,96.1
2016-09-01,100,100.043,65448,18.6,90.9
2016-10-01,99,99.565,60733,19.4,81.7
2016-11-01,99,99.565,65179,21.9,90.9
2016-12-01,99,99.565,71662,20.7,96.7
2017-01-01,99,99.61,73121,21.2,98.7
2017-02-01,99,99.61,63560,21.8,95.0
2017-03-01,99,99.61,65093,20.4,87.8
2017-04-01,99,99.61,56743,19.2,79.2
2017-05-01,99,99.61,61313,19.0,82.8
2017-06-01,99,99.61,67011,18.7,93.5
2017-07-01,99,99.629,71314,17.6,96.2
2017-08-01,99,99.629,72384,18.8,97.7
2017-09-01,99,99.629,68098,20.3,95.0
2017-10-01,99,99.629,65995,20.7,89.0
2017-11-01,99,99.629,66618,21.6,92.9
2017-12-01,99,99.629,73700,21.0,99.4
2018-01-01,99,99.731,74649,20.0,100.6
2018-02-01,99,99.731,64790,21.1,96.7
2018-03-01,99,99.731,67033,20.8,90.3
2018-04-01,99,99.731,59133,19.6,82.4
