Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Total Petroleum Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector"
2012-08-01,82483.922,729.455,1178.175,110.469,266.899,3352.596,1003.938,4.648,17.931,22.54,12.443
2012-09-01,69308.876,636.988,883.787,80.006,250.32,2852.381,802.588,4.356,16.49,21.24,11.811
2012-10-01,66342.727,684.345,950.855,87.844,228.582,2865.954,669.195,4.227,15.106,22.485,11.787
2012-11-01,69739.509,731.718,849.85,78.435,238.079,2850.398,579.745,3.91,15.019,22.542,11.872
2012-12-01,73009.118,838.857,877.114,330.551,235.851,3225.779,599.502,4.625,16.338,23.718,12.088
2013-01-01,74832.281,1086.564,1539.562,282.402,329.008,4553.568,631.685,4.842,17.125,21.959,10.993
2013-02-01,66919.432,722.379,1022.156,138.139,288.975,3327.547,568.388,4.357,15.3,19.411,10.251
2013-03-01,70219.094,689.576,882.671,82.239,312.275,3215.862,603.91,4.437,16.977,22.519,11.758
2013-04-01,60584.11,710.882,894.572,101.256,288.085,3147.136,564.827,4.662,13.65,20.909,10.791
2013-05-01,64444.086,836.126,882.38,86.777,408.831,3849.436,614.808,5.027,15.337,22.111,11.859
2013-06-01,74816.509,697.51,942.387,85.896,415.655,3804.067,737.15,4.989,16.785,21.771,12.03
2013-07-01,82966.157,1056.436,1367.125,137.876,417.562,4649.247,911.124,5.254,18.448,22.437,12.633
2013-08-01,81737.471,663.304,1017.55,117.367,433.609,3966.267,900.53,5.292,19.909,22.51,12.075
2013-09-01,72501.066,643.608,876.107,105.417,392.408,3587.173,751.482,5.168,18.036,21.248,11.452
2013-10-01,66107.47,652.155,871.793,91.703,362.309,3427.196,637.038,5.388,17.522,21.597,11.295
2013-11-01,65763.241,769.702,800.2,104.012,285.378,3100.806,601.019,5.187,18.528,22.031,11.174
2013-12-01,77070.857,1069.921,1186.837,156.325,350.488,4165.522,668.792,5.103,19.81,23.681,12.461
2014-01-01,83497.728,4937.645,4284.475,967.309,412.168,12250.271,662.881,3.731,21.381,23.962,11.197
2014-02-01,76036.273,1338.11,1552.289,181.451,338.759,4765.644,551.109,3.093,19.968,22.166,9.908
2014-03-01,71999.581,1445.83,1770.416,252.777,397.327,5455.659,560.808,2.921,22.136,24.083,11.826
2014-04-01,57935.692,653.319,845.223,70.345,275.782,2947.798,548.899,3.315,18.1,23.141,10.985
2014-05-01,63862.694,822.724,743.994,92.472,370.842,3513.398,646.929,3.638,17.285,23.791,11.53
2014-06-01,74123.222,679.376,800.853,35.901,385.272,3442.491,720.75,3.301,21.855,23.511,11.669
2014-07-01,81286.536,656.338,969.773,86.753,356.794,3496.834,843.303,3.679,22.764,24.823,12.125
2014-08-01,80862.6,703.1,1009.231,79.894,357.707,3580.762,897.806,3.954,22.576,23.863,11.935
2014-09-01,68916.43,700.805,828.674,103.401,351.767,3391.717,770.947,3.86,20.837,22.389,11.322
2014-10-01,60947.48,652.307,803.508,106.26,210.529,2614.722,703.39,4.076,20.279,22.125,11.215
2014-11-01,64495.223,820.019,772.185,90.405,270.714,3036.181,600.392,3.818,21.604,22.023,11.403
2014-12-01,67638.4,824.98,751.833,140.86,404.366,3739.504,638.769,4.223,22.468,23.013,11.688
2015-01-01,71323.21,1271.643,1754.474,275.901,379.11,5197.567,711.324,4.47,22.132,22.651,11.255
2015-02-01,67061.005,3683.445,4181.615,748.232,397.213,10599.356,648.343,3.684,20.921,20.486,10.174
2015-03-01,58271.967,831.063,856.675,117.113,264.284,3126.271,708.731,3.263,20.609,22.403,10.743
2015-04-01,48449.002,618.779,818.751,96.777,281.373,2941.172,664.276,3.341,17.821,21.822,10.7
2015-05-01,57059.578,821.384,776.906,111.395,329.993,3359.648,734.486,3.618,18.431,22.969,11.256
2015-06-01,68866.971,766.165,883.369,106.332,298.341,3247.57,886.475,3.454,20.611,23.125,11.526
2015-07-01,76451.696,726.998,1166.729,141.81,401.631,4043.694,1045.542,3.384,22.354,25.607,12.275
2015-08-01,73678.056,684.996,1033.109,113.069,378.367,3723.011,1026.59,3.798,22.964,24.774,12.202
2015-09-01,64681.561,626.336,909.762,162.339,363.493,3515.904,895.044,3.866,19.935,23.121,11.268
2015-10-01,53557.018,618.323,845.135,123.572,292.383,3048.945,791.541,3.471,17.459,23.881,11.358
2015-11-01,48879.384,790.321,910.711,57.259,252.245,3019.516,732.413,3.486,19.195,24.738,11.479
2015-12-01,50164.635,753.106,792.127,77.122,268.405,2964.38,768.606,4.06,21.426,25.445,12.034
2016-01-01,62134.631,1240.354,1058.142,148.642,329.076,4092.518,773.954,3.756,20.69,23.184,11.689
2016-02-01,50661.45,909.968,1142.783,175.509,320.729,3831.906,689.8,3.231,20.495,22.337,10.989
2016-03-01,39948.145,691.047,679.568,111.02,356.6,3264.634,744.765,4.083,19.47,23.599,11.281
2016-04-01,39158.963,631.378,688.219,75.017,375.501,3272.117,718.893,3.41,15.235,23.823,11.436
2016-05-01,45081.935,796.145,757.475,65.336,354.459,3391.251,804.431,3.43,15.721,23.916,11.788
2016-06-01,63250.414,697.353,866.465,93.533,368.301,3498.856,970.308,3.812,18.136,23.135,11.883
2016-07-01,74236.728,797.407,1344.876,97.085,389.396,4186.348,1139.968,4.064,20.066,23.534,12.012
2016-08-01,73889.93,753.737,1277.498,168.551,408.307,4241.321,1151.236,3.82,21.396,24.062,12.285
2016-09-01,62385.216,626.585,859.295,99.608,370.143,3436.203,915.286,4.118,19.065,22.344,11.141
2016-10-01,54621.445,623.371,931.644,44.89,243.588,2817.845,743.796,3.3,15.671,21.747,11.121
2016-11-01,48179.203,812.981,735.419,91.552,295.277,3116.337,662.046,3.9,17.837,24.077,11.141
2016-12-01,65006.425,929.832,900.865,151.38,326.303,3613.592,670.787,3.894,20.625,24.905,12.059
2017-01-01,63595.449,890.396,856.161,137.905,361.804,3693.482,660.294,3.895,20.438,24.938,11.64
2017-02-01,48048.4,696.446,730.053,82.829,271.631,2867.483,569.282,3.465,18.489,22.108,10.153
2017-03-01,48925.143,800.213,732.838,102.98,256.086,2916.461,672.728,3.834,20.939,24.306,10.888
2017-04-01,44358.07,659.422,715.566,98.912,161.701,2282.405,627.3,3.659,16.792,22.249,10.42
2017-05-01,50951.903,780.947,812.048,83.27,323.763,3295.08,699.858,3.815,16.758,23.571,11.113
2017-06-01,58919.965,669.406,909.849,132.465,340.371,3413.575,850.505,3.737,18.422,23.652,11.41
2017-07-01,69881.801,671.876,815.037,78.646,332.361,3227.364,1081.601,4.072,20.092,23.764,11.751
2017-08-01,65882.626,624.419,931.57,109.139,289.467,3112.463,1021.967,3.72,21.052,23.683,11.878
2017-09-01,54780.291,679.714,822.096,100.479,270.089,2952.734,858.544,3.851,18.055,21.938,10.499
2017-10-01,50098.852,738.229,846.989,87.488,220.918,2777.296,772.23,3.915,18.039,22.503,10.49
2017-11-01,51012.535,753.049,707.463,120.296,284.798,3004.798,666.302,3.985,19.036,23.19,10.672
2017-12-01,58538.016,1517.086,1584.502,240.795,286.469,4774.728,784.955,4.218,21.212,24.315,11.55
2018-01-01,64960.304,5253.746,3671.967,593.821,373.126,11385.164,786.506,3.913,21.462,24.363,11.526
2018-02-01,45897.34,659.421,653.417,90.959,302.412,2915.857,690.544,3.675,18.849,22.924,10.77
2018-03-01,44562.376,717.455,647.351,95.799,250.844,2714.825,757.638,3.766,19.658,24.334,11.559
2018-04-01,40603.161,776.649,706.712,84.001,267.264,2903.682,704.947,4.099,15.966,22.632,10.936
2018-05-01,47355.588,936.718,790.218,96.748,204.08,2844.084,849.171,4.339,17.231,22.935,11.321
2018-06-01,56153.629,895.442,875.302,89.819,322.004,3470.583,953.669,3.829,18.98,22.88,11.93
2018-07-01,63893.594,719.134,876.945,88.2,360.381,3486.184,1225.01,4.087,20.821,22.76,11.958
2018-08-01,63810.033,770.803,931.942,123.477,348.009,3566.267,1187.029,4.324,19.835,22.938,11.94
2018-09-01,53987.387,723.104,982.105,127.717,317.731,3421.581,1030.951,3.838,16.949,20.517,10.471
2018-10-01,48473.661,776.724,875.269,127.077,221.754,2887.84,887.974,3.814,16.629,22.579,11.192
2018-11-01,51806.013,893.04,752.216,110.436,266.76,3089.492,763.238,3.605,17.001,22.758,11.177
2018-12-01,55713.783,844.674,683.038,226.575,314.578,3327.177,762.634,3.977,17.681,23.401,11.496
2019-01-01,55967.287,1180.675,1009.361,297.473,321.692,4095.969,849.262,4.105,19.476,21.712,12.447
2019-02-01,45124.076,728.715,585.588,141.883,270.536,2808.866,780.266,4.177,16.079,19.469,10.73
2019-03-01,44098.064,713.976,617.623,114.22,231.244,2602.039,814.239,4.55,16.137,21.217,11.684
2019-04-01,33429.106,627.133,629.103,121.889,150.796,2132.105,740.792,4.024,13.692,19.918,11.384
2019-05-01,40044.651,811.636,744.519,116.662,288.874,3117.187,837.239,3.652,16.091,20.539,12.487
2019-06-01,44296.773,789.982,799.109,127.422,210.273,2767.878,991.491,3.591,16.26,20.434,12.255
2019-07-01,55931.744,745.12,902.071,131.954,295.173,3255.01,1255.943,4.183,18.751,21.015,12.611
2019-08-01,52431.368,730.17,966.731,133.26,269.693,3178.626,1279.149,3.974,19.268,21.21,13.03
2019-09-01,47248.68,692.716,799.173,139.485,225.812,2760.434,1081.643,3.716,16.857,19.658,11.917
2019-10-01,37522.999,713.508,804.18,156.663,70.46,2026.651,937.591,3.35,14.635,20.567,11.8
2019-11-01,41977.307,753.807,725.192,108.804,126.074,2218.173,819.342,3.927,15.714,20.365,12.036
2019-12-01,40533.544,848.75,768.969,160.109,194.151,2748.583,912.395,3.958,17.565,21.51,12.606
2020-01-01,36850.536,780.321,757.404,159.732,253.711,2966.012,948.931,3.872,17.381,21.909,12.494
2020-02-01,32100.228,654.394,612.597,136.55,217.802,2492.551,893.044,4.125,16.405,20.123,11.475
2020-03-01,29024.079,539.148,593.56,124.646,284.556,2680.134,890.784,4.173,15.711,21.753,12.453
2020-04-01,23657.856,468.935,557.344,105.642,248.946,2376.651,777.804,2.707,12.738,20.05,11.855
2020-05-01,26819.734,575.807,593.472,116.886,255.474,2563.535,837.108,2.7,13.94,20.515,11.971
2020-06-01,36623.719,686.121,707.8,105.713,318.923,3094.249,1041.101,2.397,14.003,18.948,11.254
2020-07-01,49820.585,738.979,805.9,115.647,329.061,3305.831,1345.797,2.634,16.332,20.008,12.432
2020-08-01,50475.073,697.168,801.72,119.853,306.122,3149.351,1276.048,3.68,17.728,20.411,12.672
2020-09-01,38713.114,527.767,718.967,127.914,174.189,2245.593,1015.907,2.985,14.776,19.216,11.644
2020-10-01,33886.114,628.026,792.272,133.544,151.091,2309.297,948.293,2.943,14.15,19.418,11.673
2020-11-01,34317.227,620.711,673.123,136.192,223.04,2545.226,772.059,3.743,15.476,19.153,11.484
2020-12-01,43538.584,755.823,767.588,160.613,294.496,3156.504,884.847,3.883,16.733,20.694,12.615
2021-01-01,45195.621,707.979,841.181,150.748,286.13,3130.558,864.025,3.778,17.876,20.393,11.676
2021-02-01,47938.272,1915.409,854.267,215.859,275.601,4363.54,784.546,2.214,16.997,18.2,10.33
2021-03-01,34514.422,680.636,653.688,121.203,258.958,2750.317,741.98,2.473,16.421,20.288,11.563
2021-04-01,30055.889,750.512,598.644,120.606,172.619,2332.857,761.281,3.193,13.495,18.849,10.578
2021-05-01,35650.51,758.042,646.137,85.541,216.606,2572.75,813.818,3.095,14.807,19.533,10.84
2021-06-01,48001.795,821.63,711.287,159.902,194.997,2667.804,1087.086,3.581,16.692,18.817,11.25
2021-07-01,56374.831,705.813,738.679,156.723,278.811,2995.27,1238.444,3.69,18.876,19.405,11.642
2021-08-01,56255.826,863.377,1077.047,220.207,306.024,3690.751,1262.329,3.952,18.713,19.031,11.612
2021-09-01,44390.24,691.252,865.904,159.027,255.55,2993.933,988.732,3.515,16.258,18.615,11.204
2021-10-01,35615.498,742.323,732.291,147.45,257.645,2910.289,939.059,4.087,14.29,18.228,11.05
2021-11-01,32848.526,800.632,681.179,148.862,322.947,3245.408,868.341,3.101,15.476,18.099,10.682
2021-12-01,34593.116,921.376,714.258,149.224,249.485,3032.283,878.946,3.088,16.845,20.007,11.607
2022-01-01,48804.961,2563.158,2424.687,227.578,238.968,6410.263,949.215,3.268,17.811,15.895,7.198
2022-02-01,40063.279,1043.535,859.452,135.942,253.678,3307.319,803.999,3.028,17.163,14.617,6.319
2022-03-01,34498.293,839.604,737.682,132.81,215.563,2787.911,776.847,3.177,16.187,16.052,7.021
2022-04-01,31011.638,672.071,598.177,109.052,223.094,2494.77,743.075,3.605,13.955,14.274,6.525
2022-05-01,35263.856,810.164,685.834,62.787,243.852,2778.045,922.687,4.226,15.161,14.275,6.783
2022-06-01,41816.83,900.39,630.79,138.959,277.973,3060.004,1144.526,3.386,16.757,14.582,6.85
2022-07-01,49556.01,921.475,885.516,174.05,210.678,3034.431,1404.97,3.59,18.506,15.01,7.01
2022-08-01,48469.141,865.422,820.762,182.79,238.599,3061.969,1380.145,3.036,18.572,14.618,6.794
2022-09-01,37409.151,695.097,869.785,144.2,278.651,3102.337,1125.139,3.346,16.381,13.985,6.409
2022-10-01,31554.04,730.837,912.186,151.143,260.451,3096.421,946.433,3.151,14.469,14.335,6.459
2022-11-01,32503.461,763.214,791.018,126.321,228.176,2821.433,902.107,2.509,15.388,14.234,6.339
2022-12-01,41883.045,3657.544,1814.661,278.412,295.09,7226.067,992.402,3.025,17.341,14.611,6.797
2023-01-01,35568.915,816.687,792.278,168.465,177.747,2666.165,962.576,3.128,16.688,15.004,7.013
2023-02-01,26902.884,1063.325,1133.719,189.616,165.757,3215.445,865.583,2.659,14.736,13.505,6.15
2023-03-01,28757.983,703.459,794.143,140.916,135.29,2314.968,935.785,3.202,15.576,14.339,6.608
2023-04-01,22899.728,711.061,748.264,128.332,127.576,2225.537,861.916,3.065,12.12,13.189,6.115
2023-05-01,25508.736,819.118,754.526,98.151,145.941,2401.5,988.739,3.721,14.177,14.269,6.652
2023-06-01,33578.732,751.173,773.627,130.836,164.315,2477.211,1176.71,3.602,15.096,13.541,6.638
2023-07-01,44479.539,704.449,911.843,137.044,265.95,3083.086,1473.097,3.542,16.089,14.199,7.195
2023-08-01,43954.408,802.04,832.646,127.298,266.757,3095.769,1469.908,4.016,16.191,14.2,7.066
2023-09-01,34277.138,615.001,896.214,132.33,241.374,2850.415,1197.59,3.404,13.19,13.211,6.409
2023-10-01,29617.637,685.323,979.038,148.579,125.353,2439.705,1014.738,3.155,12.213,13.899,6.545
2023-11-01,29583.58,726.579,796.691,124.262,80.429,2049.677,961.922,3.19,13.177,13.783,6.538
2023-12-01,32076.025,766.637,788.96,121.348,148.902,2421.455,1031.643,3.787,14.817,15.103,7.163
2024-01-01,42490.049,1692.835,1060.471,248.578,145.42,3728.984,1137.34,3.195,15.329,14.281,6.83
2024-02-01,25962.893,595.903,717.424,112.892,115.904,2005.739,917.221,2.166,12.205,12.639,6.077
2024-03-01,22322.826,652.405,705.3,122.565,64.469,1802.615,922.233,2.684,12.473,13.367,6.324
2024-04-01,21288.47,925.458,705.394,346.686,102.03,2487.688,881.938,2.845,11.26,12.222,5.663
2024-05-01,26252.797,825.374,785.239,90.686,120.277,2302.684,1045.631,2.285,13.454,13.092,6.397
2024-06-01,34464.447,786.128,804.035,105.291,168.647,2538.689,1243.853,3.305,13.321,12.664,6.172
2024-07-01,40518.597,856.544,886.294,116.109,185.035,2784.122,1534.444,2.86,13.531,13.461,6.584
2024-08-01,39471.413,935.299,856.53,110.586,182.702,2815.925,1493.632,2.908,14.077,13.579,6.666
2024-09-01,31583.642,675.33,814.721,86.969,108.826,2121.15,1227.941,2.852,12.531,12.865,6.139
