Month,"Coal Electric Power Sector, Net Summer Capacity","Petroleum Electric Power Sector, Net Summer Capacity","Natural Gas Electric Power Sector, Net Summer Capacity","Fossil Fuels Electric Power Sector, Net Summer Capacity","Nuclear Electric Power Sector, Net Summer Capacity","Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity","Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity","Wood Electric Power Sector, Net Summer Capacity","Waste Electric Power Sector, Net Summer Capacity","Geothermal Electric Power Sector, Net Summer Capacity ","Solar Electric Power Sector, Net Summer Capacity","Wind Electric Power Sector, Net Summer Capacity","Renewable Energy Electric Power Sector, Net Summer Capacity ","Battery Storage Electric Power Sector, Net Summer Capacity","Total Electric Power Sector, Net Summer Capacity"
2009-12-01,310.459,55.728,385.411,751.811,101.004,22.16,78.159,1.889,3.728,2.382,0.617,34.295,121.07,Not Available,996.19
2010-01-01,309.73,54.849,385.39,750.159,101.167,22.199,78.442,2.093,3.631,2.392,0.626,34.759,121.943,0.027,997.178
2010-02-01,310.364,54.522,385.705,750.78,101.167,22.199,78.443,2.093,3.641,2.392,0.626,34.873,122.068,0.027,997.924
2010-03-01,310.364,54.529,386.595,751.678,101.167,22.199,78.443,2.093,3.65,2.392,0.627,35.251,122.455,0.027,999.21
2010-04-01,311.284,54.522,386.433,752.429,101.167,22.199,78.459,2.093,3.652,2.392,0.668,35.35,122.614,0.027,1000.119
2010-05-01,312.016,54.524,387.144,753.874,101.167,22.199,78.459,2.093,3.665,2.392,0.67,35.517,122.795,0.027,1001.745
2010-06-01,312.016,54.65,388.731,755.586,101.167,22.199,78.46,2.093,3.667,2.392,0.684,35.587,122.882,0.027,1003.545
2010-07-01,312.782,54.711,388.755,756.438,101.167,22.199,78.46,2.093,3.676,2.392,0.684,35.591,122.895,0.027,1004.409
2010-08-01,313.632,54.685,388.755,757.261,101.167,22.199,78.46,2.093,3.676,2.392,0.691,36.141,123.452,0.028,1005.796
2010-09-01,313.942,54.641,389.565,758.337,101.167,22.199,78.46,2.093,3.685,2.392,0.717,36.369,123.715,0.028,1007.135
2010-10-01,313.942,54.64,389.555,758.326,101.167,22.199,78.463,2.093,3.694,2.392,0.732,36.919,124.292,0.028,1007.701
2010-11-01,313.595,54.611,389.395,757.791,101.167,22.199,78.463,2.093,3.711,2.392,0.757,37.327,124.742,0.028,1007.622
2010-12-01,312.911,54.605,389.809,757.515,101.167,22.199,78.463,2.082,3.708,2.405,0.859,39.122,126.638,0.028,1009.203
2011-01-01,313.272,51.569,391.858,756.729,101.163,22.181,78.225,2.014,3.683,2.41,0.843,40.056,127.231,0.036,1007.519
2011-02-01,313.272,50.845,391.753,755.9,101.163,22.181,78.225,2.014,3.691,2.411,0.843,40.759,127.943,0.036,1007.401
2011-03-01,313.152,50.797,392.64,756.619,101.163,22.181,78.228,2.014,3.7,2.411,0.862,41.438,128.653,0.036,1008.831
2011-04-01,313.992,50.785,392.736,757.543,101.163,22.181,78.248,2.014,3.697,2.411,0.871,41.729,128.97,0.036,1010.072
2011-05-01,313.488,50.791,395.502,759.811,101.163,22.243,78.272,2.014,3.708,2.411,0.879,42.121,129.405,0.036,1012.836
2011-06-01,314.393,50.962,397.248,762.633,101.277,22.293,78.282,2.014,3.714,2.411,0.908,42.324,129.654,0.036,1016.072
2011-07-01,314.393,50.956,398.855,764.234,101.277,22.293,78.287,2.014,3.724,2.411,0.921,42.684,130.041,0.036,1018.06
2011-08-01,314.393,50.946,398.977,764.345,101.347,22.293,78.287,2.014,3.724,2.412,1.036,42.862,130.335,0.036,1018.515
2011-09-01,313.954,50.915,398.831,763.731,101.347,22.293,78.287,2.064,3.72,2.413,1.114,42.951,130.549,0.036,1018.115
2011-10-01,313.646,50.911,398.568,763.156,101.347,22.293,78.272,2.028,3.744,2.413,1.136,43.398,130.991,0.068,1018.013
