Month,Wood Energy Production,Biofuels Production,Biomass Energy Production,"Renewable Energy Production, Fossil Fuel Equivalent","Conventional Hydro Energy Consumption, Fossil Fuel Equivalent","Geothermal Energy Consumption, Fossil Fuel Equivalent","Solar Energy Consumption, Fossil Fuel Equivalent","Wind Energy Consumption, Fossil Fuel Equivalent",Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Biomass Energy Consumption,"Renewable Energy Consumption, Fossil Fuel Equivalent"
1976-01-01,144.91,Not Available,145.049,421.775,273.323,3.403,Not Available,Not Available,144.91,0.14,Not Available,145.049,421.775
1976-02-01,135.559,Not Available,135.695,396.173,257.277,3.2,Not Available,Not Available,135.559,0.136,Not Available,135.695,396.173
1976-03-01,144.914,Not Available,145.051,427.044,278.567,3.426,Not Available,Not Available,144.914,0.137,Not Available,145.051,427.044
1976-04-01,140.237,Not Available,140.363,396.931,253.482,3.086,Not Available,Not Available,140.237,0.126,Not Available,140.363,396.931
1976-05-01,144.913,Not Available,145.047,415.728,267.732,2.949,Not Available,Not Available,144.913,0.134,Not Available,145.047,415.728
1976-06-01,140.244,Not Available,140.405,411.555,268.088,3.063,Not Available,Not Available,140.244,0.161,Not Available,140.405,411.555
1976-07-01,144.898,Not Available,145.088,421.425,273.026,3.311,Not Available,Not Available,144.898,0.19,Not Available,145.088,421.425
1976-08-01,144.918,Not Available,145.11,398.129,249.759,3.26,Not Available,Not Available,144.918,0.192,Not Available,145.11,398.129
1976-09-01,140.271,Not Available,140.436,356.984,213.376,3.173,Not Available,Not Available,140.271,0.165,Not Available,140.436,356.984
1976-10-01,144.94,Not Available,145.114,369.186,220.99,3.082,Not Available,Not Available,144.94,0.174,Not Available,145.114,369.186
1976-11-01,140.481,Not Available,140.651,351.386,208.138,2.597,Not Available,Not Available,140.481,0.171,Not Available,140.651,351.386
1976-12-01,145.201,Not Available,145.364,360.834,212.507,2.963,Not Available,Not Available,145.201,0.163,Not Available,145.364,360.834
1977-01-01,156.074,Not Available,156.22,378.521,219.069,3.232,Not Available,Not Available,156.074,0.146,Not Available,156.22,378.521
1977-02-01,141.046,Not Available,141.176,304.328,160.329,2.823,Not Available,Not Available,141.046,0.13,Not Available,141.176,304.328
1977-03-01,156.072,Not Available,156.217,368.966,209.549,3.2,Not Available,Not Available,156.072,0.146,Not Available,156.217,368.966
1977-04-01,151.013,Not Available,151.161,351.301,197.287,2.854,Not Available,Not Available,151.013,0.148,Not Available,151.161,351.301
1977-05-01,156.032,Not Available,156.186,356.923,197.656,3.081,Not Available,Not Available,156.032,0.155,Not Available,156.186,356.923
1977-06-01,150.997,Not Available,151.153,336.485,182.303,3.029,Not Available,Not Available,150.997,0.156,Not Available,151.153,336.485
1977-07-01,155.742,Not Available,155.92,336.903,177.779,3.204,Not Available,Not Available,155.742,0.178,Not Available,155.92,336.903
1977-08-01,155.909,Not Available,156.081,335.881,176.863,2.937,Not Available,Not Available,155.909,0.172,Not Available,156.081,335.881
1977-09-01,150.938,Not Available,151.11,328.075,173.821,3.144,Not Available,Not Available,150.938,0.172,Not Available,151.11,328.075
1977-10-01,155.998,Not Available,156.172,341.368,181.908,3.288,Not Available,Not Available,155.998,0.174,Not Available,156.172,341.368
1977-11-01,150.888,Not Available,151.0,370.168,215.864,3.303,Not Available,Not Available,150.888,0.112,Not Available,151.0,370.168
1977-12-01,155.816,Not Available,155.935,400.048,240.826,3.288,Not Available,Not Available,155.816,0.119,Not Available,155.935,400.048
1978-01-01,173.005,Not Available,173.128,438.983,262.529,3.326,Not Available,Not Available,173.005,0.123,Not Available,173.128,438.983
1978-02-01,156.277,Not Available,156.387,391.866,232.625,2.854,Not Available,Not Available,156.277,0.11,Not Available,156.387,391.866
1978-03-01,173.026,Not Available,173.136,433.459,257.965,2.359,Not Available,Not Available,173.026,0.11,Not Available,173.136,433.459
1978-04-01,167.244,Not Available,167.349,434.379,265.041,1.989,Not Available,Not Available,167.244,0.105,Not Available,167.349,434.379
1978-05-01,172.806,Not Available,172.923,475.883,301.188,1.772,Not Available,Not Available,172.806,0.117,Not Available,172.923,475.883
1978-06-01,167.239,Not Available,167.34,432.628,263.109,2.179,Not Available,Not Available,167.239,0.101,Not Available,167.34,432.628
1978-07-01,172.825,Not Available,172.912,431.461,256.107,2.441,Not Available,Not Available,172.825,0.087,Not Available,172.912,431.461
1978-08-01,173.009,Not Available,173.189,408.417,232.357,2.871,Not Available,Not Available,173.009,0.18,Not Available,173.189,408.417
1978-09-01,167.32,Not Available,167.455,392.287,221.801,3.031,Not Available,Not Available,167.32,0.134,Not Available,167.455,392.287
1978-10-01,173.027,Not Available,173.169,379.436,204.012,2.254,Not Available,Not Available,173.027,0.142,Not Available,173.169,379.436
1978-11-01,167.438,Not Available,167.557,379.078,208.974,2.547,Not Available,Not Available,167.438,0.12,Not Available,167.557,379.078
1978-12-01,172.935,Not Available,173.06,407.564,231.275,3.228,Not Available,Not Available,172.935,0.126,Not Available,173.06,407.564
1979-01-01,182.453,Not Available,182.6,447.796,262.096,3.099,Not Available,Not Available,182.453,0.147,Not Available,182.6,447.796
1979-02-01,164.927,Not Available,165.096,390.487,222.855,2.535,Not Available,Not Available,164.927,0.169,Not Available,165.096,390.487
1979-03-01,182.64,Not Available,182.881,457.799,271.516,3.402,Not Available,Not Available,182.64,0.241,Not Available,182.881,457.799
1979-04-01,176.707,Not Available,176.844,445.932,265.941,3.146,Not Available,Not Available,176.707,0.138,Not Available,176.844,445.932
1979-05-01,182.561,Not Available,182.782,489.08,303.134,3.164,Not Available,Not Available,182.561,0.221,Not Available,182.782,489.08
1979-06-01,176.662,Not Available,176.833,441.683,261.646,3.204,Not Available,Not Available,176.662,0.17,Not Available,176.833,441.683
1979-07-01,182.536,Not Available,182.7,424.513,238.414,3.398,Not Available,Not Available,182.536,0.165,Not Available,182.7,424.513
1979-08-01,182.638,Not Available,182.808,409.21,222.695,3.707,Not Available,Not Available,182.638,0.17,Not Available,182.808,409.21
1979-09-01,176.766,Not Available,176.891,378.903,198.794,3.217,Not Available,Not Available,176.766,0.125,Not Available,176.891,378.903
1979-10-01,182.63,Not Available,182.752,397.602,211.243,3.607,Not Available,Not Available,182.63,0.121,Not Available,182.752,397.602
1979-11-01,176.767,Not Available,176.949,414.74,234.286,3.505,Not Available,Not Available,176.767,0.182,Not Available,176.949,414.74
1979-12-01,182.568,Not Available,182.77,425.109,238.063,4.275,Not Available,Not Available,182.568,0.202,Not Available,182.77,425.109
1980-01-01,209.613,Not Available,209.829,478.943,265.618,3.495,Not Available,Not Available,209.613,0.216,Not Available,209.829,478.943
1980-02-01,196.117,Not Available,196.31,424.298,224.631,3.357,Not Available,Not Available,196.117,0.193,Not Available,196.31,424.298
1980-03-01,209.598,Not Available,209.727,469.134,255.676,3.731,Not Available,Not Available,209.598,0.129,Not Available,209.727,469.134
1980-04-01,202.768,Not Available,202.894,477.356,270.552,3.909,Not Available,Not Available,202.768,0.127,Not Available,202.894,477.356
1980-05-01,209.394,Not Available,209.548,517.456,303.305,4.603,Not Available,Not Available,209.394,0.154,Not Available,209.548,517.456
1980-06-01,202.609,Not Available,202.723,497.768,290.604,4.441,Not Available,Not Available,202.609,0.114,Not Available,202.723,497.768
1980-07-01,209.449,Not Available,209.554,471.331,257.106,4.67,Not Available,Not Available,209.449,0.106,Not Available,209.554,471.331
1980-08-01,209.544,Not Available,209.675,429.358,214.693,4.991,Not Available,Not Available,209.544,0.131,Not Available,209.675,429.358
1980-09-01,202.79,Not Available,202.905,401.712,194.301,4.506,Not Available,Not Available,202.79,0.115,Not Available,202.905,401.712
1980-10-01,209.602,Not Available,209.717,402.564,187.73,5.117,Not Available,Not Available,209.602,0.115,Not Available,209.717,402.564
1980-11-01,202.831,Not Available,202.945,409.876,201.929,5.002,Not Available,Not Available,202.831,0.114,Not Available,202.945,409.876
1980-12-01,209.546,Not Available,209.671,448.546,233.998,4.877,Not Available,Not Available,209.546,0.125,Not Available,209.671,448.546
1981-01-01,211.988,1.08,220.544,462.381,236.553,5.284,Not Available,Not Available,211.988,7.476,1.08,220.544,462.381
1981-02-01,191.528,0.976,199.248,427.043,223.123,4.671,Not Available,Not Available,191.528,6.744,0.976,199.248,427.043
1981-03-01,212.042,1.08,220.595,443.808,217.976,5.237,Not Available,Not Available,212.042,7.472,1.08,220.595,443.808
