Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial","Average Price of Electricity to Ultimate Customers, Industrial","Average Price of Electricity to Ultimate Customers, Transportation","Average Price of Electricity to Ultimate Customers, Other","Average Price of Electricity to Ultimate Customers, Total"
1988-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1988-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1989-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1990-01-01,7.17,6.93,4.59,Not Available,5.99,6.27
1990-02-01,7.48,7.15,4.59,Not Available,6.14,6.33
1990-03-01,7.57,7.23,4.6,Not Available,6.24,6.37
1990-04-01,7.69,7.2,4.56,Not Available,6.54,6.35
1990-05-01,7.96,7.31,4.62,Not Available,6.38,6.46
1990-06-01,8.1,7.49,4.82,Not Available,6.54,6.71
1990-07-01,8.18,7.52,5.04,Not Available,6.48,6.92
1990-08-01,8.24,7.53,4.98,Not Available,6.31,6.89
1990-09-01,8.15,7.5,4.97,Not Available,6.49,6.85
1990-10-01,8.04,7.58,4.82,Not Available,6.48,6.67
1990-11-01,7.8,7.34,4.64,Not Available,6.53,6.46
1990-12-01,7.61,7.17,4.63,Not Available,6.75,6.43
1991-01-01,7.41,7.17,4.63,Not Available,6.45,6.43
1991-02-01,7.61,7.36,4.72,Not Available,6.52,6.53
1991-03-01,7.79,7.37,4.71,Not Available,6.45,6.55
1991-04-01,7.98,7.36,4.66,Not Available,6.45,6.53
1991-05-01,8.14,7.51,4.73,Not Available,6.38,6.63
1991-06-01,8.32,7.64,4.96,Not Available,6.52,6.92
1991-07-01,8.38,7.74,5.1,Not Available,6.56,7.1
1991-08-01,8.41,7.74,5.08,Not Available,6.48,7.07
1991-09-01,8.37,7.76,5.04,Not Available,6.59,7.02
1991-10-01,8.32,7.81,4.92,Not Available,6.65,6.87
