Month,Natural Gas Consumed by the Residential Sector,Natural Gas Consumed by the Commercial Sector,"Natural Gas Consumed by the Industrial Sector, Lease and Plant Fuel","Natural Gas Consumed by the Other Industrial Sector, CHP","Natural Gas Consumed by the Other Industrial Sector, Non-CHP","Natural Gas Consumed by the Other Industrial Sector, Total","Natural Gas Consumed by the Industrial Sector, Total","Natural Gas Consumed by the Transportation Sector, Pipelines and Distribution","Natural Gas Consumed by the Transportation Sector, Vehicle Fuel","Natural Gas Consumed by the Transportation Sector, Total",Natural Gas Consumed by the Electric Power Sector,"Natural Gas Consumption, Total"
1973-01-01,843.9,392.315,0.0,Not Available,0.0,0.0,810.141,77.544,Not Available,77.544,224.1,2348.0
1973-02-01,747.331,394.281,0.0,Not Available,0.0,0.0,698.671,70.212,Not Available,70.212,215.505,2126.0
1973-03-01,648.504,310.799,0.0,Not Available,0.0,0.0,731.583,66.546,Not Available,66.546,257.568,2015.0
1973-04-01,465.867,231.943,0.0,Not Available,0.0,0.0,807.36,60.602,Not Available,60.602,269.228,1835.0
1973-05-01,326.313,174.258,0.0,Not Available,0.0,0.0,852.091,57.101,Not Available,57.101,319.237,1729.0
1973-06-01,207.172,135.165,0.0,Not Available,0.0,0.0,768.003,50.661,Not Available,50.661,372.999,1534.0
1973-07-01,150.349,107.728,0.0,Not Available,0.0,0.0,823.906,51.454,Not Available,51.454,424.563,1558.0
1973-08-01,142.498,105.681,0.0,Not Available,0.0,0.0,860.991,52.246,Not Available,52.246,420.584,1582.0
1973-09-01,159.378,103.831,0.0,Not Available,0.0,0.0,858.175,50.43,Not Available,50.43,355.186,1527.0
1973-10-01,205.013,126.54,0.0,Not Available,0.0,0.0,990.622,56.407,Not Available,56.407,329.418,1708.0
1973-11-01,392.459,216.762,0.0,Not Available,0.0,0.0,979.495,62.913,Not Available,62.913,253.371,1905.0
1973-12-01,590.602,297.734,0.0,Not Available,0.0,0.0,1003.192,72.061,Not Available,72.061,218.411,2182.0
1974-01-01,816.943,406.44,0.0,Not Available,0.0,0.0,715.793,70.273,Not Available,70.273,220.551,2230.0
1974-02-01,688.478,335.562,0.0,Not Available,0.0,0.0,761.978,64.727,Not Available,64.727,203.255,2054.0
1974-03-01,597.641,301.588,0.0,Not Available,0.0,0.0,785.05,63.12,Not Available,63.12,255.601,2003.0
1974-04-01,482.013,243.041,0.0,Not Available,0.0,0.0,652.537,53.288,Not Available,53.288,260.121,1691.0
1974-05-01,315.92,165.233,0.0,Not Available,0.0,0.0,768.628,50.672,Not Available,50.672,307.547,1608.0
1974-06-01,215.382,128.032,0.0,Not Available,0.0,0.0,702.437,45.347,Not Available,45.347,347.802,1439.0
1974-07-01,166.289,109.694,0.0,Not Available,0.0,0.0,784.882,47.71,Not Available,47.71,405.425,1514.0
1974-08-01,142.086,107.828,0.0,Not Available,0.0,0.0,829.873,47.584,Not Available,47.584,382.629,1510.0
1974-09-01,154.824,106.51,0.0,Not Available,0.0,0.0,913.224,48.435,Not Available,48.435,314.007,1537.0
1974-10-01,235.176,143.295,0.0,Not Available,0.0,0.0,974.352,53.761,Not Available,53.761,299.416,1706.0
1974-11-01,358.546,199.514,0.0,Not Available,0.0,0.0,971.645,57.574,Not Available,57.574,239.721,1827.0
1974-12-01,612.83,308.879,0.0,Not Available,0.0,0.0,908.635,66.303,Not Available,66.303,207.353,2104.0
1975-01-01,750.713,346.998,0.0,Not Available,0.0,0.0,878.12,67.074,Not Available,67.074,205.095,2248.0
1975-02-01,732.408,345.52,0.0,Not Available,0.0,0.0,614.288,57.855,Not Available,57.855,188.929,1939.0
1975-03-01,677.687,312.362,0.0,Not Available,0.0,0.0,644.986,56.781,Not Available,56.781,211.184,1903.0
1975-04-01,596.831,289.341,0.0,Not Available,0.0,0.0,427.582,46.994,Not Available,46.994,214.252,1575.0
1975-05-01,337.326,164.629,0.0,Not Available,0.0,0.0,514.234,39.714,Not Available,39.714,275.097,1331.0
1975-06-01,203.708,119.96,0.0,Not Available,0.0,0.0,587.925,37.506,Not Available,37.506,307.901,1257.0
1975-07-01,167.293,107.077,0.0,Not Available,0.0,0.0,637.359,39.176,Not Available,39.176,362.095,1313.0
1975-08-01,143.604,104.332,0.0,Not Available,0.0,0.0,720.018,40.847,Not Available,40.847,360.199,1369.0
1975-09-01,153.98,106.655,0.0,Not Available,0.0,0.0,752.611,40.877,Not Available,40.877,315.877,1370.0
1975-10-01,223.383,133.055,0.0,Not Available,0.0,0.0,866.158,46.069,Not Available,46.069,275.335,1544.0
1975-11-01,329.397,179.518,0.0,Not Available,0.0,0.0,854.404,48.933,Not Available,48.933,227.748,1640.0
1975-12-01,607.794,298.845,0.0,Not Available,0.0,0.0,867.267,61.137,Not Available,61.137,213.957,2049.0
1976-01-01,843.235,405.483,0.0,Not Available,0.0,0.0,772.774,62.98,Not Available,62.98,206.528,2291.0
1976-02-01,739.592,364.339,0.0,Not Available,0.0,0.0,581.352,53.276,Not Available,53.276,199.441,1938.0
1976-03-01,578.491,285.912,0.0,Not Available,0.0,0.0,586.521,47.311,Not Available,47.311,222.765,1721.0
1976-04-01,442.648,221.383,0.0,Not Available,0.0,0.0,574.689,41.455,Not Available,41.455,227.825,1508.0
1976-05-01,315.76,169.209,0.0,Not Available,0.0,0.0,642.979,39.421,Not Available,39.421,266.631,1434.0
1976-06-01,220.871,129.058,0.0,Not Available,0.0,0.0,635.004,36.7,Not Available,36.7,313.367,1335.0
1976-07-01,170.257,112.07,0.0,Not Available,0.0,0.0,714.317,37.717,Not Available,37.717,337.639,1372.0
1976-08-01,140.774,113.174,0.0,Not Available,0.0,0.0,697.116,36.205,Not Available,36.205,329.731,1317.0
1976-09-01,152.346,113.284,0.0,Not Available,0.0,0.0,705.514,35.792,Not Available,35.792,295.064,1302.0
1976-10-01,241.902,145.824,0.0,Not Available,0.0,0.0,938.756,44.562,Not Available,44.562,249.956,1621.0
1976-11-01,471.326,252.71,0.0,Not Available,0.0,0.0,882.148,51.544,Not Available,51.544,217.272,1875.0
1976-12-01,734.158,355.294,0.0,Not Available,0.0,0.0,866.54,61.359,Not Available,61.359,214.649,2232.0
1977-01-01,936.793,413.377,0.0,Not Available,0.0,0.0,786.076,65.68,Not Available,65.68,205.074,2407.0
1977-02-01,823.439,366.311,0.0,Not Available,0.0,0.0,376.284,49.553,Not Available,49.553,200.413,1816.0
1977-03-01,560.779,263.862,0.0,Not Available,0.0,0.0,611.736,46.797,Not Available,46.797,231.826,1715.0
1977-04-01,401.258,202.477,0.0,Not Available,0.0,0.0,572.918,39.266,Not Available,39.266,223.081,1439.0
1977-05-01,251.756,142.46,0.0,Not Available,0.0,0.0,687.357,37.629,Not Available,37.629,259.798,1379.0
1977-06-01,182.212,121.297,0.0,Not Available,0.0,0.0,682.448,36.374,Not Available,36.374,310.669,1333.0
1977-07-01,146.064,113.4,0.0,Not Available,0.0,0.0,682.742,36.155,Not Available,36.155,346.639,1325.0
1977-08-01,131.33,108.977,0.0,Not Available,0.0,0.0,735.756,37.219,Not Available,37.219,350.718,1364.0
1977-09-01,140.661,108.977,0.0,Not Available,0.0,0.0,813.874,38.939,Not Available,38.939,324.549,1427.0
1977-10-01,223.663,139.407,0.0,Not Available,0.0,0.0,828.72,41.422,Not Available,41.422,284.788,1518.0
1977-11-01,371.888,200.897,0.0,Not Available,0.0,0.0,837.094,46.115,Not Available,46.115,234.006,1690.0
1977-12-01,651.64,319.351,0.0,Not Available,0.0,0.0,859.849,57.521,Not Available,57.521,219.639,2108.0
1978-01-01,816.411,390.741,0.0,Not Available,0.0,0.0,881.283,64.377,Not Available,64.377,229.188,2382.0
1978-02-01,837.768,400.991,0.0,Not Available,0.0,0.0,631.261,57.81,Not Available,57.81,211.17,2139.0
1978-03-01,680.825,345.141,0.0,Not Available,0.0,0.0,607.998,51.837,Not Available,51.837,232.199,1918.0
1978-04-01,445.702,224.969,0.0,Not Available,0.0,0.0,603.547,41.594,Not Available,41.594,223.188,1539.0
1978-05-01,307.604,166.19,0.0,Not Available,0.0,0.0,608.107,37.297,Not Available,37.297,260.802,1380.0
1978-06-01,184.388,119.963,0.0,Not Available,0.0,0.0,589.47,33.756,Not Available,33.756,321.423,1249.0
1978-07-01,146.989,106.471,0.0,Not Available,0.0,0.0,681.315,36.026,Not Available,36.026,362.199,1333.0
1978-08-01,130.27,100.928,0.0,Not Available,0.0,0.0,678.774,34.729,Not Available,34.729,340.299,1285.0
1978-09-01,135.489,102.915,0.0,Not Available,0.0,0.0,666.236,33.378,Not Available,33.378,296.982,1235.0
1978-10-01,209.515,133.873,0.0,Not Available,0.0,0.0,794.814,38.918,Not Available,38.918,262.88,1440.0
1978-11-01,376.411,196.207,0.0,Not Available,0.0,0.0,812.545,44.81,Not Available,44.81,228.027,1658.0
1978-12-01,631.636,312.718,0.0,Not Available,0.0,0.0,848.723,55.918,Not Available,55.918,220.005,2069.0
1979-01-01,867.301,431.943,0.0,Not Available,0.0,0.0,826.248,72.029,Not Available,72.029,228.479,2426.0
1979-02-01,892.145,444.867,0.0,Not Available,0.0,0.0,574.654,65.438,Not Available,65.438,226.896,2204.0
1979-03-01,659.72,349.164,0.0,Not Available,0.0,0.0,555.917,55.848,Not Available,55.848,260.351,1881.0
1979-04-01,463.492,256.024,0.0,Not Available,0.0,0.0,566.183,47.327,Not Available,47.327,260.974,1594.0
1979-05-01,287.548,170.571,0.0,Not Available,0.0,0.0,651.135,42.428,Not Available,42.428,277.318,1429.0
1979-06-01,189.143,126.564,0.0,Not Available,0.0,0.0,634.232,38.865,Not Available,38.865,320.196,1309.0
1979-07-01,147.607,106.844,0.0,Not Available,0.0,0.0,666.743,39.488,Not Available,39.488,369.318,1330.0
1979-08-01,133.244,103.167,0.0,Not Available,0.0,0.0,690.374,39.845,Not Available,39.845,375.37,1342.0
1979-09-01,137.611,106.175,0.0,Not Available,0.0,0.0,707.447,39.459,Not Available,39.459,338.308,1329.0
1979-10-01,215.151,142.161,0.0,Not Available,0.0,0.0,830.378,46.228,Not Available,46.228,323.082,1557.0
1979-11-01,378.577,222.712,0.0,Not Available,0.0,0.0,853.236,52.493,Not Available,52.493,260.982,1768.0
1979-12-01,593.825,325.768,0.0,Not Available,0.0,0.0,841.639,61.519,Not Available,61.519,249.249,2072.0
1980-01-01,722.0,356.0,93.0,Not Available,719.0,719.0,812.0,71.0,Not Available,71.0,276.743,2237.743
1980-02-01,774.0,380.0,87.0,Not Available,574.0,574.0,661.0,68.0,Not Available,68.0,263.771,2146.771
1980-03-01,673.0,344.0,93.0,Not Available,594.0,594.0,687.0,66.0,Not Available,66.0,283.945,2053.945
1980-04-01,451.0,239.0,85.0,Not Available,454.0,454.0,539.0,49.0,Not Available,49.0,256.606,1534.606
1980-05-01,279.0,155.0,86.0,Not Available,512.0,512.0,598.0,43.0,Not Available,43.0,281.886,1356.886
1980-06-01,191.0,123.0,81.0,Not Available,483.0,483.0,564.0,40.0,Not Available,40.0,336.894,1254.894
1980-07-01,145.0,103.0,82.0,Not Available,504.0,504.0,586.0,41.0,Not Available,41.0,420.339,1295.339
1980-08-01,129.0,101.0,80.0,Not Available,526.0,526.0,606.0,41.0,Not Available,41.0,405.343,1282.343
1980-09-01,135.0,106.0,80.0,Not Available,580.0,580.0,660.0,41.0,Not Available,41.0,357.286,1299.286
1980-10-01,214.0,140.0,84.0,Not Available,734.0,734.0,818.0,49.0,Not Available,49.0,301.266,1522.266
1980-11-01,392.0,224.0,84.0,Not Available,749.0,749.0,833.0,56.0,Not Available,56.0,255.559,1760.559
1980-12-01,646.0,340.0,91.0,Not Available,742.0,742.0,833.0,68.0,Not Available,68.0,241.957,2128.957
1981-01-01,831.0,406.0,81.0,Not Available,654.0,654.0,735.0,75.0,Not Available,75.0,231.606,2278.606
1981-02-01,740.0,355.0,73.0,Not Available,440.0,440.0,513.0,63.0,Not Available,63.0,224.003,1895.003
1981-03-01,585.0,304.0,81.0,Not Available,593.0,593.0,674.0,63.0,Not Available,63.0,273.431,1899.431
1981-04-01,372.0,204.0,78.0,Not Available,496.0,496.0,574.0,49.0,Not Available,49.0,289.053,1488.053
1981-05-01,260.0,151.0,79.0,Not Available,573.0,573.0,652.0,47.0,Not Available,47.0,316.31,1426.31
1981-06-01,168.0,116.0,76.0,Not Available,525.0,525.0,601.0,43.0,Not Available,43.0,380.775,1308.775
1981-07-01,136.0,99.0,77.0,Not Available,548.0,548.0,625.0,43.0,Not Available,43.0,410.666,1313.666
1981-08-01,123.0,107.0,79.0,Not Available,571.0,571.0,650.0,43.0,Not Available,43.0,389.564,1312.564
1981-09-01,133.0,107.0,73.0,Not Available,585.0,585.0,658.0,42.0,Not Available,42.0,324.828,1264.828
1981-10-01,232.0,148.0,76.0,Not Available,711.0,711.0,787.0,50.0,Not Available,50.0,301.67,1518.67
1981-11-01,364.0,205.0,74.0,Not Available,663.0,663.0,737.0,54.0,Not Available,54.0,258.811,1618.811
1981-12-01,601.0,318.0,80.0,Not Available,769.0,769.0,849.0,69.0,Not Available,69.0,239.436,2076.436
1982-01-01,866.0,443.0,104.0,Not Available,670.0,670.0,774.0,79.0,Not Available,79.0,237.675,2399.675
1982-02-01,786.0,404.0,95.0,Not Available,413.0,413.0,508.0,66.0,Not Available,66.0,220.032,1984.032
1982-03-01,602.0,321.0,100.0,Not Available,507.0,507.0,607.0,61.0,Not Available,61.0,246.55,1837.55
1982-04-01,451.0,236.0,95.0,Not Available,408.0,408.0,503.0,49.0,Not Available,49.0,246.344,1485.344
1982-05-01,233.0,139.0,93.0,Not Available,375.0,375.0,468.0,38.0,Not Available,38.0,257.848,1135.848
1982-06-01,165.0,107.0,90.0,Not Available,420.0,420.0,510.0,37.0,Not Available,37.0,295.557,1114.557
1982-07-01,138.0,101.0,91.0,Not Available,424.0,424.0,515.0,38.0,Not Available,38.0,352.818,1144.818
1982-08-01,123.0,105.0,89.0,Not Available,435.0,435.0,524.0,38.0,Not Available,38.0,361.351,1151.351
1982-09-01,136.0,105.0,86.0,Not Available,482.0,482.0,568.0,38.0,Not Available,38.0,293.232,1140.232
1982-10-01,204.0,130.0,87.0,Not Available,573.0,573.0,660.0,43.0,Not Available,43.0,273.003,1310.003
1982-11-01,372.0,217.0,88.0,Not Available,604.0,604.0,692.0,52.0,Not Available,52.0,226.477,1559.477
1982-12-01,557.0,298.0,90.0,Not Available,521.0,521.0,611.0,58.0,Not Available,58.0,214.63,1738.63
1983-01-01,849.621,418.467,92.648,Not Available,593.189,593.189,685.836,50.95,Not Available,50.95,208.341,2213.214
1983-02-01,671.628,340.171,79.931,Not Available,533.835,533.835,613.766,40.76,Not Available,40.76,176.965,1843.29
1983-03-01,580.985,298.259,82.656,Not Available,534.628,534.628,617.284,42.612,Not Available,42.612,208.013,1747.152
1983-04-01,444.247,233.811,80.84,Not Available,496.746,496.746,577.585,37.981,Not Available,37.981,202.917,1496.541
1983-05-01,276.395,154.185,80.84,Not Available,462.196,462.196,543.035,38.907,Not Available,38.907,218.184,1230.706
1983-06-01,164.337,105.38,78.115,Not Available,431.948,431.948,510.063,38.907,Not Available,38.907,247.825,1066.512
1983-07-01,124.457,94.574,80.84,Not Available,406.989,406.989,487.828,40.76,Not Available,40.76,314.357,1061.975
1983-08-01,114.458,95.494,79.931,Not Available,417.922,417.922,497.854,39.833,Not Available,39.833,352.031,1099.67
1983-09-01,122.538,98.798,76.298,Not Available,405.059,405.059,481.357,37.054,Not Available,37.054,298.517,1038.264
1983-10-01,175.875,124.366,79.931,Not Available,430.773,430.773,510.704,38.907,Not Available,38.907,251.151,1101.002
1983-11-01,310.895,185.922,79.931,Not Available,460.326,460.326,540.258,38.907,Not Available,38.907,214.275,1290.257
1983-12-01,545.164,283.12,86.289,Not Available,469.099,469.099,555.388,44.465,Not Available,44.465,218.191,1646.329
1984-01-01,886.307,436.748,101.989,Not Available,645.052,645.052,747.041,54.974,Not Available,54.974,215.027,2340.098
1984-02-01,699.925,354.468,87.99,Not Available,581.186,581.186,669.177,43.98,Not Available,43.98,187.259,1954.809
1984-03-01,605.372,310.657,90.99,Not Available,581.137,581.137,672.127,45.979,Not Available,45.979,206.171,1840.305
1984-04-01,462.95,243.353,88.99,Not Available,542.343,542.343,631.334,40.981,Not Available,40.981,220.005,1598.622
1984-05-01,286.928,159.502,88.99,Not Available,503.947,503.947,592.938,41.98,Not Available,41.98,264.522,1345.87
1984-06-01,169.942,108.29,85.99,Not Available,471.629,471.629,557.62,41.98,Not Available,41.98,297.56,1175.392
1984-07-01,128.314,96.951,88.99,Not Available,445.221,445.221,534.211,43.98,Not Available,43.98,348.848,1152.304
1984-08-01,118.045,98.111,87.99,Not Available,456.874,456.874,544.865,42.98,Not Available,42.98,349.878,1153.879
1984-09-01,126.625,101.386,83.991,Not Available,442.471,442.471,526.461,39.981,Not Available,39.981,290.595,1085.049
1984-10-01,182.438,127.912,87.99,Not Available,470.226,470.226,558.216,41.98,Not Available,41.98,269.629,1180.176
1984-11-01,322.693,193.132,87.99,Not Available,501.933,501.933,589.923,41.98,Not Available,41.98,244.637,1392.366
1984-12-01,565.927,293.733,94.99,Not Available,511.821,511.821,606.81,47.978,Not Available,47.978,217.21,1731.657
1985-01-01,743.223,372.046,90.91,Not Available,615.278,615.278,706.189,53.975,Not Available,53.975,226.276,2101.708
1985-02-01,837.245,411.603,83.917,Not Available,565.862,565.862,649.779,45.979,Not Available,45.979,202.546,2147.152
1985-03-01,566.386,290.467,82.918,Not Available,531.206,531.206,614.124,41.981,Not Available,41.981,207.286,1720.244
1985-04-01,396.625,205.742,78.922,Not Available,491.793,491.793,570.715,38.982,Not Available,38.982,233.819,1445.883
1985-05-01,212.164,127.54,77.923,Not Available,453.513,453.513,531.436,39.981,Not Available,39.981,236.22,1147.342
1985-06-01,156.549,99.871,74.926,Not Available,425.218,425.218,500.144,37.982,Not Available,37.982,281.939,1076.486
1985-07-01,129.851,95.738,76.924,Not Available,439.736,439.736,516.66,39.981,Not Available,39.981,336.535,1118.766
1985-08-01,118.932,93.478,76.924,Not Available,435.184,435.184,512.108,38.982,Not Available,38.982,354.653,1118.153
1985-09-01,129.314,98.139,74.926,Not Available,426.902,426.902,501.828,36.983,Not Available,36.983,274.868,1041.132
1985-10-01,189.799,124.697,77.923,Not Available,466.322,466.322,544.245,38.982,Not Available,38.982,249.579,1147.302
1985-11-01,306.427,179.784,78.922,Not Available,478.787,478.787,557.709,38.982,Not Available,38.982,229.943,1312.844
1985-12-01,646.863,333.279,90.91,Not Available,571.485,571.485,662.395,50.976,Not Available,50.976,210.417,1903.931
1986-01-01,790.569,391.955,88.954,Not Available,646.762,646.762,735.716,50.42,Not Available,50.42,184.024,2152.685
1986-02-01,684.541,344.992,76.96,Not Available,578.128,578.128,655.088,43.361,Not Available,43.361,157.07,1885.053
1986-03-01,579.901,291.178,81.958,Not Available,566.404,566.404,648.362,42.353,Not Available,42.353,169.697,1731.49
1986-04-01,363.277,189.136,72.962,Not Available,488.012,488.012,560.974,36.302,Not Available,36.302,198.143,1347.833
1986-05-01,236.207,130.876,74.961,Not Available,453.988,453.988,528.949,38.319,Not Available,38.319,231.041,1165.392
1986-06-01,154.889,98.627,70.963,Not Available,414.224,414.224,485.187,37.311,Not Available,37.311,260.163,1036.177
1986-07-01,126.494,88.824,73.962,Not Available,402.495,402.495,476.457,38.319,Not Available,38.319,300.87,1030.964
1986-08-01,117.487,88.74,73.962,Not Available,400.166,400.166,474.128,38.319,Not Available,38.319,276.163,994.837
1986-09-01,130.597,90.88,69.964,Not Available,365.513,365.513,435.477,36.302,Not Available,36.302,246.674,939.93
1986-10-01,185.265,115.656,73.962,Not Available,386.489,386.489,460.451,38.319,Not Available,38.319,216.738,1016.429
1986-11-01,345.659,188.912,78.959,Not Available,405.789,405.789,484.748,38.319,Not Available,38.319,186.605,1244.243
1986-12-01,599.085,298.559,84.956,Not Available,471.089,471.089,556.045,47.395,Not Available,47.395,175.181,1676.265
1987-01-01,741.338,384.495,107.628,Not Available,653.401,653.401,761.029,53.222,Not Available,53.222,184.722,2124.807
1987-02-01,688.699,363.047,96.459,Not Available,566.509,566.509,662.968,45.189,Not Available,45.189,158.341,1918.243
1987-03-01,575.299,304.877,101.536,Not Available,530.925,530.925,632.46,44.185,Not Available,44.185,190.893,1747.714
1987-04-01,401.848,214.317,95.443,Not Available,476.02,476.02,571.463,42.176,Not Available,42.176,206.438,1436.241
1987-05-01,222.779,133.011,94.428,Not Available,448.079,448.079,542.507,42.176,Not Available,42.176,242.615,1183.088
1987-06-01,146.812,97.398,90.367,Not Available,439.784,439.784,530.15,40.168,Not Available,40.168,283.554,1098.082
1987-07-01,125.625,93.805,92.397,Not Available,423.156,423.156,515.553,38.159,Not Available,38.159,319.239,1092.381
1987-08-01,117.471,90.264,94.428,Not Available,443.658,443.658,538.086,40.168,Not Available,40.168,338.646,1124.635
1987-09-01,126.348,100.591,90.367,Not Available,419.924,419.924,510.29,38.159,Not Available,38.159,268.08,1043.469
1987-10-01,222.825,141.124,95.443,Not Available,481.376,481.376,576.819,41.172,Not Available,41.172,238.185,1220.126
1987-11-01,354.076,202.137,100.52,Not Available,498.988,498.988,599.508,43.18,Not Available,43.18,216.781,1415.682
1987-12-01,591.715,304.998,90.367,Not Available,571.49,571.49,661.857,51.214,Not Available,51.214,196.556,1806.34
1988-01-01,852.076,424.341,101.989,Not Available,577.59,577.59,679.58,62.991,Not Available,62.991,167.607,2186.595
1988-02-01,754.526,391.828,92.99,Not Available,573.673,573.673,666.663,54.992,Not Available,54.992,169.688,2037.697
1988-03-01,596.846,320.198,96.99,Not Available,595.88,595.88,692.869,52.992,Not Available,52.992,204.042,1866.947
1988-04-01,400.177,223.056,87.991,Not Available,507.045,507.045,595.035,45.993,Not Available,45.993,199.394,1463.656
1988-05-01,257.781,157.765,90.99,Not Available,507.034,507.034,598.024,48.993,Not Available,48.993,239.871,1302.434
1988-06-01,152.204,117.552,85.991,Not Available,487.131,487.131,573.122,46.993,Not Available,46.993,280.49,1170.361
1988-07-01,122.908,109.305,86.991,Not Available,480.201,480.201,567.191,48.993,Not Available,48.993,328.088,1176.486
1988-08-01,114.411,113.303,87.991,Not Available,513.504,513.504,601.494,48.993,Not Available,48.993,344.214,1222.415
1988-09-01,124.739,112.517,82.991,Not Available,498.728,498.728,581.719,46.993,Not Available,46.993,232.665,1098.633
1988-10-01,232.157,155.784,90.99,Not Available,522.329,522.329,613.319,48.993,Not Available,48.993,181.673,1231.925
