Month,"Coal Industrial Sector, Net Summer Capacity","Petroleum Industrial Sector, Net Summer Capacity","Natural Gas Industrial Sector, Net Summer Capacity","Fossil Fuels Industrial Sector, Net Summer Capacity","Nuclear Industrial Sector, Net Summer Capacity","Hydroelectric Pumped Storage Industrial Sector, Net Summer Capacity","Conventional Hydroelectric Power Industrial Sector, Net Summer Capacity","Wood Industrial Sector, Net Summer Capacity","Waste Industrial Sector, Net Summer Capacity","Geothermal Industrial Sector, Net Summer Capacity ","Solar Industrial Sector, Net Summer Capacity","Wind Industrial Sector, Net Summer Capacity","Renewable Energy Industrial Sector, Net Summer Capacity ","Battery Storage Industrial Sector, Net Summer Capacity","Total Industrial Sector, Net Summer Capacity"
2020-11-01,1.526,0.512,15.303,19.255,No Data Reported,No Data Reported,0.214,5.585,0.136,No Data Reported,0.078,0.28,6.293,0.003,26.82
2020-12-01,1.526,0.512,15.303,19.255,No Data Reported,No Data Reported,0.214,5.566,0.136,No Data Reported,0.083,0.28,6.279,0.003,26.805
2021-01-01,1.422,0.512,15.927,19.411,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.081,0.054,5.842,0.003,26.55
2021-02-01,1.422,0.512,15.927,19.411,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.081,0.054,5.842,0.003,26.55
2021-03-01,1.422,0.512,15.927,19.411,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.081,0.054,5.842,0.003,26.55
2021-04-01,1.422,0.512,15.924,19.409,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.083,0.054,5.844,0.003,26.549
2021-05-01,1.422,0.511,15.924,19.408,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.083,0.054,5.844,0.003,26.548
2021-06-01,1.422,0.509,15.952,19.435,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.083,0.054,5.844,0.003,26.575
2021-07-01,1.422,0.509,16.092,19.574,No Data Reported,No Data Reported,0.214,5.356,0.137,No Data Reported,0.087,0.054,5.848,0.003,26.719
2021-08-01,1.422,0.509,16.092,19.549,No Data Reported,No Data Reported,0.214,5.356,0.136,No Data Reported,0.093,0.054,5.854,0.003,26.7
2021-09-01,1.422,0.509,16.054,19.511,No Data Reported,No Data Reported,0.214,5.361,0.136,No Data Reported,0.113,0.054,5.878,0.003,26.686
2021-10-01,1.422,0.508,16.139,19.595,No Data Reported,No Data Reported,0.214,5.361,0.136,No Data Reported,0.118,0.057,5.886,0.003,26.778
2021-11-01,1.422,0.507,16.136,19.591,No Data Reported,No Data Reported,0.214,5.361,0.136,No Data Reported,0.118,0.057,5.887,0.003,26.775
2021-12-01,1.422,0.507,16.139,19.594,No Data Reported,No Data Reported,0.214,5.351,0.136,No Data Reported,0.128,0.057,5.886,0.003,26.777
2022-01-01,1.396,0.569,16.434,19.702,No Data Reported,No Data Reported,0.209,5.247,0.127,No Data Reported,0.135,0.057,5.774,0.003,26.732
2022-02-01,1.396,0.569,16.434,19.702,No Data Reported,No Data Reported,0.209,5.247,0.127,No Data Reported,0.135,0.057,5.774,0.003,26.732
2022-03-01,1.396,0.569,16.437,19.775,No Data Reported,No Data Reported,0.209,5.247,0.127,No Data Reported,0.142,0.057,5.781,0.003,26.812
2022-04-01,1.396,0.569,16.436,19.773,No Data Reported,No Data Reported,0.209,5.247,0.127,No Data Reported,0.144,0.057,5.783,0.003,26.812
2022-05-01,1.396,0.569,16.436,19.773,No Data Reported,No Data Reported,0.209,5.247,0.127,No Data Reported,0.148,0.057,5.787,0.004,26.817
2022-06-01,1.396,0.569,16.435,19.773,No Data Reported,No Data Reported,0.209,5.241,0.127,No Data Reported,0.161,0.057,5.794,0.004,26.793
2022-07-01,1.396,0.569,16.435,19.773,No Data Reported,No Data Reported,0.209,5.253,0.127,No Data Reported,0.163,0.057,5.808,0.004,26.807
2022-08-01,1.396,0.569,16.435,19.772,No Data Reported,No Data Reported,0.209,5.253,0.127,No Data Reported,0.171,0.057,5.817,0.004,26.814
2022-09-01,1.396,0.569,16.436,19.773,No Data Reported,No Data Reported,0.209,5.253,0.127,No Data Reported,0.171,0.057,5.817,0.004,26.816
2022-10-01,1.396,0.569,16.401,19.738,No Data Reported,No Data Reported,0.209,5.253,0.127,No Data Reported,0.171,0.057,5.817,0.004,26.78
2022-11-01,1.396,0.569,16.404,19.741,No Data Reported,No Data Reported,0.209,5.253,0.127,No Data Reported,0.174,0.057,5.819,0.004,26.787
2022-12-01,1.396,0.569,16.404,19.736,No Data Reported,No Data Reported,0.209,5.253,0.127,No Data Reported,0.174,0.057,5.819,0.004,26.781
2023-01-01,1.375,0.488,16.43,19.829,No Data Reported,No Data Reported,0.209,5.38,0.124,No Data Reported,0.176,0.057,5.945,0.004,27.001
2023-02-01,1.375,0.488,16.457,19.856,No Data Reported,No Data Reported,0.209,5.38,0.124,No Data Reported,0.174,0.057,5.943,0.004,27.026
2023-03-01,1.375,0.488,16.377,19.746,No Data Reported,No Data Reported,0.209,5.38,0.124,No Data Reported,0.177,0.057,5.946,0.004,26.919
2023-04-01,1.375,0.488,16.378,19.746,No Data Reported,No Data Reported,0.209,5.38,0.124,No Data Reported,0.177,0.057,5.946,0.004,26.947
2023-05-01,1.375,0.488,16.379,19.747,No Data Reported,No Data Reported,0.209,5.335,0.124,No Data Reported,0.177,0.057,5.901,0.004,26.903
2023-06-01,1.375,0.488,16.32,19.688,No Data Reported,No Data Reported,0.209,5.32,0.124,No Data Reported,0.177,0.057,5.886,0.004,26.829
2023-07-01,1.375,0.488,16.32,19.688,No Data Reported,No Data Reported,0.209,5.32,0.124,No Data Reported,0.178,0.057,5.888,0.004,26.831
2023-08-01,1.375,0.488,16.32,19.688,No Data Reported,No Data Reported,0.209,5.32,0.124,No Data Reported,0.178,0.057,5.888,0.004,26.831
2023-09-01,1.375,0.488,16.325,19.694,No Data Reported,No Data Reported,0.209,5.288,0.124,No Data Reported,0.178,0.057,5.856,0.004,26.804
2023-10-01,1.375,0.488,16.325,19.694,No Data Reported,No Data Reported,0.207,5.288,0.124,No Data Reported,0.192,0.057,5.867,0.004,26.816
2023-11-01,1.375,0.488,16.319,19.687,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.197,0.057,5.809,0.004,26.752
2023-12-01,1.375,0.488,16.288,19.656,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.245,0.054,5.855,0.004,26.765
2024-01-01,1.375,0.488,16.29,19.658,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.254,0.054,5.863,0.004,26.772
2024-02-01,1.375,0.488,16.29,19.658,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.254,0.054,5.863,0.004,26.772
2024-03-01,1.375,0.488,16.29,19.658,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.255,0.054,5.865,0.004,26.774
2024-04-01,1.375,0.488,16.182,19.551,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.255,0.054,5.865,0.004,26.667
2024-05-01,1.375,0.488,16.182,19.551,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.255,0.054,5.865,0.004,26.667
2024-06-01,1.375,0.488,16.183,19.552,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.261,0.054,5.87,0.004,26.674
2024-07-01,1.375,0.488,16.185,19.554,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.265,0.054,5.875,0.004,26.68
2024-08-01,1.375,0.488,16.188,19.556,No Data Reported,No Data Reported,0.207,5.225,0.124,No Data Reported,0.266,0.054,5.876,0.004,26.684
2024-09-01,1.375,0.488,16.194,19.563,No Data Reported,No Data Reported,0.207,5.225,0.126,No Data Reported,0.274,0.054,5.887,0.004,26.701
