Month,"Fuel Ethanol, Excluding Denaturant, Feedstock","Fuel Ethanol, Excluding Denaturant, Losses and Co-products",Fuel Ethanol Denaturant,Fuel Ethanol Production,Fuel Ethanol Production.1,Fuel Ethanol Production.2,Fuel Ethanol Net Imports,Fuel Ethanol Stocks,Fuel Ethanol Stock Change,Fuel Ethanol Consumption,Fuel Ethanol Consumption.1,Fuel Ethanol Consumption.2,"Fuel Ethanol, Excluding Denaturant, Consumption"
1981-01-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-02-01,0.976,0.45,3.035,151.734,6.373,0.541,Not Available,Not Available,Not Available,151.734,6.373,0.541,0.526
1981-03-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-04-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-05-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-06-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-07-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-08-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-09-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-10-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-11-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-12-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1982-01-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-02-01,2.639,1.211,8.237,411.849,17.298,1.468,Not Available,Not Available,Not Available,411.849,17.298,1.468,1.428
1982-03-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-04-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-05-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-06-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-07-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-08-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-09-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-10-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-11-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-12-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1983-01-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-02-01,4.844,2.213,15.173,758.67,31.864,2.704,Not Available,Not Available,Not Available,758.67,31.864,2.704,2.631
1983-03-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-04-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-05-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-06-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-07-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-08-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-09-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-10-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-11-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-12-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1984-01-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-02-01,6.125,2.786,19.255,962.731,40.435,3.431,Not Available,Not Available,Not Available,962.731,40.435,3.431,3.339
1984-03-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-04-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-05-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-06-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-07-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-08-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-09-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-10-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-11-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-12-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1985-01-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-02-01,7.146,3.237,22.543,1127.166,47.341,4.017,Not Available,Not Available,Not Available,1127.166,47.341,4.017,3.909
1985-03-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-04-01,7.656,3.468,24.154,1207.678,50.722,4.304,Not Available,Not Available,Not Available,1207.678,50.722,4.304,4.188
1985-05-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-06-01,7.656,3.468,24.154,1207.678,50.722,4.304,Not Available,Not Available,Not Available,1207.678,50.722,4.304,4.188
1985-07-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-08-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-09-01,7.656,3.468,24.154,1207.678,50.722,4.304,Not Available,Not Available,Not Available,1207.678,50.722,4.304,4.188
1985-10-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-11-01,7.656,3.468,24.154,1207.678,50.722,4.304,Not Available,Not Available,Not Available,1207.678,50.722,4.304,4.188
1985-12-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1986-01-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1986-02-01,8.216,3.705,26.012,1300.576,54.624,4.635,Not Available,Not Available,Not Available,1300.576,54.624,4.635,4.511
1986-03-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1986-04-01,8.803,3.97,27.869,1393.475,58.526,4.966,Not Available,Not Available,Not Available,1393.475,58.526,4.966,4.833
1986-05-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1986-06-01,8.803,3.97,27.869,1393.475,58.526,4.966,Not Available,Not Available,Not Available,1393.475,58.526,4.966,4.833
1986-07-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1986-08-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1986-09-01,8.803,3.97,27.869,1393.475,58.526,4.966,Not Available,Not Available,Not Available,1393.475,58.526,4.966,4.833
1986-10-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1986-11-01,8.803,3.97,27.869,1393.475,58.526,4.966,Not Available,Not Available,Not Available,1393.475,58.526,4.966,4.833
1986-12-01,9.096,4.102,28.798,1439.924,60.477,5.132,Not Available,Not Available,Not Available,1439.924,60.477,5.132,4.994
1987-01-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1987-02-01,9.415,4.227,29.913,1495.663,62.818,5.331,Not Available,Not Available,Not Available,1495.663,62.818,5.331,5.187
1987-03-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1987-04-01,10.087,4.529,32.05,1602.496,67.305,5.711,Not Available,Not Available,Not Available,1602.496,67.305,5.711,5.558
1987-05-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1987-06-01,10.087,4.529,32.05,1602.496,67.305,5.711,Not Available,Not Available,Not Available,1602.496,67.305,5.711,5.558
1987-07-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1987-08-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1987-09-01,10.087,4.529,32.05,1602.496,67.305,5.711,Not Available,Not Available,Not Available,1602.496,67.305,5.711,5.558
1987-10-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1987-11-01,10.087,4.529,32.05,1602.496,67.305,5.711,Not Available,Not Available,Not Available,1602.496,67.305,5.711,5.558
1987-12-01,10.423,4.68,33.118,1655.912,69.548,5.902,Not Available,Not Available,Not Available,1655.912,69.548,5.902,5.743
1988-01-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1988-02-01,9.83,4.394,31.345,1567.236,65.824,5.586,Not Available,Not Available,Not Available,1567.236,65.824,5.586,5.436
1988-03-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1988-04-01,10.169,4.546,32.426,1621.279,68.094,5.778,Not Available,Not Available,Not Available,1621.279,68.094,5.778,5.623
1988-05-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1988-06-01,10.169,4.546,32.426,1621.279,68.094,5.778,Not Available,Not Available,Not Available,1621.279,68.094,5.778,5.623
1988-07-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1988-08-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1988-09-01,10.169,4.546,32.426,1621.279,68.094,5.778,Not Available,Not Available,Not Available,1621.279,68.094,5.778,5.623
1988-10-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1988-11-01,10.169,4.546,32.426,1621.279,68.094,5.778,Not Available,Not Available,Not Available,1621.279,68.094,5.778,5.623
1988-12-01,10.508,4.697,33.506,1675.321,70.363,5.971,Not Available,Not Available,Not Available,1675.321,70.363,5.971,5.81
1989-01-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1989-02-01,9.618,4.28,30.78,1539.015,64.639,5.485,Not Available,Not Available,Not Available,1539.015,64.639,5.485,5.338
1989-03-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1989-04-01,10.305,4.586,32.979,1648.945,69.256,5.877,Not Available,Not Available,Not Available,1648.945,69.256,5.877,5.719
1989-05-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1989-06-01,10.305,4.586,32.979,1648.945,69.256,5.877,Not Available,Not Available,Not Available,1648.945,69.256,5.877,5.719
1989-07-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1989-08-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1989-09-01,10.305,4.586,32.979,1648.945,69.256,5.877,Not Available,Not Available,Not Available,1648.945,69.256,5.877,5.719
1989-10-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1989-11-01,10.305,4.586,32.979,1648.945,69.256,5.877,Not Available,Not Available,Not Available,1648.945,69.256,5.877,5.719
1989-12-01,10.649,4.739,34.078,1703.91,71.564,6.073,Not Available,Not Available,Not Available,1703.91,71.564,6.073,5.91
1990-01-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1990-02-01,8.505,3.769,27.312,1365.605,57.355,4.867,Not Available,Not Available,Not Available,1365.605,57.355,4.867,4.736
1990-03-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1990-04-01,9.112,4.038,29.263,1463.148,61.452,5.215,Not Available,Not Available,Not Available,1463.148,61.452,5.215,5.075
1990-05-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1990-06-01,9.112,4.038,29.263,1463.148,61.452,5.215,Not Available,Not Available,Not Available,1463.148,61.452,5.215,5.075
1990-07-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1990-08-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1990-09-01,9.112,4.038,29.263,1463.148,61.452,5.215,Not Available,Not Available,Not Available,1463.148,61.452,5.215,5.075
1990-10-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1990-11-01,9.112,4.038,29.263,1463.148,61.452,5.215,Not Available,Not Available,Not Available,1463.148,61.452,5.215,5.075
1990-12-01,9.416,4.172,30.238,1511.92,63.501,5.388,Not Available,Not Available,Not Available,1511.92,63.501,5.388,5.244
1991-01-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
1991-02-01,9.819,4.331,31.647,1582.368,66.459,5.64,Not Available,Not Available,Not Available,1582.368,66.459,5.64,5.488
1991-03-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
1991-04-01,10.521,4.641,33.908,1695.394,71.207,6.042,Not Available,Not Available,Not Available,1695.394,71.207,6.042,5.88
1991-05-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
1991-06-01,10.521,4.641,33.908,1695.394,71.207,6.042,Not Available,Not Available,Not Available,1695.394,71.207,6.042,5.88
1991-07-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
1991-08-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
1991-09-01,10.521,4.641,33.908,1695.394,71.207,6.042,Not Available,Not Available,Not Available,1695.394,71.207,6.042,5.88
1991-10-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
1991-11-01,10.521,4.641,33.908,1695.394,71.207,6.042,Not Available,Not Available,Not Available,1695.394,71.207,6.042,5.88
1991-12-01,10.871,4.795,35.038,1751.907,73.58,6.244,Not Available,Not Available,Not Available,1751.907,73.58,6.244,6.076
