Month,Coal Commercial Sector CO2 Emissions,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions",Distillate Fuel Oil Commercial Sector CO2 Emissions,HGL Commercial Sector CO2 Emissions,Kerosene Commercial Sector CO2 Emissions,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions",Petroleum Coke Commercial Sector CO2 Emissions,Residual Fuel Oil Commercial Sector CO2 Emissions,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions",Commercial Share of Electric Power Sector CO2 Emissions,Total Energy Commercial Sector CO2 Emissions
2019-03-01,0.197,23.3,2.601,1.291,0.001,2.035,0.005,0.019,5.952,44.994,74.443
2019-04-01,0.122,13.533,1.671,0.862,0.003,2.019,0.004,0.012,4.571,38.436,56.662
2019-05-01,0.117,10.147,1.308,0.724,0.002,2.097,0,0.009,4.141,45.162,59.566
2019-06-01,0.083,7.939,1.102,0.558,0.001,2.076,0,0.008,3.745,49.114,60.881
2019-07-01,0.088,7.792,1.065,0.541,0.001,2.11,0,0.008,3.724,59.954,71.559
2019-08-01,0.093,7.729,1.63,0.547,0.0,2.182,0,0.012,4.372,58.645,70.838
2019-09-01,0.1,7.857,0.913,0.567,0.009,1.971,0,0.007,3.466,52.581,64.004
2019-10-01,0.119,11.863,1.418,0.838,0.004,2.055,0,0.01,4.326,45.192,61.5
2019-11-01,0.139,21.351,2.785,1.223,0.02,1.964,0,0.02,6.013,44.137,71.64
2019-12-01,0.156,25.09,3.297,1.391,0.023,1.979,0.002,0.024,6.717,43.684,75.647
2020-01-01,0.18,26.865,2.642,1.666,0.034,2.233,0.007,0.023,6.606,42.049,75.699
2020-02-01,0.194,24.506,2.172,1.5,0.038,2.177,0.004,0.019,5.909,38.069,68.679
2020-03-01,0.164,18.558,2.029,1.294,0.007,2.007,0,0.017,5.354,37.128,61.204
2020-04-01,0.081,13.024,1.824,1.093,0.003,1.468,0,0.016,4.403,30.416,47.925
2020-05-01,0.082,8.895,2.059,0.817,0.0,1.844,0,0.018,4.737,33.082,46.797
2020-06-01,0.087,7.207,1.296,0.607,0.001,2.05,0,0.011,3.965,42.972,54.232
2020-07-01,0.078,7.061,0.872,0.596,0.0,2.171,0,0.007,3.646,55.64,66.425
2020-08-01,0.085,7.175,0.768,0.599,0.013,2.19,0,0.007,3.577,54.516,65.353
2020-09-01,0.098,7.857,1.283,0.655,0.01,2.12,0,0.011,4.079,44.724,56.758
2020-10-01,0.094,11.42,1.488,0.95,0.004,2.14,0,0.013,4.594,42.033,58.141
2020-11-01,0.107,16.063,1.8,1.184,0.001,1.978,0,0.015,4.979,37.546,58.695
2020-12-01,0.144,24.85,2.253,1.681,0.011,2.006,0,0.019,5.971,43.319,74.284
2021-01-01,0.15,27.243,3.166,1.893,0.011,1.836,0,0.031,6.937,42.827,77.157
2021-02-01,0.187,27.232,3.322,1.815,0.047,1.677,0.003,0.032,6.896,43.582,77.897
2021-03-01,0.144,19.592,2.757,1.431,0.004,2.024,0,0.027,6.241,36.752,62.729
2021-04-01,0.101,13.557,1.881,1.098,0.007,2.033,0,0.018,5.037,35.532,54.227
2021-05-01,0.08,9.984,1.628,0.873,0.001,2.147,0,0.016,4.665,40.204,54.934
2021-06-01,0.088,7.86,1.385,0.636,0.0,2.145,0,0.014,4.18,52.301,64.429
2021-07-01,0.087,7.832,0.961,0.644,0.002,2.201,0,0.009,3.818,58.935,70.671
2021-08-01,0.097,7.73,0.825,0.647,0.003,2.177,0,0.008,3.66,59.791,71.278
2021-09-01,0.107,8.198,1.4,0.679,0.003,2.049,0,0.014,4.145,48.428,60.878
2021-10-01,0.124,10.713,1.894,0.918,0.019,2.13,0.004,0.018,4.984,43.95,59.771
2021-11-01,0.135,18.462,2.156,1.412,0.007,2.063,0.006,0.021,5.664,39.51,63.77
2021-12-01,0.13,21.999,2.972,1.598,0.002,2.102,0.006,0.029,6.709,39.24,68.079
2022-01-01,0.16,30.204,3.432,1.821,0.05,2.243,0.006,0.034,7.585,48.048,85.996
2022-02-01,0.158,25.433,3.88,1.492,0.003,2.18,0.006,0.038,7.6,39.813,73.005
2022-03-01,0.106,21.119,2.785,1.298,0.001,2.507,0.006,0.028,6.625,37.988,65.837
2022-04-01,0.067,15.109,1.807,1.032,0.004,2.373,0.005,0.018,5.241,36.027,56.443
2022-05-01,0.071,10.032,1.564,0.757,0.01,2.539,0.006,0.015,4.891,42.248,57.242
2022-06-01,0.11,8.018,1.331,0.608,0.001,2.439,0.006,0.013,4.397,48.952,61.477
2022-07-01,0.099,7.912,0.924,0.597,0.004,2.453,0.004,0.009,3.992,57.773,69.776
2022-08-01,0.104,7.752,0.793,0.6,0.0,2.533,0,0.008,3.934,57.311,69.101
2022-09-01,0.105,8.211,1.345,0.633,0.005,2.386,0.001,0.013,4.383,47.702,60.4
2022-10-01,0.121,12.228,1.82,0.939,0.001,2.443,0,0.018,5.22,41.595,59.165
2022-11-01,0.137,19.342,2.071,1.26,0.007,2.372,0.002,0.02,5.733,40.104,65.316
2022-12-01,0.152,26.985,2.855,1.642,0.009,2.392,0.005,0.028,6.931,46.387,80.455
2023-01-01,0.137,26.241,3.35,1.558,0.044,2.303,0.005,0.028,7.288,40.915,74.581
2023-02-01,0.13,23.404,3.788,1.373,0.027,2.191,0.001,0.032,7.412,34.525,65.471
2023-03-01,0.119,22.524,2.719,1.376,0.006,2.526,0.001,0.023,6.651,38.301,67.594
2023-04-01,0.088,13.968,1.764,0.954,0.015,2.413,0,0.015,5.161,33.213,52.431
2023-05-01,0.077,10.088,1.527,0.758,0.023,2.527,0,0.013,4.847,38.398,53.41
2023-06-01,0.061,8.233,1.299,0.596,0.008,2.522,0,0.011,4.435,46.28,59.009
2023-07-01,0.064,7.879,0.902,0.561,0.02,2.5,0,0.008,3.99,57.065,68.997
2023-08-01,0.068,8.016,0.774,0.568,0.001,2.569,0,0.007,3.918,56.779,68.781
2023-09-01,0.072,8.099,1.313,0.601,0.017,2.383,0,0.011,4.325,47.023,59.519
2023-10-01,0.091,12.363,1.777,0.844,0.002,2.527,0,0.015,5.164,42.276,59.894
2023-11-01,0.096,19.141,2.022,1.245,0.002,2.396,0,0.017,5.681,39.902,64.82
2023-12-01,0.111,22.825,2.787,1.43,0.029,2.449,0.004,0.023,6.722,41.184,70.842
2024-01-01,0.16,29.3,3.259,1.732,0.024,2.296,0.004,0.03,7.346,47.545,84.351
2024-02-01,0.114,22.738,3.685,1.324,0.013,2.236,0.002,0.034,7.294,34.636,64.783
2024-03-01,0.107,18.933,2.645,1.239,0.012,2.475,0,0.024,6.395,33.68,59.115
2024-04-01,0.07,13.525,1.716,0.928,0.019,2.388,0,0.016,5.067,32.8,51.463
2024-05-01,0.074,9.623,1.485,0.711,0.019,2.61,0.004,0.014,4.843,39.248,53.789
2024-06-01,0.064,8.385,1.264,0.562,0.013,2.46,0.004,0.012,4.315,46.796,59.56
2024-07-01,0.07,7.994,0.877,0.558,0.003,2.587,0,0.008,4.033,54.869,66.966
2024-08-01,0.068,8.158,0.753,0.565,0.011,2.576,0,0.007,3.912,54.072,66.211
2024-09-01,0.068,8.618,1.277,0.587,0.0,2.422,0,0.012,4.297,45.669,58.651
