Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector"
1994-11-01,101.745,83.152,5.596,3.09,2515.58,2073.725,97.72,24.335,109.423,3.69,7.344
1994-12-01,112.078,97.235,5.031,3.48,2472.757,2206.099,100.441,25.147,103.389,4.156,7.589
1995-01-01,122.269,85.253,4.827,3.222,2439.848,2520.794,106.306,24.615,88.775,3.044,8.078
1995-02-01,109.176,120.186,4.088,2.791,2389.382,3657.341,95.628,22.233,69.063,2.637,7.297
1995-03-01,108.812,69.099,5.955,2.829,2423.874,1929.571,106.172,24.615,89.052,2.674,8.078
1995-04-01,101.179,71.125,5.561,3.749,2418.845,1827.739,101.397,23.821,109.841,3.543,7.818
1995-05-01,107.247,89.915,6.259,2.385,2399.307,2520.485,102.789,24.615,82.468,2.253,8.078
1995-06-01,118.694,94.027,7.216,3.508,2498.695,2674.308,101.274,23.821,76.068,3.315,7.818
1995-07-01,136.403,149.611,9.883,3.384,2444.529,3703.744,113.496,24.615,136.355,3.198,8.078
1995-08-01,143.305,205.52,11.371,3.585,2555.556,4372.888,120.136,24.615,141.987,3.387,8.078
1995-09-01,117.465,82.095,7.68,3.499,2471.408,2774.492,104.193,23.821,115.359,3.307,7.818
1995-10-01,113.531,73.268,5.823,3.811,2510.195,2328.115,101.262,24.615,130.36,3.601,8.078
1995-11-01,115.001,80.027,4.809,3.882,2425.638,2476.354,100.794,23.821,111.165,3.668,7.818
1995-12-01,125.938,125.213,4.19,3.554,2385.344,3661.719,104.616,24.615,104.57,3.359,8.078
1996-01-01,145.831,145.63,5.083,3.449,2377.879,4235.83,109.97,27.559,113.853,2.531,7.5
1996-02-01,131.175,169.846,4.121,3.933,2325.503,4232.608,100.815,25.781,77.758,2.887,7.016
1996-03-01,131.095,115.071,4.71,4.421,2370.023,3186.198,106.008,27.559,96.961,3.245,7.5
1996-04-01,118.326,66.202,5.116,3.902,2411.776,2038.413,101.461,26.67,57.359,2.864,7.258
1996-05-01,127.923,85.733,7.973,4.024,2389.237,2407.349,106.343,27.559,79.175,2.954,7.5
1996-06-01,139.497,92.317,9.036,4.737,2505.486,3123.521,109.751,26.67,100.185,3.477,7.258
1996-07-01,152.486,120.077,10.792,5.062,2485.777,4272.951,112.922,27.559,118.977,3.716,7.5
1996-08-01,154.437,98.797,11.078,3.829,2585.24,3837.6,116.629,27.559,137.442,2.811,7.5
1996-09-01,136.527,88.725,8.594,4.502,2514.345,3084.01,108.36,26.67,103.665,3.304,7.258
1996-10-01,135.867,70.566,6.832,5.247,2549.842,2309.396,106.2,27.559,136.954,3.851,7.5
1996-11-01,139.581,80.583,5.125,4.86,2481.078,2591.319,104.268,26.67,129.89,3.567,7.258
1996-12-01,147.626,112.395,3.995,5.06,2438.234,3341.386,106.149,27.559,97.227,3.714,7.5
1997-01-01,156.888,174.844,4.071,4.156,2427.939,3115.731,106.65,24.031,123.246,2.946,8.701
1997-02-01,131.387,89.784,4.192,4.5,2401.247,1896.226,99.872,21.705,85.702,3.19,7.859
1997-03-01,133.922,87.745,5.551,4.498,2410.555,1652.724,106.987,24.031,97.736,3.188,8.701
1997-04-01,126.022,98.985,5.663,5.116,2477.392,2180.191,101.504,23.255,98.931,3.626,8.421
1997-05-01,132.018,97.639,6.78,5.299,2422.729,2659.756,102.365,24.031,106.44,3.755,8.701
1997-06-01,142.75,144.305,8.708,4.777,2521.196,3499.436,105.338,23.255,83.511,3.386,8.421
1997-07-01,163.525,241.145,12.569,4.974,2495.462,4241.776,117.883,24.031,101.917,3.526,8.701
1997-08-01,159.48,147.867,11.451,5.027,2607.942,3852.06,117.718,24.031,109.525,3.563,8.701
1997-09-01,147.323,126.67,9.744,4.293,2548.032,3840.604,109.132,23.255,101.946,3.043,8.421
1997-10-01,147.129,127.255,7.156,5.101,2578.039,3505.031,103.455,24.031,141.341,3.615,8.701
1997-11-01,141.59,119.982,5.262,4.826,2496.416,3335.184,101.518,23.255,111.45,3.42,8.421
1997-12-01,155.677,128.108,5.768,5.039,2466.322,3485.981,109.199,24.031,96.816,3.572,8.701
1998-01-01,125.96,96.665,4.582,3.873,2337.08,2526.233,112.148,25.874,132.094,3.004,7.882
1998-02-01,109.449,82.405,3.581,3.915,2296.744,2145.49,101.278,23.37,84.626,3.037,7.119
1998-03-01,113.759,124.222,5.2,4.614,2322.73,2899.668,109.462,25.874,97.451,3.579,7.882
1998-04-01,105.295,97.878,5.092,4.52,2366.608,2513.186,102.727,25.039,98.217,3.506,7.628
1998-05-01,115.421,160.581,7.773,4.977,2341.822,3336.14,109.257,25.874,103.848,3.86,7.882
1998-06-01,125.162,225.367,10.136,4.02,2427.454,4236.085,115.414,25.039,53.917,3.118,7.628
1998-07-01,138.107,250.348,12.029,4.611,2405.254,4703.262,127.963,25.874,101.986,3.576,7.882
1998-08-01,137.911,237.205,12.233,4.62,2500.152,4499.771,130.528,25.874,108.457,3.584,7.882
1998-09-01,123.676,192.391,10.202,4.446,2408.878,3730.096,119.446,25.039,105.772,3.449,7.628
1998-10-01,116.278,103.938,6.59,4.896,2457.686,2665.532,109.261,25.874,117.654,3.797,7.882
1998-11-01,110.013,104.447,4.754,4.024,2356.14,2651.387,103.999,25.039,92.158,3.121,7.628
1998-12-01,121.789,132.021,5.048,5.645,2332.013,3002.699,113.505,25.874,114.73,4.378,7.882
1999-01-01,130.965,177.341,4.794,4.071,2275.956,3769.2,115.619,28.141,123.632,2.351,8.422
1999-02-01,112.053,111.688,4.077,4.316,2238.106,2892.711,105.053,25.418,86.344,2.492,7.607
1999-03-01,117.805,122.642,5.545,4.403,2264.786,3245.734,112.449,28.141,68.828,2.542,8.422
1999-04-01,111.584,127.167,6.874,4.814,2287.685,2944.575,112.124,27.233,101.112,2.779,8.15
1999-05-01,117.579,116.997,7.334,5.096,2256.07,3028.716,110.76,28.141,133.654,2.942,8.422
1999-06-01,127.711,153.38,8.71,4.897,2345.928,3425.917,113.796,27.233,92.471,2.827,8.15
1999-07-01,145.599,276.891,11.747,4.604,2312.66,4987.162,128.752,28.141,117.314,2.658,8.422
1999-08-01,140.963,197.358,11.68,4.324,2426.753,4273.553,133.96,28.141,111.761,2.496,8.422
1999-09-01,125.68,105.29,7.552,4.427,2346.331,2610.321,120.303,27.233,99.645,2.556,8.15
1999-10-01,119.715,86.234,6.439,4.398,2387.707,2308.052,117.817,28.141,81.838,2.539,8.422
1999-11-01,115.31,72.712,4.596,4.352,2327.657,1869.569,111.038,27.233,108.904,2.513,8.15
1999-12-01,125.285,65.178,4.689,4.215,2293.321,1956.839,119.703,28.141,87.799,2.433,8.422
2000-01-01,138.782,117.769,5.308,3.856,2304.72,2594.946,115.345,28.001,77.56,2.857,9.143
2000-02-01,125.014,74.396,4.653,4.001,2267.356,1906.892,109.343,26.194,104.044,2.965,8.553
2000-03-01,122.283,65.589,5.789,4.56,2309.791,1582.079,111.185,28.001,109.126,3.379,9.143
2000-04-01,110.201,64.604,5.985,4.544,2335.159,1638.694,108.672,27.098,103.504,3.367,8.848
2000-05-01,121.388,132.88,8.612,4.879,2297.202,2411.394,117.837,28.001,98.573,3.615,9.143
2000-06-01,133.058,141.982,8.568,3.926,2389.532,2964.358,116.743,27.098,86.061,2.909,8.848
2000-07-01,138.713,147.724,10.41,4.105,2348.532,2637.273,121.723,28.001,105.151,3.042,9.143
2000-08-01,144.058,175.052,11.445,3.93,2440.622,3437.921,133.464,28.001,108.151,2.912,9.143
2000-09-01,127.324,136.843,7.908,3.752,2365.449,2918.613,114.698,27.098,97.818,2.78,8.848
2000-10-01,125.722,99.809,5.954,4.046,2406.643,2268.383,111.176,28.001,118.53,2.998,9.143
2000-11-01,124.424,100.996,5.029,3.728,2306.545,2087.958,109.539,27.098,115.889,2.762,8.848
2000-12-01,136.062,357.347,5.211,1.93,2259.029,4071.919,115.82,28.001,119.828,1.43,9.143
2001-01-01,131.36,239.8,6.362,2.006,2424.16,3067.23,110.934,20.176,94.326,2.918,8.416
2001-02-01,132.01,156.84,5.78,1.872,2011.93,2427.94,98.421,19.569,83.182,1.88,7.274
2001-03-01,129.36,162.8,6.047,1.928,2219.66,2516.49,107.759,21.323,87.612,2.24,8.141
2001-04-01,98.84,138.55,5.998,1.955,2047.24,2216.5,100.575,18.8,86.783,2.708,7.898
2001-05-01,104.66,142.73,6.091,2.022,1964.62,2181.25,103.458,21.054,81.304,1.608,7.971
